木村	名詞,固有名詞,人名,姓,*,*,木村,キムラ,キムラ,s
綾香	名詞,固有名詞,人名,名,*,*,綾香,アヤカ,アヤカ,s
、	記号,読点,*,*,*,*,、,、,、,s
三	名詞,数,*,*,*,*,三,サン,サン,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
歳	名詞,接尾,助数詞,*,*,*,歳,サイ,サイ,s
、	記号,読点,*,*,*,*,、,、,、,s
大阪	名詞,固有名詞,地域,一般,*,*,大阪,オオサカ,オーサカ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
住ん	動詞,自立,*,*,五段・マ行,連用タ接続,住む,スン,スン,s
で	助詞,接続助詞,*,*,*,*,で,デ,デ,s
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
以上	名詞,副詞可能,*,*,*,*,以上,イジョウ,イジョー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
じゃあ	助詞,副助詞,*,*,*,*,じゃあ,ジャア,ジャー,i
、	記号,読点,*,*,*,*,、,、,、,i
まず	副詞,一般,*,*,*,*,まず,マズ,マズ,i
、	記号,読点,*,*,*,*,、,、,、,i
今まで	副詞,一般,*,*,*,*,今まで,イママデ,イママデ,i
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
仕事	名詞,サ変接続,*,*,*,*,仕事,シゴト,シゴト,i
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ,i
いろいろ	副詞,助詞類接続,*,*,*,*,いろいろ,イロイロ,イロイロ,i
、	記号,読点,*,*,*,*,、,、,、,i
なん	名詞,代名詞,一般,*,*,*,なん,ナン,ナン,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
いろいろ	副詞,助詞類接続,*,*,*,*,いろいろ,イロイロ,イロイロ,s
なん	名詞,代名詞,一般,*,*,*,なん,ナン,ナン,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
めっちゃ	副詞,一般,*,*,*,*,めっちゃ,メッチャ,メッチャ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
てん	助動詞,*,*,*,特殊・タ,基本形,た,テン,テン,s
で	助詞,終助詞,*,*,*,*,で,デ,デ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
一番	名詞,副詞可能,*,*,*,*,一番,イチバン,イチバン,i
、	記号,読点,*,*,*,*,、,、,、,i
一番	名詞,副詞可能,*,*,*,*,一番,イチバン,イチバン,i
初め	名詞,副詞可能,*,*,*,*,初め,ハジメ,ハジメ,i
なん	名詞,代名詞,一般,*,*,*,なん,ナン,ナン,i
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
最初	名詞,副詞可能,*,*,*,*,最初,サイショ,サイショ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
