始め	動詞,自立,*,*,一段,連用形,始める,ハジメ,ハジメ,i
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
、	記号,読点,*,*,*,*,、,、,、,i
自己	名詞,一般,*,*,*,*,自己,ジコ,ジコ,i
紹介	名詞,サ変接続,*,*,*,*,紹介,ショウカイ,ショーカイ,i
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,i
お願い	名詞,サ変接続,*,*,*,*,お願い,オネガイ,オネガイ,i
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,i
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
私	名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
まあ	副詞,一般,*,*,*,*,まあ,マア,マー,s
、	記号,読点,*,*,*,*,、,、,、,s
清教学園	名詞,固有名詞,組織,*,*,*,清教学園,セイキョウガクエン,セイキョーガクエン,s
高校	名詞,一般,*,*,*,*,高校,コウコウ,コーコー,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
三	名詞,数,*,*,*,*,三,サン,サン,s
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
新井	名詞,固有名詞,人名,姓,*,*,新井,アライ,アライ,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
新井	名詞,固有名詞,人名,姓,*,*,新井,アライ,アライ,s
、	記号,読点,*,*,*,*,、,、,、,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
新井	名詞,固有名詞,人名,姓,*,*,新井,アライ,アライ,i
、	記号,読点,*,*,*,*,、,、,、,i
新井	名詞,固有名詞,人名,姓,*,*,新井,アライ,アライ,i
、	記号,読点,*,*,*,*,、,、,、,i
忍	名詞,固有名詞,人名,名,*,*,忍,シノブ,シノブ,i
さん	名詞,接尾,人名,*,*,*,さん,サン,サン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
あ	感動詞,*,*,*,*,*,あ,ア,ア,s
、	記号,読点,*,*,*,*,、,、,、,s
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
新井	名詞,固有名詞,人名,姓,*,*,新井,アライ,アライ,s
忍	名詞,固有名詞,人名,名,*,*,忍,シノブ,シノブ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
、	記号,読点,*,*,*,*,、,、,、,i
軽く	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,軽い,カルク,カルク,i
自分	名詞,一般,*,*,*,*,自分,ジブン,ジブン,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
事	名詞,一般,*,*,*,*,事,コト,コト,i
、	記号,読点,*,*,*,*,、,、,、,i
喋っ	動詞,自立,*,*,五段・ラ行,連用タ接続,喋る,シャベッ,シャベッ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
もらえる	動詞,非自立,*,*,一段,基本形,もらえる,モラエル,モラエル,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
ううん	感動詞,*,*,*,*,*,ううん,ウウン,ウーン,s
、	記号,読点,*,*,*,*,、,、,、,s
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
まあ	副詞,一般,*,*,*,*,まあ,マア,マー,s
、	記号,読点,*,*,*,*,、,、,、,s
私	名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
事	名詞,非自立,一般,*,*,*,事,コト,コト,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
言う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,言う,ユウ,ユー,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
まあ	副詞,一般,*,*,*,*,まあ,マア,マー,s
、	記号,読点,*,*,*,*,、,、,、,s
部活	名詞,一般,*,*,*,*,部活,ブカツ,ブカツ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
ずっと	副詞,一般,*,*,*,*,ずっと,ズット,ズット,s
中	名詞,一般,*,*,*,*,中,チュウ,チュー,s
高	名詞,一般,*,*,*,*,高,コウ,コー,s
六	名詞,数,*,*,*,*,六,ロク,ロク,s
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
演劇	名詞,一般,*,*,*,*,演劇,エンゲキ,エンゲキ,s
部	名詞,接尾,一般,*,*,*,部,ブ,ブ,s
所属	名詞,サ変接続,*,*,*,*,所属,ショゾク,ショゾク,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
まあ	副詞,一般,*,*,*,*,まあ,マア,マー,s
、	記号,読点,*,*,*,*,、,、,、,s
あと	名詞,一般,*,*,*,*,あと,アト,アト,s
、	記号,読点,*,*,*,*,、,、,、,s
文芸	名詞,一般,*,*,*,*,文芸,ブンゲイ,ブンゲイ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
やっ	動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
まあ	副詞,一般,*,*,*,*,まあ,マア,マー,s
