名前	名詞,一般,*,*,*,*,名前,ナマエ,ナマエ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
寺本	名詞,固有名詞,人名,姓,*,*,寺本,テラモト,テラモト,s
由美子	名詞,固有名詞,人名,名,*,*,由美子,ユミコ,ユミコ,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
自己	名詞,一般,*,*,*,*,自己,ジコ,ジコ,i
紹介	名詞,サ変接続,*,*,*,*,紹介,ショウカイ,ショーカイ,i
お願い	名詞,サ変接続,*,*,*,*,お願い,オネガイ,オネガイ,i
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,i
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
えーと	フィラー,*,*,*,*,*,えーと,エート,エート,s
、	記号,読点,*,*,*,*,、,、,、,s
年齢	名詞,一般,*,*,*,*,年齢,ネンレイ,ネンレイ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
五	名詞,数,*,*,*,*,五,ゴ,ゴ,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
歳	名詞,接尾,助数詞,*,*,*,歳,サイ,サイ,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
えっと	フィラー,*,*,*,*,*,えっと,エット,エット,s
家族	名詞,一般,*,*,*,*,家族,カゾク,カゾク,s
構成	名詞,サ変接続,*,*,*,*,構成,コウセイ,コーセイ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
えーと	フィラー,*,*,*,*,*,えーと,エート,エート,s
、	記号,読点,*,*,*,*,、,、,、,s
子供	名詞,一般,*,*,*,*,子供,コドモ,コドモ,s
女の子	名詞,一般,*,*,*,*,女の子,オンナノコ,オンナノコ,s
三	名詞,数,*,*,*,*,三,サン,サン,s
人	名詞,接尾,助数詞,*,*,*,人,ニン,ニン,s
い	動詞,自立,*,*,一段,連用形,いる,イ,イ,s
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
で	接続詞,*,*,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
あの	フィラー,*,*,*,*,*,あの,アノ,アノ,s
、	記号,読点,*,*,*,*,、,、,、,s
シングル	名詞,一般,*,*,*,*,シングル,シングル,シングル,s
、	記号,読点,*,*,*,*,、,、,、,s
離婚	名詞,サ変接続,*,*,*,*,離婚,リコン,リコン,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,s
以上	名詞,非自立,副詞可能,*,*,*,以上,イジョウ,イジョー,s
経ち	動詞,自立,*,*,五段・タ行,連用形,経つ,タチ,タチ,s
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
で	接続詞,*,*,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
子供	名詞,一般,*,*,*,*,子供,コドモ,コドモ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
上	名詞,非自立,副詞可能,*,*,*,上,ウエ,ウエ,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
えー	フィラー,*,*,*,*,*,えー,エー,エー,s
、	記号,読点,*,*,*,*,、,、,、,s
大学生	名詞,一般,*,*,*,*,大学生,ダイガクセイ,ダイガクセイ,s
、	記号,読点,*,*,*,*,、,、,、,s
大学	名詞,一般,*,*,*,*,大学,ダイガク,ダイガク,s
三	名詞,数,*,*,*,*,三,サン,サン,s
回生	名詞,接尾,助数詞,*,*,*,回生,カイセイ,カイセイ,s
、	記号,読点,*,*,*,*,、,、,、,s
えー	フィラー,*,*,*,*,*,えー,エー,エー,s
、	記号,読点,*,*,*,*,、,、,、,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
番目	名詞,接尾,助数詞,*,*,*,番目,バンメ,バンメ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
高校	名詞,一般,*,*,*,*,高校,コウコウ,コーコー,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
年生	名詞,接尾,助数詞,*,*,*,年生,ネンセイ,ネンセイ,s
、	記号,読点,*,*,*,*,、,、,、,s
三	名詞,数,*,*,*,*,三,サン,サン,s
番目	名詞,接尾,助数詞,*,*,*,番目,バンメ,バンメ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
高校	名詞,一般,*,*,*,*,高校,コウコウ,コーコー,s
一	名詞,数,*,*,*,*,一,イチ,イチ,s
年生	名詞,接尾,助数詞,*,*,*,年生,ネンセイ,ネンセイ,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
えーと	フィラー,*,*,*,*,*,えーと,エート,エート,s
、	記号,読点,*,*,*,*,、,、,、,s
仕事	名詞,サ変接続,*,*,*,*,仕事,シゴト,シゴト,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
えーっと	フィラー,*,*,*,*,*,えーっと,エーット,エーット,s
パート	名詞,一般,*,*,*,*,パート,パート,パート,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
販売	名詞,サ変接続,*,*,*,*,販売,ハンバイ,ハンバイ,s
業	名詞,接尾,一般,*,*,*,業,ギョウ,ギョー,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
えーと	フィラー,*,*,*,*,*,えーと,エート,エート,i
仕事	名詞,サ変接続,*,*,*,*,仕事,シゴト,シゴト,i
で	助詞,格助詞,一般,*,*,*,で,デ,デ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
エピソード	名詞,一般,*,*,*,*,エピソード,エピソード,エピソード,i
教え	動詞,自立,*,*,一段,連用形,教える,オシエ,オシエ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
下さい	動詞,非自立,*,*,五段・ラ行特殊,連用形,下さる,クダサイ,クダサイ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
エピソード	名詞,一般,*,*,*,*,エピソード,エピソード,エピソード,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
エピソード	名詞,一般,*,*,*,*,エピソード,エピソード,エピソード,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
、	記号,読点,*,*,*,*,、,、,、,s
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
仕事	名詞,サ変接続,*,*,*,*,仕事,シゴト,シゴト,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
関し	動詞,自立,*,*,五段・サ行,連用形,関す,カンシ,カンシ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,s
話	名詞,サ変接続,*,*,*,*,話,ハナシ,ハナシ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
させ	動詞,自立,*,*,一段,連用形,させる,サセ,サセ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
もらい	動詞,非自立,*,*,五段・ワ行促音便,連用形,もらう,モライ,モライ,s
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
えーと	フィラー,*,*,*,*,*,えーと,エート,エート,s
、	記号,読点,*,*,*,*,、,、,、,s
勤め	動詞,自立,*,*,一段,連用形,勤める,ツトメ,ツトメ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
えー	フィラー,*,*,*,*,*,えー,エー,エー,s
、	記号,読点,*,*,*,*,、,、,、,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
三	名詞,数,*,*,*,*,三,サン,サン,s
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,s
半	名詞,数,*,*,*,*,半,ハン,ハン,s
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
なり	動詞,自立,*,*,五段・ラ行,連用形,なる,ナリ,ナリ,s
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
えーと	フィラー,*,*,*,*,*,えーと,エート,エート,s
、	記号,読点,*,*,*,*,、,、,、,s
離婚	名詞,サ変接続,*,*,*,*,離婚,リコン,リコン,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
えっとー	フィラー,*,*,*,*,*,えっとー,エットオ,エットー,s
、	記号,読点,*,*,*,*,、,、,、,s
こっち	名詞,代名詞,一般,*,*,*,こっち,コッチ,コッチ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
実家	名詞,一般,*,*,*,*,実家,ジッカ,ジッカ,s
近く	名詞,副詞可能,*,*,*,*,近く,チカク,チカク,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
方	名詞,非自立,一般,*,*,*,方,ホウ,ホー,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
戻っ	動詞,自立,*,*,五段・ラ行,連用タ接続,戻る,モドッ,モドッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
き	動詞,非自立,*,*,カ変・クル,連用形,くる,キ,キ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
