それで	接続詞,*,*,*,*,*,それで,ソレデ,ソレデ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
始め	動詞,自立,*,*,一段,連用形,始める,ハジメ,ハジメ,i
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
はい	感動詞,*,*,*,*,*,はい,ハイ,ハイ,s
、	記号,読点,*,*,*,*,、,、,、,s
お願い	名詞,サ変接続,*,*,*,*,お願い,オネガイ,オネガイ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,s
EOS
まず	副詞,一般,*,*,*,*,まず,マズ,マズ,i
えーっと	フィラー,*,*,*,*,*,えーっと,エーット,エーット,i
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,i
県	名詞,接尾,地域,*,*,*,県,ケン,ケン,i
で	助詞,格助詞,一般,*,*,*,で,デ,デ,i
生まれ	動詞,自立,*,*,一段,連用形,生まれる,ウマレ,ウマレ,i
まし	助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
滋賀	名詞,固有名詞,地域,一般,*,*,滋賀,シガ,シガ,s
県	名詞,接尾,地域,*,*,*,県,ケン,ケン,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
生まれ	動詞,自立,*,*,一段,連用形,生まれる,ウマレ,ウマレ,s
、	記号,読点,*,*,*,*,、,、,、,s
滋賀	名詞,固有名詞,地域,一般,*,*,滋賀,シガ,シガ,s
県	名詞,接尾,地域,*,*,*,県,ケン,ケン,s
出身	名詞,一般,*,*,*,*,出身,シュッシン,シュッシン,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
滋賀	名詞,固有名詞,地域,一般,*,*,滋賀,シガ,シガ,i
県	名詞,接尾,地域,*,*,*,県,ケン,ケン,i
出身	名詞,一般,*,*,*,*,出身,シュッシン,シュッシン,i
で	助詞,格助詞,一般,*,*,*,で,デ,デ,i
、	記号,読点,*,*,*,*,、,、,、,i
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
どちら	名詞,代名詞,一般,*,*,*,どちら,ドチラ,ドチラ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
方	名詞,非自立,一般,*,*,*,方,ホウ,ホー,i
で	助詞,格助詞,一般,*,*,*,で,デ,デ,i
働か	動詞,自立,*,*,五段・カ行イ音便,未然形,働く,ハタラカ,ハタラカ,i
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
