それでは	接続詞,*,*,*,*,*,それでは,ソレデハ,ソレデワ,i
お願い	名詞,サ変接続,*,*,*,*,お願い,オネガイ,オネガイ,i
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,i
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
えーと	フィラー,*,*,*,*,*,えーと,エート,エート,i
、	記号,読点,*,*,*,*,、,、,、,i
お父さん	名詞,一般,*,*,*,*,お父さん,オトウサン,オトーサン,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,i
どこ	名詞,代名詞,一般,*,*,*,どこ,ドコ,ドコ,i
で	助詞,格助詞,一般,*,*,*,で,デ,デ,i
働い	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,働く,ハタライ,ハタライ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
だから	接続詞,*,*,*,*,*,だから,ダカラ,ダカラ,s
、	記号,読点,*,*,*,*,、,、,、,s
えー	フィラー,*,*,*,*,*,えー,エー,エー,s
、	記号,読点,*,*,*,*,、,、,、,s
奈良	名詞,固有名詞,地域,一般,*,*,奈良,ナラ,ナラ,s
県	名詞,接尾,地域,*,*,*,県,ケン,ケン,s
中央	名詞,一般,*,*,*,*,中央,チュウオウ,チューオー,s
卸売	名詞,サ変接続,*,*,*,*,卸売,オロシウリ,オロシウリ,s
市場	名詞,一般,*,*,*,*,市場,シジョウ,シジョー,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
卸売	名詞,サ変接続,*,*,*,*,卸売,オロシウリ,オロシウリ,s
会社	名詞,一般,*,*,*,*,会社,カイシャ,カイシャ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
、	記号,読点,*,*,*,*,、,、,、,s
四	名詞,数,*,*,*,*,四,ヨン,ヨン,s
社	名詞,接尾,助数詞,*,*,*,社,シャ,シャ,s
あっ	動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
で	接続詞,*,*,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
えー	フィラー,*,*,*,*,*,えー,エー,エー,s
、	記号,読点,*,*,*,*,、,、,、,s
青果	名詞,一般,*,*,*,*,青果,セイカ,セイカ,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
社	名詞,接尾,助数詞,*,*,*,社,シャ,シャ,s
と	助詞,並立助詞,*,*,*,*,と,ト,ト,s
水産	名詞,一般,*,*,*,*,水産,スイサン,スイサン,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
社	名詞,接尾,助数詞,*,*,*,社,シャ,シャ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
あっ	動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
青果	名詞,一般,*,*,*,*,青果,セイカ,セイカ,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
