ほんで	接続詞,*,*,*,*,*,ほんで,ホンデ,ホンデ,i
、	記号,読点,*,*,*,*,、,、,、,i
かな	名詞,固有名詞,人名,名,*,*,かな,カナ,カナ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
なん	名詞,代名詞,一般,*,*,*,なん,ナン,ナン,i
て	助詞,格助詞・縮約形,引用,*,*,*,って,テ,テ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
大学	名詞,一般,*,*,*,*,大学,ダイガク,ダイガク,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
家政	名詞,一般,*,*,*,*,家政,カセイ,カセイ,s
系	名詞,接尾,一般,*,*,*,系,ケイ,ケイ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
いい	形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イー,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
言う	動詞,自立,*,*,五段・ワ行促音便,基本形,言う,ユウ,ユー,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
さあ	感動詞,*,*,*,*,*,さあ,サア,サー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
家政	名詞,一般,*,*,*,*,家政,カセイ,カセイ,i
系	名詞,接尾,一般,*,*,*,系,ケイ,ケイ,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
なん	名詞,代名詞,一般,*,*,*,なん,ナン,ナン,i
なん	名詞,非自立,*,*,*,縮約形,なの,ナン,ナン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
だから	接続詞,*,*,*,*,*,だから,ダカラ,ダカラ,s
、	記号,読点,*,*,*,*,、,、,、,s
家政	名詞,一般,*,*,*,*,家政,カセイ,カセイ,s
系	名詞,接尾,一般,*,*,*,系,ケイ,ケイ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
さあ	感動詞,*,*,*,*,*,さあ,サア,サー,s
、	記号,読点,*,*,*,*,、,、,、,s
いわゆる	連体詞,*,*,*,*,*,いわゆる,イワユル,イワユル,s
デザイン	名詞,サ変接続,*,*,*,*,デザイン,デザイン,デザイン,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
、	記号,読点,*,*,*,*,、,、,、,s
食物	名詞,一般,*,*,*,*,食物,タベモノ,タベモノ,s
系	名詞,接尾,一般,*,*,*,系,ケイ,ケイ,s
