え	感動詞,*,*,*,*,*,え,エ,エ,i
、	記号,読点,*,*,*,*,、,、,、,i
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,i
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,i
ゼミ	名詞,一般,*,*,*,*,ゼミ,ゼミ,ゼミ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
アンケート	名詞,一般,*,*,*,*,アンケート,アンケート,アンケート,i
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,i
取っ	動詞,自立,*,*,五段・ラ行,連用タ接続,取る,トッ,トッ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
いき	動詞,非自立,*,*,五段・カ行促音便,連用形,いく,イキ,イキ,i
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ,i
と	助詞,格助詞,一般,*,*,*,と,ト,ト,i
思い	動詞,自立,*,*,五段・ワ行促音便,連用形,思う,オモイ,オモイ,i
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
えーと	フィラー,*,*,*,*,*,えーと,エート,エート,i
、	記号,読点,*,*,*,*,、,、,、,i
まず	副詞,一般,*,*,*,*,まず,マズ,マズ,i
本名	名詞,一般,*,*,*,*,本名,ホンミョウ,ホンミョー,i
と	助詞,並立助詞,*,*,*,*,と,ト,ト,i
、	記号,読点,*,*,*,*,、,、,、,i
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
年齢	名詞,一般,*,*,*,*,年齢,ネンレイ,ネンレイ,i
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,i
まず	副詞,一般,*,*,*,*,まず,マズ,マズ,i
教え	動詞,自立,*,*,一段,連用形,教える,オシエ,オシエ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
下さい	動詞,非自立,*,*,五段・ラ行特殊,連用形,下さる,クダサイ,クダサイ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
はい	感動詞,*,*,*,*,*,はい,ハイ,ハイ,s
はい	感動詞,*,*,*,*,*,はい,ハイ,ハイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
林	名詞,固有名詞,人名,姓,*,*,林,ハヤシ,ハヤシ,s
優子	名詞,固有名詞,人名,名,*,*,優子,ユウコ,ユーコ,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
申し	動詞,自立,*,*,五段・サ行,連用形,申す,モウシ,モーシ,s
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
申し	動詞,自立,*,*,五段・サ行,連用形,申す,モウシ,モーシ,s
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,s
言う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,言う,ユウ,ユー,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
あか	動詞,非自立,*,*,五段・カ行イ音便,未然形,あく,アカ,アカ,s
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,s
の	助詞,終助詞,*,*,*,*,の,ノ,ノ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
別に	副詞,一般,*,*,*,*,別に,ベツニ,ベツニ,i
まあ	副詞,一般,*,*,*,*,まあ,マア,マー,i
普通	名詞,形容動詞語幹,*,*,*,*,普通,フツウ,フツー,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
しゃべっ	動詞,自立,*,*,五段・ラ行,連用タ接続,しゃべる,シャベッ,シャベッ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
くれ	動詞,非自立,*,*,一段・クレル,連用形,くれる,クレ,クレ,i
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,i
ええ	形容詞,自立,*,*,形容詞・イイ,基本形,いい,エエ,エー,i
わ	助詞,終助詞,*,*,*,*,わ,ワ,ワ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
えーと	フィラー,*,*,*,*,*,えーと,エート,エート,s
、	記号,読点,*,*,*,*,、,、,、,s
うーんと	副詞,一般,*,*,*,*,うーんと,ウーント,ウーント,s
、	記号,読点,*,*,*,*,、,、,、,s
七	名詞,数,*,*,*,*,七,ナナ,ナナ,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
、	記号,読点,*,*,*,*,、,、,、,s
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
とこ	名詞,一般,*,*,*,*,とこ,トコ,トコ,s
七	名詞,数,*,*,*,*,七,ナナ,ナナ,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
九	名詞,数,*,*,*,*,九,キュウ,キュー,s
歳	名詞,接尾,助数詞,*,*,*,歳,サイ,サイ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
ねー	助詞,終助詞,*,*,*,*,ねー,ネー,ネー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
何	名詞,代名詞,一般,*,*,*,何,ナン,ナン,i
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,i
生まれ	名詞,一般,*,*,*,*,生まれ,ウマレ,ウマレ,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
