普通	名詞,形容動詞語幹,*,*,*,*,普通,フツウ,フツー,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
やり	動詞,自立,*,*,五段・ラ行,連用形,やる,ヤリ,ヤリ,i
ながら	助詞,接続助詞,*,*,*,*,ながら,ナガラ,ナガラ,i
で	助詞,格助詞,一般,*,*,*,で,デ,デ,i
大丈夫	名詞,形容動詞語幹,*,*,*,*,大丈夫,ダイジョウブ,ダイジョーブ,i
、	記号,読点,*,*,*,*,、,、,、,i
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
、	記号,読点,*,*,*,*,、,、,、,i
会社	名詞,一般,*,*,*,*,会社,カイシャ,カイシャ,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
入っ	動詞,自立,*,*,五段・ラ行,連用タ接続,入る,ハイッ,ハイッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
きっかけ	名詞,一般,*,*,*,*,きっかけ,キッカケ,キッカケ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
会社	名詞,一般,*,*,*,*,会社,カイシャ,カイシャ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
入っ	動詞,自立,*,*,五段・ラ行,連用タ接続,入る,ハイッ,ハイッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
きっかけ	名詞,一般,*,*,*,*,きっかけ,キッカケ,キッカケ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
大学	名詞,一般,*,*,*,*,大学,ダイガク,ダイガク,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
名古屋	名詞,固有名詞,地域,一般,*,*,名古屋,ナゴヤ,ナゴヤ,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
求人	名詞,サ変接続,*,*,*,*,求人,キュウジン,キュージン,s
票	名詞,接尾,助数詞,*,*,*,票,ヒョウ,ヒョー,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
き	動詞,自立,*,*,一段,連用形,きる,キ,キ,s
とっ	動詞,非自立,*,*,五段・ラ行,連用タ接続・縮約形,て＋おる,トッ,トッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
、	記号,読点,*,*,*,*,、,、,、,s
姫路	名詞,固有名詞,一般,*,*,*,姫路,ヒメジ,ヒメジ,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
で	接続詞,*,*,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
姫路	名詞,固有名詞,一般,*,*,*,姫路,ヒメジ,ヒメジ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
山本	名詞,固有名詞,一般,*,*,*,山本,ヤマモト,ヤマモト,s
工業	名詞,一般,*,*,*,*,工業,コウギョウ,コーギョー,s
いう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いう,ユウ,ユー,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
き	動詞,自立,*,*,カ変・クル,連用形,くる,キ,キ,s
とっ	動詞,非自立,*,*,五段・ラ行,連用タ接続・縮約形,て＋おる,トッ,トッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
で	接続詞,*,*,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
見	動詞,自立,*,*,一段,連用形,見る,ミ,ミ,s
よっ	動詞,非自立,*,*,五段・ラ行,連用タ接続,よる,ヨッ,ヨッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
一部	名詞,副詞可能,*,*,*,*,一部,イチブ,イチブ,s
上場	名詞,サ変接続,*,*,*,*,上場,ジョウジョウ,ジョージョー,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
とっ	動詞,非自立,*,*,五段・ラ行,連用タ接続・縮約形,て＋おる,トッ,トッ,s
