では	接続詞,*,*,*,*,*,では,デハ,デワ,i
インタビュー	名詞,サ変接続,*,*,*,*,インタビュー,インタビュー,インタビュー,i
始め	動詞,自立,*,*,一段,連用形,始める,ハジメ,ハジメ,i
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
名前	名詞,一般,*,*,*,*,名前,ナマエ,ナマエ,i
教え	動詞,自立,*,*,一段,連用形,教える,オシエ,オシエ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
もらっ	動詞,非自立,*,*,五段・ワ行促音便,連用タ接続,もらう,モラッ,モラッ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
いい	形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イー,i
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
浅野	名詞,固有名詞,人名,姓,*,*,浅野,アサノ,アサノ,s
里花	名詞,固有名詞,人名,名,*,*,里花,リカ,リカ,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
えっと	フィラー,*,*,*,*,*,えっと,エット,エット,i
、	記号,読点,*,*,*,*,、,、,、,i
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,i
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,i
歳	名詞,接尾,助数詞,*,*,*,歳,サイ,サイ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
歳	名詞,接尾,助数詞,*,*,*,歳,サイ,サイ,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
二	名詞,数,*,*,*,*,二,ニ,ニ,i
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,i
歳	名詞,接尾,助数詞,*,*,*,歳,サイ,サイ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
二	名詞,数,*,*,*,*,二,ニ,ニ,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
歳	名詞,接尾,助数詞,*,*,*,歳,サイ,サイ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
えーっと	フィラー,*,*,*,*,*,えーっと,エーット,エーット,s
、	記号,読点,*,*,*,*,、,、,、,s
まず	副詞,一般,*,*,*,*,まず,マズ,マズ,s
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,s
世間	名詞,一般,*,*,*,*,世間,セケン,セケン,s
知らず	名詞,接尾,一般,*,*,*,知らず,シラズ,シラズ,s
すぎる	動詞,自立,*,*,一段,基本形,すぎる,スギル,スギル,s
ところ	名詞,非自立,副詞可能,*,*,*,ところ,トコロ,トコロ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,s
