いけ	動詞,自立,*,*,一段,連用形,いける,イケ,イケ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
多分	副詞,一般,*,*,*,*,多分,タブン,タブン,i
これ	名詞,代名詞,一般,*,*,*,これ,コレ,コレ,i
で	助詞,格助詞,一般,*,*,*,で,デ,デ,i
録音	名詞,サ変接続,*,*,*,*,録音,ロクオン,ロクオン,i
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ,i
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,i
はず	名詞,非自立,副詞可能,*,*,*,はず,ハズ,ハズ,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ので	助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
お願い	名詞,サ変接続,*,*,*,*,お願い,オネガイ,オネガイ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
お願い	名詞,サ変接続,*,*,*,*,お願い,オネガイ,オネガイ,i
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,i
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
、	記号,読点,*,*,*,*,、,、,、,i
まず	副詞,一般,*,*,*,*,まず,マズ,マズ,i
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,i
、	記号,読点,*,*,*,*,、,、,、,i
まず	副詞,一般,*,*,*,*,まず,マズ,マズ,i
、	記号,読点,*,*,*,*,、,、,、,i
えー	フィラー,*,*,*,*,*,えー,エー,エー,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
出身	名詞,一般,*,*,*,*,出身,シュッシン,シュッシン,i
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,i
京都	名詞,固有名詞,地域,一般,*,*,京都,キョウト,キョート,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,i
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,i
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
はい	感動詞,*,*,*,*,*,はい,ハイ,ハイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
えー	フィラー,*,*,*,*,*,えー,エー,エー,i
京都	名詞,固有名詞,地域,一般,*,*,京都,キョウト,キョート,i
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,i
、	記号,読点,*,*,*,*,、,、,、,i
いま	接頭詞,名詞接続,*,*,*,*,いま,イマ,イマ,i
、	記号,読点,*,*,*,*,、,、,、,i
兵庫県	名詞,固有名詞,地域,一般,*,*,兵庫県,ヒョウゴケン,ヒョーゴケン,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
住ん	動詞,自立,*,*,五段・マ行,連用タ接続,住む,スン,スン,i
で	助詞,接続助詞,*,*,*,*,で,デ,デ,i
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,i
わけ	名詞,非自立,一般,*,*,*,わけ,ワケ,ワケ,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,i
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,i
なぜ	副詞,助詞類接続,*,*,*,*,なぜ,ナゼ,ナゼ,i
こっち	名詞,代名詞,一般,*,*,*,こっち,コッチ,コッチ,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
来	動詞,自立,*,*,カ変・来ル,未然形,来る,コ,コ,i
られ	動詞,接尾,*,*,一段,連用形,られる,ラレ,ラレ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,i
