まず	副詞,一般,*,*,*,*,まず,マズ,マズ,i
、	記号,読点,*,*,*,*,、,、,、,i
なんで	副詞,一般,*,*,*,*,なんで,ナンデ,ナンデ,i
中国	名詞,固有名詞,地域,国,*,*,中国,チュウゴク,チューゴク,i
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,i
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
来	動詞,自立,*,*,カ変・来ル,連用形,来る,キ,キ,i
たん	助動詞,*,*,*,特殊・タ,基本形,たん,タン,タン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
えー	フィラー,*,*,*,*,*,えー,エー,エー,s
最初	名詞,一般,*,*,*,*,最初,サイショ,サイショ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
えー	フィラー,*,*,*,*,*,えー,エー,エー,s
、	記号,読点,*,*,*,*,、,、,、,s
やはり	副詞,一般,*,*,*,*,やはり,ヤハリ,ヤハリ,s
なん	名詞,代名詞,一般,*,*,*,なん,ナン,ナン,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
中国	名詞,固有名詞,地域,国,*,*,中国,チュウゴク,チューゴク,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
テレビ	名詞,一般,*,*,*,*,テレビ,テレビ,テレビ,s
ドラマ	名詞,一般,*,*,*,*,ドラマ,ドラマ,ドラマ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
アニメ	名詞,一般,*,*,*,*,アニメ,アニメ,アニメ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
見	動詞,自立,*,*,一段,連用形,見る,ミ,ミ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
すごく	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,すごい,スゴク,スゴク,s
興味	名詞,一般,*,*,*,*,興味,キョウミ,キョーミ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
持つ	動詞,自立,*,*,五段・タ行,基本形,持つ,モツ,モツ,s
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
そこで	接続詞,*,*,*,*,*,そこで,ソコデ,ソコデ,s
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
中国	名詞,固有名詞,地域,国,*,*,中国,チュウゴク,チューゴク,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
高校	名詞,一般,*,*,*,*,高校,コウコウ,コーコー,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
とき	名詞,非自立,副詞可能,*,*,*,とき,トキ,トキ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
、	記号,読点,*,*,*,*,、,、,、,s
えー	フィラー,*,*,*,*,*,えー,エー,エー,s
、	記号,読点,*,*,*,*,、,、,、,s
日本語	名詞,一般,*,*,*,*,日本語,ニホンゴ,ニホンゴ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
勉強	名詞,サ変接続,*,*,*,*,勉強,ベンキョウ,ベンキョー,s
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,s
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
決め	動詞,自立,*,*,一段,連用形,決める,キメ,キメ,s
まし	助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ふーん	感動詞,*,*,*,*,*,ふーん,フーン,フーン,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
で	接続詞,*,*,*,*,*,で,デ,デ,s
