はい	感動詞,*,*,*,*,*,はい,ハイ,ハイ,i
、	記号,読点,*,*,*,*,、,、,、,i
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
まず	副詞,一般,*,*,*,*,まず,マズ,マズ,i
名前	名詞,一般,*,*,*,*,名前,ナマエ,ナマエ,i
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,i
お願い	名詞,サ変接続,*,*,*,*,お願い,オネガイ,オネガイ,i
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,i
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
名前	名詞,一般,*,*,*,*,名前,ナマエ,ナマエ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
神崎	名詞,固有名詞,人名,姓,*,*,神崎,カンザキ,カンザキ,s
翔太	名詞,固有名詞,人名,名,*,*,翔太,ショウタ,ショータ,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
何	名詞,数,*,*,*,*,何,ナン,ナン,i
歳	名詞,接尾,助数詞,*,*,*,歳,サイ,サイ,i
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
今年	名詞,副詞可能,*,*,*,*,今年,コトシ,コトシ,s
22	名詞,数,*,*,*,*,*,*,*,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
なり	動詞,自立,*,*,五段・ラ行,連用形,なる,ナリ,ナリ,s
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
はー	感動詞,*,*,*,*,*,はー,ハア,ハー,i
、	記号,読点,*,*,*,*,、,、,、,i
うち	名詞,代名詞,一般,*,*,*,うち,ウチ,ウチ,i
も	助詞,係助詞,*,*,*,*,も,モ,モ,i
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
、	記号,読点,*,*,*,*,、,、,、,i
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,i
翔太	名詞,固有名詞,人名,名,*,*,翔太,ショウタ,ショータ,i
くん	名詞,接尾,人名,*,*,*,くん,クン,クン,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
歴史	名詞,一般,*,*,*,*,歴史,レキシ,レキシ,i
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,i
語っ	動詞,自立,*,*,五段・ラ行,連用タ接続,語る,カタッ,カタッ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
欲しい	形容詞,非自立,*,*,形容詞・イ段,基本形,欲しい,ホシイ,ホシイ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,i
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
歴史	名詞,一般,*,*,*,*,歴史,レキシ,レキシ,s
、	記号,読点,*,*,*,*,、,、,、,s
歴史	名詞,一般,*,*,*,*,歴史,レキシ,レキシ,s
、	記号,読点,*,*,*,*,、,、,、,s
歴史	名詞,一般,*,*,*,*,歴史,レキシ,レキシ,s
、	記号,読点,*,*,*,*,、,、,、,s
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
どっ	名詞,代名詞,一般,*,*,*,どっ,ドッ,ドッ,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
あー	フィラー,*,*,*,*,*,あー,アー,アー,i
もう	副詞,一般,*,*,*,*,もう,モウ,モー,i
この世	名詞,一般,*,*,*,*,この世,コノヨ,コノヨ,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
生まれ	動詞,自立,*,*,一段,連用形,生まれる,ウマレ,ウマレ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
時	名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,i
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,i
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
あー	フィラー,*,*,*,*,*,あー,アー,アー,s
、	記号,読点,*,*,*,*,、,、,、,s
この世	名詞,一般,*,*,*,*,この世,コノヨ,コノヨ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
生まれ	動詞,自立,*,*,一段,連用形,生まれる,ウマレ,ウマレ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
普通	名詞,形容動詞語幹,*,*,*,*,普通,フツウ,フツー,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
小学校	名詞,一般,*,*,*,*,小学校,ショウガッコウ,ショーガッコー,s
、	記号,読点,*,*,*,*,、,、,、,s
中学校	名詞,一般,*,*,*,*,中学校,チュウガッコウ,チューガッコー,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
