はい	感動詞,*,*,*,*,*,はい,ハイ,ハイ,i
、	記号,読点,*,*,*,*,、,、,、,i
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
自己	名詞,一般,*,*,*,*,自己,ジコ,ジコ,i
紹介	名詞,サ変接続,*,*,*,*,紹介,ショウカイ,ショーカイ,i
お願い	名詞,サ変接続,*,*,*,*,お願い,オネガイ,オネガイ,i
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,i
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
はーい	感動詞,*,*,*,*,*,はーい,ハーイ,ハーイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
山田	名詞,固有名詞,人名,姓,*,*,山田,ヤマダ,ヤマダ,s
健司	名詞,固有名詞,人名,名,*,*,健司,ケンジ,ケンジ,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
昭和	名詞,固有名詞,一般,*,*,*,昭和,ショウワ,ショーワ,s
三	名詞,数,*,*,*,*,三,サン,サン,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
六	名詞,数,*,*,*,*,六,ロク,ロク,s
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,s
一月	名詞,副詞可能,*,*,*,*,一月,イチガツ,イチガツ,s
生まれ	名詞,一般,*,*,*,*,生まれ,ウマレ,ウマレ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
えー	フィラー,*,*,*,*,*,えー,エー,エー,s
、	記号,読点,*,*,*,*,、,、,、,s
いま	接頭詞,名詞接続,*,*,*,*,いま,イマ,イマ,s
四	名詞,数,*,*,*,*,四,ヨン,ヨン,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
九	名詞,数,*,*,*,*,九,キュウ,キュー,s
歳	名詞,接尾,助数詞,*,*,*,歳,サイ,サイ,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
大阪	名詞,固有名詞,地域,一般,*,*,大阪,オオサカ,オーサカ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
、	記号,読点,*,*,*,*,、,、,、,s
大阪	名詞,固有名詞,地域,一般,*,*,大阪,オオサカ,オーサカ,s
市内	名詞,接尾,地域,*,*,*,市内,シナイ,シナイ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
大正	名詞,固有名詞,地域,一般,*,*,大正,タイショウ,タイショー,s
区	名詞,接尾,助数詞,*,*,*,区,ク,ク,s
と	助詞,格助詞,引用,*,*,*,と,ト,ト,s
言う	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,s
ところ	名詞,非自立,副詞可能,*,*,*,ところ,トコロ,トコロ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
生まれ	動詞,自立,*,*,一段,連用形,生まれる,ウマレ,ウマレ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
育っ	動詞,自立,*,*,五段・タ行,連用タ接続,育つ,ソダッ,ソダッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
えー	フィラー,*,*,*,*,*,えー,エー,エー,s
、	記号,読点,*,*,*,*,、,、,、,s
芦屋	名詞,固有名詞,地域,一般,*,*,芦屋,アシヤ,アシヤ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
住ん	動詞,自立,*,*,五段・マ行,連用タ接続,住む,スン,スン,s
で	助詞,接続助詞,*,*,*,*,で,デ,デ,s
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,s
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ,s
、	記号,読点,*,*,*,*,、,、,、,s
えー	フィラー,*,*,*,*,*,えー,エー,エー,s
、	記号,読点,*,*,*,*,、,、,、,s
芦屋	名詞,固有名詞,地域,一般,*,*,芦屋,アシヤ,アシヤ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
住む	動詞,自立,*,*,五段・マ行,基本形,住む,スム,スム,s
前	名詞,副詞可能,*,*,*,*,前,マエ,マエ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
えー	フィラー,*,*,*,*,*,えー,エー,エー,s
、	記号,読点,*,*,*,*,、,、,、,s
アメリカ	名詞,固有名詞,地域,一般,*,*,アメリカ,アメリカ,アメリカ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
シアトル	名詞,固有名詞,地域,一般,*,*,シアトル,シアトル,シアトル,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
三	名詞,数,*,*,*,*,三,サン,サン,s
年間	名詞,接尾,助数詞,*,*,*,年間,ネンカン,ネンカン,s
住ん	動詞,自立,*,*,五段・マ行,連用タ接続,住む,スン,スン,s
で	助詞,接続助詞,*,*,*,*,で,デ,デ,s
まし	助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
えー	フィラー,*,*,*,*,*,えー,エー,エー,i
、	記号,読点,*,*,*,*,、,、,、,i
なんで	副詞,一般,*,*,*,*,なんで,ナンデ,ナンデ,i
