何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
言う	動詞,自立,*,*,五段・ワ行促音便,基本形,言う,ユウ,ユー,s
の	助詞,終助詞,*,*,*,*,の,ノ,ノ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
自己	名詞,一般,*,*,*,*,自己,ジコ,ジコ,i
紹介	名詞,サ変接続,*,*,*,*,紹介,ショウカイ,ショーカイ,i
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,i
お願い	名詞,サ変接続,*,*,*,*,お願い,オネガイ,オネガイ,i
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,i
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
えっと	フィラー,*,*,*,*,*,えっと,エット,エット,s
、	記号,読点,*,*,*,*,、,、,、,s
名前	名詞,一般,*,*,*,*,名前,ナマエ,ナマエ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
鈴木	名詞,固有名詞,人名,名,*,*,鈴木,スズキ,スズキ,s
敦美	名詞,固有名詞,人名,名,*,*,敦美,アツミ,アツミ,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
年齢	名詞,一般,*,*,*,*,年齢,ネンレイ,ネンレイ,s
四	名詞,数,*,*,*,*,四,ヨン,ヨン,s
七	名詞,数,*,*,*,*,七,ナナ,ナナ,s
歳	名詞,接尾,助数詞,*,*,*,歳,サイ,サイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
え	感動詞,*,*,*,*,*,え,エ,エ,s
、	記号,読点,*,*,*,*,、,、,、,s
大阪	名詞,固有名詞,地域,一般,*,*,大阪,オオサカ,オーサカ,s
出身	名詞,一般,*,*,*,*,出身,シュッシン,シュッシン,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
え	感動詞,*,*,*,*,*,え,エ,エ,s
、	記号,読点,*,*,*,*,、,、,、,s
子供	名詞,一般,*,*,*,*,子供,コドモ,コドモ,s
二人	名詞,一般,*,*,*,*,二人,フタリ,フタリ,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,s
芦屋	名詞,固有名詞,地域,一般,*,*,芦屋,アシヤ,アシヤ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
住ん	動詞,自立,*,*,五段・マ行,連用タ接続,住む,スン,スン,s
で	助詞,接続助詞,*,*,*,*,で,デ,デ,s
い	動詞,非自立,*,*,一段,連用形,いる,イ,イ,s
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
生年月日	名詞,一般,*,*,*,*,生年月日,セイネンガッピ,セイネンガッピ,i
EOS
昭和	名詞,固有名詞,一般,*,*,*,昭和,ショウワ,ショーワ,s
三	名詞,数,*,*,*,*,三,サン,サン,s
八	名詞,数,*,*,*,*,八,ハチ,ハチ,s
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,s
２月	名詞,副詞可能,*,*,*,*,２月,ニガツ,ニガツ,s
十六	名詞,数,*,*,*,*,十六,ジュウロク,ジューロク,s
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
今まで	副詞,一般,*,*,*,*,今まで,イママデ,イママデ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
経歴	名詞,一般,*,*,*,*,経歴,ケイレキ,ケイレキ,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
学校	名詞,一般,*,*,*,*,学校,ガッコウ,ガッコー,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
移り変わり	名詞,一般,*,*,*,*,移り変わり,ウツリカワリ,ウツリカワリ,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
簡単	名詞,一般,*,*,*,*,簡単,カンタン,カンタン,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
EOS
はい	感動詞,*,*,*,*,*,はい,ハイ,ハイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
えーと	フィラー,*,*,*,*,*,えーと,エート,エート,s
、	記号,読点,*,*,*,*,、,、,、,s
池田	名詞,固有名詞,地域,一般,*,*,池田,イケダ,イケダ,s
市	名詞,接尾,地域,*,*,*,市,シ,シ,s
、	記号,読点,*,*,*,*,、,、,、,s
大阪	名詞,固有名詞,地域,一般,*,*,大阪,オオサカ,オーサカ,s
府	名詞,接尾,地域,*,*,*,府,フ,フ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
池田	名詞,固有名詞,地域,一般,*,*,池田,イケダ,イケダ,s
市	名詞,接尾,地域,*,*,*,市,シ,シ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
育っ	動詞,自立,*,*,五段・タ行,連用タ接続,育つ,ソダッ,ソダッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
えっと	フィラー,*,*,*,*,*,えっと,エット,エット,s
幼稚園	名詞,一般,*,*,*,*,幼稚園,ヨウチエン,ヨーチエン,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
幼稚園	名詞,一般,*,*,*,*,幼稚園,ヨウチエン,ヨーチエン,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
池田	名詞,固有名詞,地域,一般,*,*,池田,イケダ,イケダ,s
、	記号,読点,*,*,*,*,、,、,、,s
池田	名詞,固有名詞,地域,一般,*,*,池田,イケダ,イケダ,s
教会	名詞,一般,*,*,*,*,教会,キョウカイ,キョーカイ,s
幼稚園	名詞,一般,*,*,*,*,幼稚園,ヨウチエン,ヨーチエン,s
、	記号,読点,*,*,*,*,、,、,、,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
あと	名詞,一般,*,*,*,*,あと,アト,アト,s
小学校	名詞,一般,*,*,*,*,小学校,ショウガッコウ,ショーガッコー,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
池田	名詞,固有名詞,地域,一般,*,*,池田,イケダ,イケダ,s
市立	名詞,一般,*,*,*,*,市立,シリツ,シリツ,s
石橋	名詞,固有名詞,地域,一般,*,*,石橋,イシバシ,イシバシ,s
小学校	名詞,一般,*,*,*,*,小学校,ショウガッコウ,ショーガッコー,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
卒業	名詞,サ変接続,*,*,*,*,卒業,ソツギョウ,ソツギョー,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
中学校	名詞,一般,*,*,*,*,中学校,チュウガッコウ,チューガッコー,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
池田	名詞,固有名詞,地域,一般,*,*,池田,イケダ,イケダ,s
