ふん	感動詞,*,*,*,*,*,ふん,フン,フン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
とりあえず	副詞,助詞類接続,*,*,*,*,とりあえず,トリアエズ,トリアエズ,s
、	記号,読点,*,*,*,*,、,、,、,s
勉強	名詞,サ変接続,*,*,*,*,勉強,ベンキョウ,ベンキョー,s
、	記号,読点,*,*,*,*,、,、,、,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
なかっ	助動詞,*,*,*,特殊・ナイ,連用タ接続,ない,ナカッ,ナカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そのうち	副詞,一般,*,*,*,*,そのうち,ソノウチ,ソノウチ,s
とりあえず	副詞,助詞類接続,*,*,*,*,とりあえず,トリアエズ,トリアエズ,s
宿題	名詞,サ変接続,*,*,*,*,宿題,シュクダイ,シュクダイ,s
せえ	動詞,自立,*,*,サ変・スル,命令k,する,セエ,セー,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
あっ	動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
勉強	名詞,サ変接続,*,*,*,*,勉強,ベンキョウ,ベンキョー,s
せえ	動詞,自立,*,*,サ変・スル,命令k,する,セエ,セー,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
言わ	動詞,自立,*,*,五段・ワ行促音便,未然形,言う,ユワ,ユワ,s
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
ほとんど	副詞,一般,*,*,*,*,ほとんど,ホトンド,ホトンド,s
なかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,ない,ナカッ,ナカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
どんな	連体詞,*,*,*,*,*,どんな,ドンナ,ドンナ,i
しつけ	動詞,自立,*,*,一段,連用形,しつける,シツケ,シツケ,i
受け	動詞,自立,*,*,一段,連用形,受ける,ウケ,ウケ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
友達	名詞,一般,*,*,*,*,友達,トモダチ,トモダチ,i
と	助詞,格助詞,一般,*,*,*,と,ト,ト,i
遊び	動詞,自立,*,*,五段・バ行,連用形,遊ぶ,アソビ,アソビ,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
行く	動詞,自立,*,*,五段・カ行促音便,基本形,行く,イク,イク,i
とき	名詞,非自立,副詞可能,*,*,*,とき,トキ,トキ,i
と	助詞,格助詞,一般,*,*,*,と,ト,ト,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
、	記号,読点,*,*,*,*,、,、,、,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
絶対	副詞,一般,*,*,*,*,絶対,ゼッタイ,ゼッタイ,i
、	記号,読点,*,*,*,*,、,、,、,i
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,i
どこ	名詞,代名詞,一般,*,*,*,どこ,ドコ,ドコ,i
行く	動詞,自立,*,*,五段・カ行促音便,基本形,行く,イク,イク,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
言い	動詞,自立,*,*,五段・ワ行促音便,連用形,言う,イイ,イー,i
なさい	動詞,非自立,*,*,五段・ラ行特殊,連用形,なさる,ナサイ,ナサイ,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
いや	感動詞,*,*,*,*,*,いや,イヤ,イヤ,s
別に	副詞,一般,*,*,*,*,別に,ベツニ,ベツニ,s
ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
遊ぶ	動詞,自立,*,*,五段・バ行,基本形,遊ぶ,アソブ,アソブ,s
とこ	名詞,一般,*,*,*,*,とこ,トコ,トコ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
みな	名詞,代名詞,一般,*,*,*,みな,ミナ,ミナ,s
決まっ	動詞,自立,*,*,五段・ラ行,連用タ接続,決まる,キマッ,キマッ,s
とっ	動詞,非自立,*,*,五段・ラ行,連用タ接続・縮約形,て＋おる,トッ,トッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
、	記号,読点,*,*,*,*,、,、,、,s
遊ぶ	動詞,自立,*,*,五段・バ行,基本形,遊ぶ,アソブ,アソブ,s
場所	名詞,一般,*,*,*,*,場所,バショ,バショ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
二	名詞,固有名詞,地域,一般,*,*,二,フタ,フタ,s
、	記号,読点,*,*,*,*,、,、,、,s
三	名詞,数,*,*,*,*,三,サン,サン,s
か所	名詞,接尾,助数詞,*,*,*,か所,カショ,カショ,s
あっ	動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
そこ	名詞,代名詞,一般,*,*,*,そこ,ソコ,ソコ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
ずっと	副詞,一般,*,*,*,*,ずっと,ズット,ズット,s
みな	名詞,代名詞,一般,*,*,*,みな,ミナ,ミナ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
遊ん	動詞,自立,*,*,五段・バ行,連用タ接続,遊ぶ,アソン,アソン,s
どっ	動詞,非自立,*,*,五段・ラ行,連用タ接続・縮約形,て＋おる,ドッ,ドッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
、	記号,読点,*,*,*,*,、,、,、,i
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
結構	副詞,一般,*,*,*,*,結構,ケッコウ,ケッコー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
ほったらかし	動詞,自立,*,*,五段・サ行,連用形,ほったらかす,ホッタラカシ,ホッタラカシ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
遊ぶ	動詞,自立,*,*,五段・バ行,基本形,遊ぶ,アソブ,アソブ,s
とき	名詞,非自立,副詞可能,*,*,*,とき,トキ,トキ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ほったらかし	動詞,自立,*,*,五段・サ行,連用形,ほったらかす,ホッタラカシ,ホッタラカシ,i
、	記号,読点,*,*,*,*,、,、,、,i
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
、	記号,読点,*,*,*,*,、,、,、,i
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,i
さあ	感動詞,*,*,*,*,*,さあ,サア,サー,i
、	記号,読点,*,*,*,*,、,、,、,i
勉強	名詞,サ変接続,*,*,*,*,勉強,ベンキョウ,ベンキョー,i
あんま	副詞,助詞類接続・縮約形,*,*,*,*,あんまり,アンマ,アンマ,i
せ	動詞,自立,*,*,サ変・スル,未然形特殊,する,セ,セ,i
んかっ	助動詞,*,*,*,特殊・ナイ,連用タ接続,ん,ンカッ,ンカッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
言っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,言う,ユッ,ユッ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,i
、	記号,読点,*,*,*,*,、,、,、,i
学校	名詞,一般,*,*,*,*,学校,ガッコウ,ガッコー,i
出	動詞,自立,*,*,一段,連用形,出る,デ,デ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
、	記号,読点,*,*,*,*,、,、,、,i
えっと	フィラー,*,*,*,*,*,えっと,エット,エット,i
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ,i
、	記号,読点,*,*,*,*,、,、,、,i
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,i
会社	名詞,一般,*,*,*,*,会社,カイシャ,カイシャ,i
勤め	動詞,自立,*,*,一段,連用形,勤める,ツトメ,ツトメ,i
し	動詞,接尾,*,*,五段・サ行,連用形,す,シ,シ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,i
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,i
、	記号,読点,*,*,*,*,、,、,、,i
そこ	名詞,代名詞,一般,*,*,*,そこ,ソコ,ソコ,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,i
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,i
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
三	名詞,数,*,*,*,*,三,サン,サン,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
仕事	名詞,サ変接続,*,*,*,*,仕事,シゴト,シゴト,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	助詞,終助詞,*,*,*,*,ん,ン,ン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
え	感動詞,*,*,*,*,*,え,エ,エ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
なん	名詞,代名詞,一般,*,*,*,なん,ナン,ナン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
仕事	名詞,サ変接続,*,*,*,*,仕事,シゴト,シゴト,s
ゆう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いう,ユウ,ユー,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
、	記号,読点,*,*,*,*,、,、,、,s
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
、	記号,読点,*,*,*,*,、,、,、,s
海上	名詞,一般,*,*,*,*,海上,カイジョウ,カイジョー,s
コンテナ	名詞,一般,*,*,*,*,コンテナ,コンテナ,コンテナ,s
関係	名詞,サ変接続,*,*,*,*,関係,カンケイ,カンケイ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
どんなん	名詞,一般,副詞可能,*,*,*,どんなん,ドンナン,ドンナン,i
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,i
てん	動詞,非自立,*,*,一段撥音便,基本形・縮約形,て＋いる,テン,テン,i
の	助詞,終助詞,*,*,*,*,の,ノ,ノ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
あたし	名詞,代名詞,一般,*,*,*,あたし,アタシ,アタシ,i
も	助詞,係助詞,*,*,*,*,も,モ,モ,i
よく	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,よい,ヨク,ヨク,i
わから	動詞,自立,*,*,五段・ラ行,未然形,わかる,ワカラ,ワカラ,i
へん	助動詞,*,*,*,特殊・ナイ,基本形,へん,ヘン,ヘン,i
ねん	助詞,終助詞,*,*,*,*,ねん,ネン,ネン,i
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
うーん	感動詞,*,*,*,*,*,うーん,ウーン,ウーン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
輸出	名詞,サ変接続,*,*,*,*,輸出,ユシュツ,ユシュツ,s
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,s
コンテナ	名詞,一般,*,*,*,*,コンテナ,コンテナ,コンテナ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
穴	名詞,一般,*,*,*,*,穴,アナ,アナ,s
あい	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,あく,アイ,アイ,s
とる	動詞,非自立,*,*,五段・ラ行,基本形・縮約形,て＋おる,トル,トル,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
あい	動詞,自立,*,*,五段・ワ行促音便,連用形,あう,アイ,アイ,s
とら	動詞,非自立,*,*,五段・ラ行,未然形・縮約形,て＋おる,トラ,トラ,s
ん	助詞,終助詞,*,*,*,*,ん,ン,ン,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
チェック	名詞,一般,*,*,*,*,チェック,チェック,チェック,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
たり	助詞,並立助詞,*,*,*,*,たり,タリ,タリ,s
、	記号,読点,*,*,*,*,、,、,、,s
帰っ	動詞,自立,*,*,五段・ラ行,連用タ接続,帰る,カエッ,カエッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
き	動詞,非自立,*,*,カ変・クル,連用形,くる,キ,キ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
コンテナ	名詞,一般,*,*,*,*,コンテナ,コンテナ,コンテナ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
今度	名詞,副詞可能,*,*,*,*,今度,コンド,コンド,s
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
出す	動詞,自立,*,*,五段・サ行,基本形,出す,ダス,ダス,s
とき	名詞,非自立,副詞可能,*,*,*,とき,トキ,トキ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
使える	動詞,自立,*,*,一段,基本形,使える,ツカエル,ツカエル,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
チェック	名詞,一般,*,*,*,*,チェック,チェック,チェック,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ほー	感動詞,*,*,*,*,*,ほー,ホー,ホー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
楽しい	形容詞,自立,*,*,形容詞・イ段,基本形,楽しい,タノシイ,タノシイ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
楽しい	形容詞,自立,*,*,形容詞・イ段,基本形,楽しい,タノシイ,タノシイ,s
、	記号,読点,*,*,*,*,、,、,、,s
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
