始め	動詞,自立,*,*,一段,連用形,始める,ハジメ,ハジメ,i
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ,i
名前	名詞,一般,*,*,*,*,名前,ナマエ,ナマエ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
山田	名詞,固有名詞,人名,姓,*,*,山田,ヤマダ,ヤマダ,s
花子	名詞,固有名詞,人名,名,*,*,花子,ハナコ,ハナコ,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,i
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
大学	名詞,一般,*,*,*,*,大学,ダイガク,ダイガク,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
通っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,通う,カヨッ,カヨッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
どんな	連体詞,*,*,*,*,*,どんな,ドンナ,ドンナ,i
大学	名詞,一般,*,*,*,*,大学,ダイガク,ダイガク,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
医療	名詞,一般,*,*,*,*,医療,イリョウ,イリョー,s
系	名詞,接尾,一般,*,*,*,系,ケイ,ケイ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
学部	名詞,一般,*,*,*,*,学部,ガクブ,ガクブ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
いっぱい	副詞,一般,*,*,*,*,いっぱい,イッパイ,イッパイ,s
あっ	動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
自分	名詞,一般,*,*,*,*,自分,ジブン,ジブン,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
栄養	名詞,一般,*,*,*,*,栄養,エイヨウ,エイヨー,s
学部	名詞,一般,*,*,*,*,学部,ガクブ,ガクブ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
入っ	動詞,自立,*,*,五段・ラ行,連用タ接続,入る,ハイッ,ハイッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
男の子	名詞,一般,*,*,*,*,男の子,オトコノコ,オトコノコ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
少ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,少ない,スクナイ,スクナイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
少ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,少ない,スクナイ,スクナイ,i
ん	助詞,終助詞,*,*,*,*,ん,ン,ン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
どん	名詞,一般,*,*,*,*,どん,ドン,ドン,i
くらい	助詞,副助詞,*,*,*,*,くらい,クライ,クライ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
学部	名詞,一般,*,*,*,*,学部,ガクブ,ガクブ,s
だけ	助詞,副助詞,*,*,*,*,だけ,ダケ,ダケ,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
、	記号,読点,*,*,*,*,、,、,、,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
、	記号,読点,*,*,*,*,、,、,、,s
男の子	名詞,一般,*,*,*,*,男の子,オトコノコ,オトコノコ,s
一	名詞,数,*,*,*,*,一,イチ,イチ,s
割	名詞,接尾,助数詞,*,*,*,割,ワリ,ワリ,s
くらい	助詞,副助詞,*,*,*,*,くらい,クライ,クライ,s
しか	助詞,係助詞,*,*,*,*,しか,シカ,シカ,s
おら	動詞,自立,*,*,五段・ラ行,未然形,おる,オラ,オラ,s
んく	助動詞,*,*,*,特殊・ナイ,連用テ接続,ん,ンク,ンク,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
ほんまに	副詞,一般,*,*,*,*,ほんまに,ホンマニ,ホンマニ,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
女子大	名詞,一般,*,*,*,*,女子大,ジョシダイ,ジョシダイ,s
じゃ	助動詞,*,*,*,特殊・ジャ,未然形,じゃ,ジャ,ジャ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
女子大	名詞,一般,*,*,*,*,女子大,ジョシダイ,ジョシダイ,s
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ,s
で	助詞,終助詞,*,*,*,*,で,デ,デ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
辛い	形容詞,自立,*,*,形容詞・アウオ段,基本形,辛い,ツライ,ツライ,i
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
高校	名詞,一般,*,*,*,*,高校,コウコウ,コーコー,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
中学	名詞,一般,*,*,*,*,中学,チュウガク,チューガク,i
