お願い	名詞,サ変接続,*,*,*,*,お願い,オネガイ,オネガイ,i
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,i
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
どうも	感動詞,*,*,*,*,*,どうも,ドウモ,ドーモ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
えー	フィラー,*,*,*,*,*,えー,エー,エー,i
、	記号,読点,*,*,*,*,、,、,、,i
なに	名詞,代名詞,一般,*,*,*,なに,ナニ,ナニ,i
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,i
聞い	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,聞く,キイ,キイ,i
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,i
いい	形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イー,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
あ	感動詞,*,*,*,*,*,あ,ア,ア,s
、	記号,読点,*,*,*,*,、,、,、,s
自分	名詞,一般,*,*,*,*,自分,ジブン,ジブン,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
考え	動詞,自立,*,*,一段,連用形,考える,カンガエ,カンガエ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,i
、	記号,読点,*,*,*,*,、,、,、,i
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,i
別に	副詞,一般,*,*,*,*,別に,ベツニ,ベツニ,i
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,i
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,i
話し	動詞,自立,*,*,五段・サ行,連用形,話す,ハナシ,ハナシ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,i
なく	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,ない,ナク,ナク,i
、	記号,読点,*,*,*,*,、,、,、,i
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,i
こう	副詞,助詞類接続,*,*,*,*,こう,コウ,コー,i
普段	名詞,副詞可能,*,*,*,*,普段,フダン,フダン,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
会話	名詞,サ変接続,*,*,*,*,会話,カイワ,カイワ,i
で	助詞,格助詞,一般,*,*,*,で,デ,デ,i
出	動詞,自立,*,*,一段,連用形,出る,デ,デ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
くる	動詞,非自立,*,*,カ変・クル,基本形,くる,クル,クル,i
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,i
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,i
録音	名詞,サ変接続,*,*,*,*,録音,ロクオン,ロクオン,i
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
、	記号,読点,*,*,*,*,、,、,、,i
で	接続詞,*,*,*,*,*,で,デ,デ,i
関西	名詞,固有名詞,地域,一般,*,*,関西,カンサイ,カンサイ,i
弁	名詞,接尾,一般,*,*,*,弁,ベン,ベン,i
どんな	連体詞,*,*,*,*,*,どんな,ドンナ,ドンナ,i
風	名詞,非自立,形容動詞語幹,*,*,*,風,フウ,フー,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
使わ	動詞,自立,*,*,五段・ワ行促音便,未然形,使う,ツカワ,ツカワ,i
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,i
調べる	動詞,自立,*,*,一段,基本形,調べる,シラベル,シラベル,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
あたし	名詞,代名詞,一般,*,*,*,あたし,アタシ,アタシ,s
ほんと	名詞,形容動詞語幹,*,*,*,*,ほんと,ホント,ホント,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
関西	名詞,固有名詞,地域,一般,*,*,関西,カンサイ,カンサイ,s
弁	名詞,接尾,一般,*,*,*,弁,ベン,ベン,s
、	記号,読点,*,*,*,*,、,、,、,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
なー	助詞,終助詞,*,*,*,*,なー,ナー,ナー,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
やっぱり	副詞,一般,*,*,*,*,やっぱり,ヤッパリ,ヤッパリ,s
