四	名詞,数,*,*,*,*,四,ヨン,ヨン,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
六	名詞,数,*,*,*,*,六,ロク,ロク,s
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
、	記号,読点,*,*,*,*,、,、,、,s
あのー	フィラー,*,*,*,*,*,あのー,アノー,アノー,s
、	記号,読点,*,*,*,*,、,、,、,s
店	名詞,一般,*,*,*,*,店,ミセ,ミセ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
始め	動詞,自立,*,*,一段,連用形,始める,ハジメ,ハジメ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
わ	助詞,終助詞,*,*,*,*,わ,ワ,ワ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ちょうど	副詞,一般,*,*,*,*,ちょうど,チョウド,チョード,s
、	記号,読点,*,*,*,*,、,、,、,s
バブル	名詞,一般,*,*,*,*,バブル,バブル,バブル,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
前	名詞,副詞可能,*,*,*,*,前,マエ,マエ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,s
かー	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カー,カー,s
、	記号,読点,*,*,*,*,、,、,、,s
バブル	名詞,一般,*,*,*,*,バブル,バブル,バブル,s
期	名詞,接尾,助数詞,*,*,*,期,キ,キ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
ちょうど	副詞,一般,*,*,*,*,ちょうど,チョウド,チョード,s
バブル	名詞,一般,*,*,*,*,バブル,バブル,バブル,s
期	名詞,接尾,助数詞,*,*,*,期,キ,キ,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
なんにも	副詞,一般,*,*,*,*,なんにも,ナンニモ,ナンニモ,s
素人	名詞,一般,*,*,*,*,素人,シロウト,シロート,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
始め	動詞,自立,*,*,一段,連用形,始める,ハジメ,ハジメ,s
てん	動詞,非自立,*,*,一段撥音便,基本形・縮約形,て＋いる,テン,テン,s
のに	助詞,接続助詞,*,*,*,*,のに,ノニ,ノニ,s
、	記号,読点,*,*,*,*,、,、,、,s
ものすご	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,ものすごい,モノスゴ,モノスゴ,s
忙しかっ	形容詞,自立,*,*,形容詞・イ段,連用タ接続,忙しい,イソガシカッ,イソガシカッ,s
てん	助動詞,*,*,*,特殊・タ,基本形,た,テン,テン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
儲かっ	動詞,自立,*,*,五段・ラ行,連用タ接続,儲かる,モウカッ,モーカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
すっごい	形容詞,自立,*,*,形容詞・アウオ段,基本形,すっごい,スッゴイ,スッゴイ,s
儲かっ	動詞,自立,*,*,五段・ラ行,連用タ接続,儲かる,モウカッ,モーカッ,s
てん	助動詞,*,*,*,特殊・タ,基本形,た,テン,テン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ただ	接続詞,*,*,*,*,*,ただ,タダ,タダ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
食堂	名詞,一般,*,*,*,*,食堂,ショクドウ,ショクドー,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あのー	フィラー,*,*,*,*,*,あのー,アノー,アノー,s
、	記号,読点,*,*,*,*,、,、,、,s
うどん	名詞,一般,*,*,*,*,うどん,ウドン,ウドン,s
屋	名詞,接尾,一般,*,*,*,屋,ヤ,ヤ,s
さん	名詞,接尾,人名,*,*,*,さん,サン,サン,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
けども	助詞,接続助詞,*,*,*,*,けども,ケドモ,ケドモ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
素人	名詞,一般,*,*,*,*,素人,シロウト,シロート,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
なん	名詞,代名詞,一般,*,*,*,なん,ナン,ナン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
経験	名詞,サ変接続,*,*,*,*,経験,ケイケン,ケイケン,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
ねん	助詞,終助詞,*,*,*,*,ねん,ネン,ネン,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
