一本	名詞,固有名詞,地域,一般,*,*,一本,イッポン,イッポン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
バナナ	名詞,一般,*,*,*,*,バナナ,バナナ,バナナ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
三	名詞,数,*,*,*,*,三,サン,サン,s
人	名詞,接尾,助数詞,*,*,*,人,ニン,ニン,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
分け	動詞,自立,*,*,一段,連用形,分ける,ワケ,ワケ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
六	名詞,数,*,*,*,*,六,ロク,ロク,s
百	名詞,数,*,*,*,*,百,ヒャク,ヒャク,s
円	名詞,形容動詞語幹,*,*,*,*,円,ツブラ,ツブラ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
一	名詞,数,*,*,*,*,一,イチ,イチ,i
本	名詞,接尾,助数詞,*,*,*,本,ホン,ホン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
わお	感動詞,*,*,*,*,*,わお,ワオ,ワオ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
そん	連体詞,*,*,*,*,*,その,ソン,ソン,s
くらい	形容詞,自立,*,*,形容詞・アウオ段,基本形,くらい,クライ,クライ,s
貴重	名詞,形容動詞語幹,*,*,*,*,貴重,キチョウ,キチョー,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
もん	名詞,非自立,一般,*,*,*,もん,モン,モン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
余計	副詞,一般,*,*,*,*,余計,ヨケイ,ヨケイ,s
なかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,ない,ナカッ,ナカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
、	記号,読点,*,*,*,*,、,、,、,s
高級	名詞,形容動詞語幹,*,*,*,*,高級,コウキュウ,コーキュー,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
もん	名詞,非自立,一般,*,*,*,もん,モン,モン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
手	名詞,一般,*,*,*,*,手,テ,テ,i
、	記号,読点,*,*,*,*,、,、,、,i
ねちゃねちゃ	副詞,一般,*,*,*,*,ねちゃねちゃ,ネチャネチャ,ネチャネチャ,i
なら	動詞,自立,*,*,五段・ラ行,未然形,なる,ナラ,ナラ,i
へん	助動詞,*,*,*,特殊・ナイ,基本形,へん,ヘン,ヘン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
そんな	連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ,s
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,s
、	記号,読点,*,*,*,*,、,、,、,s
意識	名詞,サ変接続,*,*,*,*,意識,イシキ,イシキ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
なかっ	助動詞,*,*,*,特殊・ナイ,連用タ接続,ない,ナカッ,ナカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
と	助詞,格助詞,引用,*,*,*,と,ト,ト,s
思う	動詞,自立,*,*,五段・ワ行促音便,基本形,思う,オモウ,オモウ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
の	助詞,終助詞,*,*,*,*,の,ノ,ノ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
それから	接続詞,*,*,*,*,*,それから,ソレカラ,ソレカラ,s
の	助詞,終助詞,*,*,*,*,の,ノ,ノ,s
、	記号,読点,*,*,*,*,、,、,、,s
数の子	名詞,一般,*,*,*,*,数の子,数ノ子,数ノ子,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,s
の	助詞,終助詞,*,*,*,*,の,ノ,ノ,s
、	記号,読点,*,*,*,*,、,、,、,s
あの	フィラー,*,*,*,*,*,あの,アノ,アノ,s
、	記号,読点,*,*,*,*,、,、,、,s
うーん	感動詞,*,*,*,*,*,うーん,ウーン,ウーン,s
、	記号,読点,*,*,*,*,、,、,、,s
飼料	名詞,一般,*,*,*,*,飼料,シリョウ,シリョー,s
、	記号,読点,*,*,*,*,、,、,、,s
肥料	名詞,一般,*,*,*,*,肥料,ヒリョウ,ヒリョー,s
、	記号,読点,*,*,*,*,、,、,、,s
飼料	名詞,一般,*,*,*,*,飼料,シリョウ,シリョー,s
、	記号,読点,*,*,*,*,、,、,、,s
肥料	名詞,一般,*,*,*,*,肥料,ヒリョウ,ヒリョー,s
言う	動詞,自立,*,*,五段・ワ行促音便,基本形,言う,ユウ,ユー,s
の	助詞,終助詞,*,*,*,*,の,ノ,ノ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
肥料	名詞,一般,*,*,*,*,肥料,ヒリョウ,ヒリョー,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
肥料	名詞,一般,*,*,*,*,肥料,ヒリョウ,ヒリョー,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
植物	名詞,一般,*,*,*,*,植物,ショクブツ,ショクブツ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
あの	フィラー,*,*,*,*,*,あの,アノ,アノ,s
、	記号,読点,*,*,*,*,、,、,、,s
畑	名詞,一般,*,*,*,*,畑,ハタケ,ハタケ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
蒔い	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,蒔く,マイ,マイ,s
たり	助詞,並立助詞,*,*,*,*,たり,タリ,タリ,s
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
の	助詞,終助詞,*,*,*,*,の,ノ,ノ,s
、	記号,読点,*,*,*,*,、,、,、,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
魚	名詞,一般,*,*,*,*,魚,サカナ,サカナ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
、	記号,読点,*,*,*,*,、,、,、,s
あの	フィラー,*,*,*,*,*,あの,アノ,アノ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
はらこ	名詞,一般,*,*,*,*,はらこ,ハラコ,ハラコ,i
