出身	名詞,一般,*,*,*,*,出身,シュッシン,シュッシン,i
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,i
教え	動詞,自立,*,*,一段,連用形,教える,オシエ,オシエ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
ください	動詞,非自立,*,*,五段・ラ行特殊,連用形,くださる,クダサイ,クダサイ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
韓国	名詞,固有名詞,地域,国,*,*,韓国,カンコク,カンコク,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
蔚山	名詞,固有名詞,地域,一般,*,*,蔚山,ウルサン,ウルサン,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
蔚山	名詞,固有名詞,地域,一般,*,*,蔚山,ウルサン,ウルサン,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
どんな	連体詞,*,*,*,*,*,どんな,ドンナ,ドンナ,i
ところ	名詞,非自立,副詞可能,*,*,*,ところ,トコロ,トコロ,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
蔚山	名詞,固有名詞,地域,一般,*,*,蔚山,ウルサン,ウルサン,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
一応	副詞,助詞類接続,*,*,*,*,一応,イチオウ,イチオー,s
海辺	名詞,一般,*,*,*,*,海辺,ウミベ,ウミベ,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
大阪	名詞,固有名詞,地域,一般,*,*,大阪,オオサカ,オーサカ,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,s
似	動詞,自立,*,*,一段,連用形,似る,ニ,ニ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
、	記号,読点,*,*,*,*,、,、,、,s
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
首都	名詞,一般,*,*,*,*,首都,シュト,シュト,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
言え	動詞,自立,*,*,五段・ワ行促音便,仮定形,言う,イエ,イエ,s
ば	助詞,接続助詞,*,*,*,*,ば,バ,バ,s
東京	名詞,固有名詞,地域,一般,*,*,東京,トウキョウ,トーキョー,s
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,s
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
、	記号,読点,*,*,*,*,、,、,、,s
あれ	名詞,代名詞,一般,*,*,*,あれ,アレ,アレ,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
第	接頭詞,名詞接続,*,*,*,*,第,ダイ,ダイ,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
都市	名詞,一般,*,*,*,*,都市,トシ,トシ,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
言え	動詞,自立,*,*,五段・ワ行促音便,仮定形,言う,イエ,イエ,s
ば	助詞,接続助詞,*,*,*,*,ば,バ,バ,s
大阪	名詞,固有名詞,地域,一般,*,*,大阪,オオサカ,オーサカ,s
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
、	記号,読点,*,*,*,*,、,、,、,s
蔚山	名詞,固有名詞,地域,一般,*,*,蔚山,ウルサン,ウルサン,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
一緒	名詞,サ変接続,*,*,*,*,一緒,イッショ,イッショ,s
、	記号,読点,*,*,*,*,、,、,、,s
同じ	連体詞,*,*,*,*,*,同じ,オナジ,オナジ,s
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
蔚山	名詞,固有名詞,地域,一般,*,*,蔚山,ウルサン,ウルサン,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
