緊張	名詞,サ変接続,*,*,*,*,緊張,キンチョウ,キンチョー,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
方	名詞,非自立,一般,*,*,*,方,ホウ,ホー,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
いい	形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イー,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
ううん	感動詞,*,*,*,*,*,ううん,ウウン,ウーン,i
、	記号,読点,*,*,*,*,、,、,、,i
大丈夫	名詞,形容動詞語幹,*,*,*,*,大丈夫,ダイジョウブ,ダイジョーブ,i
大丈夫	名詞,形容動詞語幹,*,*,*,*,大丈夫,ダイジョウブ,ダイジョーブ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
全然	副詞,助詞類接続,*,*,*,*,全然,ゼンゼン,ゼンゼン,i
大丈夫	名詞,形容動詞語幹,*,*,*,*,大丈夫,ダイジョウブ,ダイジョーブ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
まず	副詞,一般,*,*,*,*,まず,マズ,マズ,i
、	記号,読点,*,*,*,*,、,、,、,i
なんで	副詞,一般,*,*,*,*,なんで,ナンデ,ナンデ,i
、	記号,読点,*,*,*,*,、,、,、,i
大阪	名詞,固有名詞,地域,一般,*,*,大阪,オオサカ,オーサカ,i
じゃ	助動詞,*,*,*,特殊・ジャ,未然形,じゃ,ジャ,ジャ,i
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,i
、	記号,読点,*,*,*,*,、,、,、,i
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
来	動詞,自立,*,*,カ変・来ル,連用形,来る,キ,キ,i
たん	助動詞,*,*,*,特殊・タ,基本形,たん,タン,タン,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
あー	フィラー,*,*,*,*,*,あー,アー,アー,s
なんで	副詞,一般,*,*,*,*,なんで,ナンデ,ナンデ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そんなに	副詞,一般,*,*,*,*,そんなに,ソンナニ,ソンナニ,s
大した	連体詞,*,*,*,*,*,大した,タイシタ,タイシタ,s
理由	名詞,一般,*,*,*,*,理由,リユウ,リユー,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ああ	感動詞,*,*,*,*,*,ああ,アア,アー,i
、	記号,読点,*,*,*,*,、,、,、,i
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
、	記号,読点,*,*,*,*,、,、,、,s
