なし,1705,1705,8464,形容詞,自立,*,*,形容詞・アウオ段,文語基本形,ない,ナシ,ナシ
なし,0,0,0,助動詞,*,*,*,特殊・ナイ,文語基本形,ない,ナシ,ナシ
べし,71,71,8443,助動詞,*,*,*,文語・ベシ,基本形,べし,ベシ,ベシ
べから,72,72,8443,助動詞,*,*,*,文語・ベシ,未然形,べし,ベカラ,ベカラ
べく,73,73,8443,助動詞,*,*,*,文語・ベシ,連用形,べし,ベク,ベク
べき,70,70,8372,助動詞,*,*,*,文語・ベシ,体言接続,べし,ベキ,ベキ
べけれ,69,69,8443,助動詞,*,*,*,文語・ベシ,仮定形,べし,ベケレ,ベケレ
なり,68,68,9506,助動詞,*,*,*,文語・ナリ,基本形,なり,ナリ,ナリ
ぬ,166,166,9057,助動詞,*,*,*,特殊・ヌ,基本形,ぬ,ヌ,ヌ
ず,167,167,9231,助動詞,*,*,*,特殊・ヌ,文語基本形,ぬ,ズ,ズ
ざり,169,169,9049,助動詞,*,*,*,特殊・ヌ,連用形,ぬ,ザリ,ザリ
ず,168,168,9231,助動詞,*,*,*,特殊・ヌ,連用ニ接続,ぬ,ズ,ズ
ざる,165,165,9012,助動詞,*,*,*,特殊・ヌ,体言接続,ぬ,ザル,ザル
無し,1705,1705,6682,形容詞,自立,*,*,形容詞・アウオ段,文語基本形,無い,ナシ,ナシ
仲良し,1704,1704,7376,形容詞,自立,*,*,形容詞・アウオ段,文語基本形,仲良い,ナカヨシ,ナカヨシ
よし,1704,1704,7038,形容詞,自立,*,*,形容詞・アウオ段,文語基本形,よい,ヨシ,ヨシ
す,563,563,11267,動詞,自立,*,*,サ変・スル,文語基本形,する,ス,ス
ざんす,538,538,12167,動詞,自立,*,*,サ変・−スル,文語基本形,ざんする,ザンス,ザンス
まじき,74,74,8655,助動詞,*,*,*,文語・マジ,体言接続,まじ,マジキ,マジキ
良し,1704,1704,8091,形容詞,自立,*,*,形容詞・アウオ段,文語基本形,良い,ヨシ,ヨシ
悪し,1704,1704,5351,形容詞,自立,*,*,形容詞・アウオ段,文語基本形,悪い,ワルシ,ワルシ
しゃあなし,1704,1704,8568,形容詞,自立,*,*,形容詞・アウオ段,文語基本形,しゃあない,シャアナシ,シャーナシ
らしい,54,54,7948,助動詞,*,*,*,形容詞・イ段,基本形,らしい,ラシイ,ラシイ
き,67,67,9529,助動詞,*,*,*,文語・キ,基本形,き,キ,キ
