｛,1680,1680,230,順番交替記号,順番開始,*,*,*,*,｛,｛,｛
｝,1679,1679,234,順番交替記号,順番終了,*,*,*,*,｝,｝,｝
JUR,1669,1669,5471,話し手記号,Sister,*,*,*,*,*,*,*
FUY,1664,1664,5471,話し手記号,Girl,*,*,*,*,*,*,*
VIS,1673,1673,5471,話し手記号,Visitor,*,*,*,*,*,*,*
BAA,1665,1665,5471,話し手記号,Grandmother,*,*,*,*,*,*,*
APR,1661,1661,5471,話し手記号,Child,*,*,*,*,*,*,*
JUI,1669,1669,5471,話し手記号,Sister,*,*,*,*,*,*,*
LDY,1672,1672,5471,話し手記号,Unidentified,*,*,*,*,*,*,*
NJD,1661,1661,5471,話し手記号,Child,*,*,*,*,*,*,*
INV,1666,1666,5471,話し手記号,Investigator,*,*,*,*,*,*,*
UNI,1672,1672,5471,話し手記号,Unidentified,*,*,*,*,*,*,*
NAT,1661,1661,5471,話し手記号,Child,*,*,*,*,*,*,*
UN1,1672,1672,5471,話し手記号,Unidentified,*,*,*,*,*,*,*
KAN,1660,1660,5471,話し手記号,Brother,*,*,*,*,*,*,*
TOY,1671,1671,5471,話し手記号,Toy,*,*,*,*,*,*,*
CHI,1670,1670,5471,話し手記号,Target_Child,*,*,*,*,*,*,*
MIM,1664,1664,5471,話し手記号,Girl,*,*,*,*,*,*,*
ADU,1659,1659,5471,話し手記号,Adult,*,*,*,*,*,*,*
MOT,1667,1667,5471,話し手記号,Mother,*,*,*,*,*,*,*
BOY,1662,1662,5471,話し手記号,Cousin,*,*,*,*,*,*,*
TMO,1659,1659,5471,話し手記号,Adult,*,*,*,*,*,*,*
IN2,1666,1666,5471,話し手記号,Investigator,*,*,*,*,*,*,*
MTO,1673,1673,5471,話し手記号,Visitor,*,*,*,*,*,*,*
FUY,1661,1661,5471,話し手記号,Child,*,*,*,*,*,*,*
GMA,1665,1665,5471,話し手記号,Grandmother,*,*,*,*,*,*,*
ONO,1669,1669,5471,話し手記号,Sister,*,*,*,*,*,*,*
PAR,1668,1668,5471,話し手記号,Participant,*,*,*,*,*,*,*
APR,1664,1664,5471,話し手記号,Girl,*,*,*,*,*,*,*
FAT,1663,1663,5471,話し手記号,Father,*,*,*,*,*,*,*
TMO,1673,1673,5471,話し手記号,Visitor,*,*,*,*,*,*,*
FUY,1669,1669,5471,話し手記号,Sister,*,*,*,*,*,*,*
TOM,1661,1661,5471,話し手記号,Child,*,*,*,*,*,*,*
ARI,1661,1661,5471,話し手記号,Child,*,*,*,*,*,*,*
UN2,1672,1672,5471,話し手記号,Unidentified,*,*,*,*,*,*,*
