つよ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,つよい,ツヨイ,ツヨイ
強	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,強い,ツヨイ,ツヨイ
かわい	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,かわいい,カワイ,カワイ
可愛	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,可愛い,カワイ,カワイ
気持ち悪	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,気持ち悪い,キモチワル,キモチワル
気持ちわる	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,気持ちわるい,キモチワル,キモチワル
うざ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,うざい,ウザ,ウザ
近	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,近い,チカ,チカ
ちか	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,ちかい,チカ,チカ
古	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,古い,フル,フル
ふる	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,ふるい,フル,フル
優し	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,優しい,ヤサシ,ヤサカシ
やさし	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,やさしい,ヤサシ,ヤサカシ
遠	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,遠い,トー,トオ
とお	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,とおい,トー,トオ
しんど	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,しんどい,シンド,シンド
辛	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,辛い,ツラ,ツラ
つら	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,つらい,ツラ,ツラ
少な	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,少ない,スクナ,スクナ
すくな	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,すくない,スクナ,スクナ
きも	形容詞,接尾,*,*,形容詞・アウオ段,基本形・縮約形,きもい,キモ,キモ
くさ	形容詞,接尾,*,*,形容詞・アウオ段,基本形・縮約形,くさい,クサ,クサ
のろ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,のろい,ノロ,ノロ
あやし	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,あやしい,アヤシ,アヤシ
あたたか	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,あたたかい,アタタカ,アタタカ
暖か	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,暖かい,アタタカ,アタタカ
温か	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,温かい,アタタカ,アタタカ
新し	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,新しい,アタラシ,アタラシ
美し	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,美しい,ウツクシ,ウツクシ
せま	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,せまい,セマ,セマ
やす	形容詞,非自立,*,*,形容詞・アウオ段,基本形・縮約形,やすい,ヤス,ヤス
安	形容詞,非自立,*,*,形容詞・アウオ段,基本形・縮約形,安い,ヤス,ヤス
こわ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,こわい,コワ,コワ
怖	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,怖い,コワ,コワ
懐かし	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,懐かしい,ナツカシ,ナツカシ
なつかし	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,なつかしい,ナツカシ,ナツカシ
あつ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,あつい,アツ,アツ
かなし	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,かなしい,カナシ,カナシ
悲し	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,悲しい,カナシ,カナシ
ちっさ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,ちっさい,チッサ,チッサ
やば	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,やばい,ヤバ,ヤバ
悲し	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,悲しい,カナシ,カナシ
しつこ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,しつこい,シツコ,シツコ
むつかし	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,むつかしい,ムツカシ,ムツカシ
やかまし	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,やかましい,ヤカマシ,ヤカマシ
うるさ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,うるさい,ウルサ,ウルサ
ちっちゃ	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,ちっちゃい,チッチャ,チッチャ
おいし	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,おいしい,オイシ,オイシ
