ひく	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,ひくい,ヒク,ヒク
低	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,低い,ヒク,ヒク
気まず	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,気まずい,キマズ,キマズ
物悲し	形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,物悲しい,モノガナシ,モノガナシ
蒸し暑	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,蒸し暑い,ムシアツ,ムシアツ
すずし	形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,すずしい,スズシ,スズシ
涼し	形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,涼しい,スズシ,スズシ
めんどくさ	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,めんどくさい,メンドクサ,メンドクサ
あお	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,あおい,アオ,アオ
青	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,青い,アオ,アオ
小さ	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,小さい,チイサ,チーサ
ちいさ	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,ちいさい,チイサ,チーサ
ダサ	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,ダサい,ダサ,ダサ
あま	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,あまい,アマ,アマ
甘	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,甘い,アマ,アマ
くら	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,くらい,クラ,クラ
細	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,細い,ホソ,ホソ
ほそ	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,ほそい,ホソ,ホソ
暗	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,暗い,クラ,クラ
