のっろい	形容詞,自立,*,*,形容詞・アウオ段,基本形,のっろい,ノッロイ,ノッロイ
のっろかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,のっろい,ノッロカッ,ノッロカッ
のっろ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,のっろい,ノッロ,ノッロ
くっすい	形容詞,自立,*,*,形容詞・アウオ段,基本形,くっすい,クッスイ,クッスイ
くっすかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,くっすい,クッスカッ,クッスカッ
くっす	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,くっすい,クッス,クッス
おっおい	形容詞,自立,*,*,形容詞・アウオ段,基本形,おっおい,オッオイ,オッオイ
おっおかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,おっおい,オッオカッ,オッオカッ
おっお	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,おっおい,オッオ,オッオ
かっくい	形容詞,自立,*,*,形容詞・アウオ段,基本形,かっくい,カックイ,カックイ
かっくかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,かっくい,カックカッ,カックカッ
かっく	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,かっくい,カック,カック
わっろい	形容詞,自立,*,*,形容詞・アウオ段,基本形,わっろい,ワッロイ,ワッロイ
わっろかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,わっろい,ワッロカッ,ワッロカッ
わっろ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,わっろい,ワッロ,ワッロ
やっさい	形容詞,自立,*,*,形容詞・アウオ段,基本形,やっさい,ヤッサイ,ヤッサイ
やっさかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,やっさい,ヤッサカッ,ヤッサカッ
やっさ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,やっさい,ヤッサ,ヤッサ
せっまい	形容詞,自立,*,*,形容詞・アウオ段,基本形,せっまい,セッマイ,セッマイ
せっまかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,せっまい,セッマカッ,セッマカッ
せっま	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,せっまい,セッマ,セッマ
なっるい	形容詞,自立,*,*,形容詞・アウオ段,基本形,なっるい,ナッルイ,ナッルイ
なっるかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,なっるい,ナッルカッ,ナッルカッ
なっる	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,なっるい,ナッル,ナッル
こっわい	形容詞,自立,*,*,形容詞・アウオ段,基本形,こっわい,コッワイ,コッワイ
こっわかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,こっわい,コッワカッ,コッワカッ
こっわ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,こっわい,コッワ,コッワ
きっつい	形容詞,自立,*,*,形容詞・アウオ段,基本形,きっつい,キッツイ,キッツイ
きっつかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,きっつい,キッツカッ,キッツカッ
きっつ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,きっつい,キッツ,キッツ
ふっかい	形容詞,自立,*,*,形容詞・アウオ段,基本形,ふっかい,フッカイ,フッカイ
ふっかかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,ふっかい,フッカカッ,フッカカッ
ふっか	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,ふっかい,フッカ,フッカ
えっらい	形容詞,自立,*,*,形容詞・アウオ段,基本形,えっらい,エッライ,エッライ
えっらかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,えっらい,エッラカッ,エッラカッ
えっら	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,えっらい,エッラ,エッラ
とっもい	形容詞,自立,*,*,形容詞・アウオ段,基本形,とっもい,トッモイ,トッモイ
とっもかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,とっもい,トッモカッ,トッモカッ
とっも	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,とっもい,トッモ,トッモ
くっらい	形容詞,自立,*,*,形容詞・アウオ段,基本形,くっらい,クッライ,クッライ
くっらかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,くっらい,クッラカッ,クッラカッ
くっら	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,くっらい,クッラ,クッラ
さっとい	形容詞,自立,*,*,形容詞・アウオ段,基本形,さっとい,サットイ,サットイ
さっとかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,さっとい,サットカッ,サットカッ
さっと	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,さっとい,サット,サット
あっつい	形容詞,自立,*,*,形容詞・アウオ段,基本形,あっつい,アッツイ,アッツイ
あっつかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,あっつい,アッツカッ,アッツカッ
あっつ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,あっつい,アッツ,アッツ
しっろい	形容詞,自立,*,*,形容詞・アウオ段,基本形,しっろい,シッロイ,シッロイ
しっろかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,しっろい,シッロカッ,シッロカッ
しっろ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,しっろい,シッロ,シッロ
せっこい	形容詞,自立,*,*,形容詞・アウオ段,基本形,せっこい,セッコイ,セッコイ
せっこかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,せっこい,セッコカッ,セッコカッ
せっこ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,せっこい,セッコ,セッコ
やっばい	形容詞,自立,*,*,形容詞・アウオ段,基本形,やっばい,ヤッバイ,ヤッバイ
やっばかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,やっばい,ヤッバカッ,ヤッバカッ
やっば	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,やっばい,ヤッバ,ヤッバ
つっらい	形容詞,自立,*,*,形容詞・アウオ段,基本形,つっらい,ツッライ,ツッライ
つっらかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,つっらい,ツッラカッ,ツッラカッ
つっら	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,つっらい,ツッラ,ツッラ
もっろい	形容詞,自立,*,*,形容詞・アウオ段,基本形,もっろい,モッロイ,モッロイ
もっろかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,もっろい,モッロカッ,モッロカッ
もっろ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,もっろい,モッロ,モッロ
ちっかい	形容詞,自立,*,*,形容詞・アウオ段,基本形,ちっかい,チッカイ,チッカイ
ちっかかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,ちっかい,チッカカッ,チッカカッ
ちっか	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,ちっかい,チッカ,チッカ
ねったい	形容詞,自立,*,*,形容詞・アウオ段,基本形,ねったい,ネッタイ,ネッタイ
ねったかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,ねったい,ネッタカッ,ネッタカッ
ねった	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,ねったい,ネッタ,ネッタ
にっくい	形容詞,自立,*,*,形容詞・アウオ段,基本形,にっくい,ニックイ,ニックイ
にっくかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,にっくい,ニックカッ,ニックカッ
にっく	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,にっくい,ニック,ニック
けっむい	形容詞,自立,*,*,形容詞・アウオ段,基本形,けっむい,ケッムイ,ケッムイ
けっむかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,けっむい,ケッムカッ,ケッムカッ
けっむ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,けっむい,ケッム,ケッム
とっろい	形容詞,自立,*,*,形容詞・アウオ段,基本形,とっろい,トッロイ,トッロイ
とっろかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,とっろい,トッロカッ,トッロカッ
とっろ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,とっろい,トッロ,トッロ
うっすい	形容詞,自立,*,*,形容詞・アウオ段,基本形,うっすい,ウッスイ,ウッスイ
うっすかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,うっすい,ウッスカッ,ウッスカッ
うっす	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,うっすい,ウッス,ウッス
みっよい	形容詞,自立,*,*,形容詞・アウオ段,基本形,みっよい,ミッヨイ,ミッヨイ
みっよかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,みっよい,ミッヨカッ,ミッヨカッ
みっよ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,みっよい,ミッヨ,ミッヨ
ふっるい	形容詞,自立,*,*,形容詞・アウオ段,基本形,ふっるい,フッルイ,フッルイ
ふっるかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,ふっるい,フッルカッ,フッルカッ
ふっる	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,ふっるい,フッル,フッル
おっもい	形容詞,自立,*,*,形容詞・アウオ段,基本形,おっもい,オッモイ,オッモイ
おっもかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,おっもい,オッモカッ,オッモカッ
おっも	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,おっもい,オッモ,オッモ
ねっむい	形容詞,自立,*,*,形容詞・アウオ段,基本形,ねっむい,ネッムイ,ネッムイ
ねっむかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,ねっむい,ネッムカッ,ネッムカッ
ねっむ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,ねっむい,ネッム,ネッム
わっるい	形容詞,自立,*,*,形容詞・アウオ段,基本形,わっるい,ワッルイ,ワッルイ
わっるかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,わっるい,ワッルカッ,ワッルカッ
わっる	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,わっるい,ワッル,ワッル
くっちい	形容詞,自立,*,*,形容詞・アウオ段,基本形,くっちい,クッチイ,クッチイ
くっちかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,くっちい,クッチカッ,クッチカッ
くっち	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,くっちい,クッチ,クッチ
まっずい	形容詞,自立,*,*,形容詞・アウオ段,基本形,まっずい,マッズイ,マッズイ
まっずかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,まっずい,マッズカッ,マッズカッ
まっず	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,まっずい,マッズ,マッズ
あっまい	形容詞,自立,*,*,形容詞・アウオ段,基本形,あっまい,アッマイ,アッマイ
あっまかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,あっまい,アッマカッ,アッマカッ
あっま	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,あっまい,アッマ,アッマ
いったい	形容詞,自立,*,*,形容詞・アウオ段,基本形,いったい,イッタイ,イッタイ
いったかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,いったい,イッタカッ,イッタカッ
いった	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,いったい,イッタ,イッタ
ほっそい	形容詞,自立,*,*,形容詞・アウオ段,基本形,ほっそい,ホッソイ,ホッソイ
ほっそかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,ほっそい,ホッソカッ,ホッソカッ
ほっそ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,ほっそい,ホッソ,ホッソ
わっかい	形容詞,自立,*,*,形容詞・アウオ段,基本形,わっかい,ワッカイ,ワッカイ
わっかかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,わっかい,ワッカカッ,ワッカカッ
