パッパー	副詞,一般,*,*,*,*,パッパー,パッパー,パッパー
チョロチョロット	副詞,一般,*,*,*,*,チョロチョロっと,チョロチョロット,チョロチョロット
パッパーテ	副詞,一般,*,*,*,*,パッパーて,パッパーテ,パッパーテ
ピッピッピッテ	副詞,一般,*,*,*,*,ピッピッピッて,ピッピッピッテ,ピッピッピッテ
ピッピッピー	副詞,一般,*,*,*,*,ピッピッピー,ピッピッピー,ピッピッピー
うわっ	副詞,一般,*,*,*,*,うわっ,ウワッ,ウワッ
うわって	副詞,一般,*,*,*,*,うわって,ウワッテ,ウワッテ
うわーって	副詞,一般,*,*,*,*,うわーって,ウワーッテ,ウワーッテ
うわっと	副詞,一般,*,*,*,*,うわっと,ウワット,ウワット
うわーっと	副詞,一般,*,*,*,*,うわーっと,ウワーット,ウワーット
ウワって	副詞,一般,*,*,*,*,ウワって,ウワッテ,ウワッテ
ウワーって	副詞,一般,*,*,*,*,ウワーって,ウワーッテ,ウワーッテ
ウワっと	副詞,一般,*,*,*,*,ウワっと,ウワット,ウワット
ウワーっと	副詞,一般,*,*,*,*,ウワーっと,ウワーット,ウワーット
ウワッて	副詞,一般,*,*,*,*,ウワッて,ウワッテ,ウワッテ
ウワーッて	副詞,一般,*,*,*,*,ウワーッて,ウワーッテ,ウワーッテ
ウワッと	副詞,一般,*,*,*,*,ウワッと,ウワット,ウワット
ウワーッと	副詞,一般,*,*,*,*,ウワーッと,ウワーット,ウワーット
うわうわ	副詞,一般,*,*,*,*,うわうわ,ウワウワ,ウワウワ
うわっうわ	副詞,一般,*,*,*,*,うわっうわ,ウワッウワ,ウワッウワ
ウワウワ	副詞,一般,*,*,*,*,ウワウワ,ウワウワ,ウワウワ
ウワッウワ	副詞,一般,*,*,*,*,ウワッウワ,ウワッウワ,ウワッウワ
うわうわ	副詞,一般,*,*,*,*,うわうわ,ウワウワ,ウワウワ
ウワウワッ	副詞,一般,*,*,*,*,ウワウワッ,ウワウワッ,ウワウワッ
うわっうわっ	副詞,一般,*,*,*,*,うわっうわっ,ウワッウワッ,ウワッウワッ
ウワッウワッ	副詞,一般,*,*,*,*,ウワッウワッ,ウワッウワッ,ウワッウワッ
うわうわって	副詞,一般,*,*,*,*,うわうわって,ウワウワッテ,ウワウワッテ
ウワウワッて	副詞,一般,*,*,*,*,ウワウワッて,ウワウワッテ,ウワウワッテ
うわっうわって	副詞,一般,*,*,*,*,うわっうわって,ウワッウワッテ,ウワッウワッテ
ウワッウワッて	副詞,一般,*,*,*,*,ウワッウワッて,ウワッウワッテ,ウワッウワッテ
うわうわっと	副詞,一般,*,*,*,*,うわうわっと,ウワウワット,ウワウワット
ウワウワッと	副詞,一般,*,*,*,*,ウワウワッと,ウワウワット,ウワウワット
うわっうわっと	副詞,一般,*,*,*,*,うわっうわっと,ウワッウワット,ウワッウワット
ウワッウワッと	副詞,一般,*,*,*,*,ウワッウワッと,ウワッウワット,ウワッウワット
うわー	副詞,一般,*,*,*,*,うわー,ウワー,ウワー
ウワー	副詞,一般,*,*,*,*,ウワー,ウワー,ウワー
きゃっ	副詞,一般,*,*,*,*,きゃっ,キャッ,キャッ
きゃって	副詞,一般,*,*,*,*,きゃって,キャッテ,キャッテ
きゃーって	副詞,一般,*,*,*,*,きゃーって,キャーッテ,キャーッテ
きゃっと	副詞,一般,*,*,*,*,きゃっと,キャット,キャット
きゃーっと	副詞,一般,*,*,*,*,きゃーっと,キャーット,キャーット
キャって	副詞,一般,*,*,*,*,キャって,キャッテ,キャッテ
キャーって	副詞,一般,*,*,*,*,キャーって,キャーッテ,キャーッテ
キャっと	副詞,一般,*,*,*,*,キャっと,キャット,キャット
キャーっと	副詞,一般,*,*,*,*,キャーっと,キャーット,キャーット
キャッて	副詞,一般,*,*,*,*,キャッて,キャッテ,キャッテ
キャーッて	副詞,一般,*,*,*,*,キャーッて,キャーッテ,キャーッテ
キャッと	副詞,一般,*,*,*,*,キャッと,キャット,キャット
キャーッと	副詞,一般,*,*,*,*,キャーッと,キャーット,キャーット
きゃきゃ	副詞,一般,*,*,*,*,きゃきゃ,キャキャ,キャキャ
きゃっきゃ	副詞,一般,*,*,*,*,きゃっきゃ,キャッキャ,キャッキャ
キャキャ	副詞,一般,*,*,*,*,キャキャ,キャキャ,キャキャ
キャッキャ	副詞,一般,*,*,*,*,キャッキャ,キャッキャ,キャッキャ
きゃきゃ	副詞,一般,*,*,*,*,きゃきゃ,キャキャ,キャキャ
キャキャッ	副詞,一般,*,*,*,*,キャキャッ,キャキャッ,キャキャッ
きゃっきゃっ	副詞,一般,*,*,*,*,きゃっきゃっ,キャッキャッ,キャッキャッ
キャッキャッ	副詞,一般,*,*,*,*,キャッキャッ,キャッキャッ,キャッキャッ
きゃきゃって	副詞,一般,*,*,*,*,きゃきゃって,キャキャッテ,キャキャッテ
キャキャッて	副詞,一般,*,*,*,*,キャキャッて,キャキャッテ,キャキャッテ
きゃっきゃって	副詞,一般,*,*,*,*,きゃっきゃって,キャッキャッテ,キャッキャッテ
キャッキャッて	副詞,一般,*,*,*,*,キャッキャッて,キャッキャッテ,キャッキャッテ
きゃきゃっと	副詞,一般,*,*,*,*,きゃきゃっと,キャキャット,キャキャット
キャキャッと	副詞,一般,*,*,*,*,キャキャッと,キャキャット,キャキャット
きゃっきゃっと	副詞,一般,*,*,*,*,きゃっきゃっと,キャッキャット,キャッキャット
キャッキャッと	副詞,一般,*,*,*,*,キャッキャッと,キャッキャット,キャッキャット
きゃー	副詞,一般,*,*,*,*,きゃー,キャー,キャー
キャー	副詞,一般,*,*,*,*,キャー,キャー,キャー
ごじゃっ	副詞,一般,*,*,*,*,ごじゃっ,ゴジャッ,ゴジャッ
ごじゃって	副詞,一般,*,*,*,*,ごじゃって,ゴジャッテ,ゴジャッテ
ごじゃーって	副詞,一般,*,*,*,*,ごじゃーって,ゴジャーッテ,ゴジャーッテ
ごじゃっと	副詞,一般,*,*,*,*,ごじゃっと,ゴジャット,ゴジャット
ごじゃーっと	副詞,一般,*,*,*,*,ごじゃーっと,ゴジャーット,ゴジャーット
ゴジャって	副詞,一般,*,*,*,*,ゴジャって,ゴジャッテ,ゴジャッテ
ゴジャーって	副詞,一般,*,*,*,*,ゴジャーって,ゴジャーッテ,ゴジャーッテ
ゴジャっと	副詞,一般,*,*,*,*,ゴジャっと,ゴジャット,ゴジャット
ゴジャーっと	副詞,一般,*,*,*,*,ゴジャーっと,ゴジャーット,ゴジャーット
ゴジャッて	副詞,一般,*,*,*,*,ゴジャッて,ゴジャッテ,ゴジャッテ
ゴジャーッて	副詞,一般,*,*,*,*,ゴジャーッて,ゴジャーッテ,ゴジャーッテ
ゴジャッと	副詞,一般,*,*,*,*,ゴジャッと,ゴジャット,ゴジャット
ゴジャーッと	副詞,一般,*,*,*,*,ゴジャーッと,ゴジャーット,ゴジャーット
ごじゃごじゃ	副詞,一般,*,*,*,*,ごじゃごじゃ,ゴジャゴジャ,ゴジャゴジャ
ごじゃっごじゃ	副詞,一般,*,*,*,*,ごじゃっごじゃ,ゴジャッゴジャ,ゴジャッゴジャ
ゴジャゴジャ	副詞,一般,*,*,*,*,ゴジャゴジャ,ゴジャゴジャ,ゴジャゴジャ
ゴジャッゴジャ	副詞,一般,*,*,*,*,ゴジャッゴジャ,ゴジャッゴジャ,ゴジャッゴジャ
ごじゃごじゃ	副詞,一般,*,*,*,*,ごじゃごじゃ,ゴジャゴジャ,ゴジャゴジャ
ゴジャゴジャッ	副詞,一般,*,*,*,*,ゴジャゴジャッ,ゴジャゴジャッ,ゴジャゴジャッ
ごじゃっごじゃっ	副詞,一般,*,*,*,*,ごじゃっごじゃっ,ゴジャッゴジャッ,ゴジャッゴジャッ
ゴジャッゴジャッ	副詞,一般,*,*,*,*,ゴジャッゴジャッ,ゴジャッゴジャッ,ゴジャッゴジャッ
ごじゃごじゃって	副詞,一般,*,*,*,*,ごじゃごじゃって,ゴジャゴジャッテ,ゴジャゴジャッテ
ゴジャゴジャッて	副詞,一般,*,*,*,*,ゴジャゴジャッて,ゴジャゴジャッテ,ゴジャゴジャッテ
ごじゃっごじゃって	副詞,一般,*,*,*,*,ごじゃっごじゃって,ゴジャッゴジャッテ,ゴジャッゴジャッテ
ゴジャッゴジャッて	副詞,一般,*,*,*,*,ゴジャッゴジャッて,ゴジャッゴジャッテ,ゴジャッゴジャッテ
ごじゃごじゃっと	副詞,一般,*,*,*,*,ごじゃごじゃっと,ゴジャゴジャット,ゴジャゴジャット
ゴジャゴジャッと	副詞,一般,*,*,*,*,ゴジャゴジャッと,ゴジャゴジャット,ゴジャゴジャット
ごじゃっごじゃっと	副詞,一般,*,*,*,*,ごじゃっごじゃっと,ゴジャッゴジャット,ゴジャッゴジャット
ゴジャッゴジャッと	副詞,一般,*,*,*,*,ゴジャッゴジャッと,ゴジャッゴジャット,ゴジャッゴジャット
ごじゃー	副詞,一般,*,*,*,*,ごじゃー,ゴジャー,ゴジャー
ゴジャー	副詞,一般,*,*,*,*,ゴジャー,ゴジャー,ゴジャー
はっ	副詞,一般,*,*,*,*,はっ,ハッ,ハッ
はって	副詞,一般,*,*,*,*,はって,ハッテ,ハッテ
はーって	副詞,一般,*,*,*,*,はーって,ハーッテ,ハーッテ
はっと	副詞,一般,*,*,*,*,はっと,ハット,ハット
はーっと	副詞,一般,*,*,*,*,はーっと,ハーット,ハーット
ハって	副詞,一般,*,*,*,*,ハって,ハッテ,ハッテ
ハーって	副詞,一般,*,*,*,*,ハーって,ハーッテ,ハーッテ
ハっと	副詞,一般,*,*,*,*,ハっと,ハット,ハット
