あって	副詞,一般,*,*,*,*,あって,アッテ,アッテ
あーって	副詞,一般,*,*,*,*,あーって,アーッテ,アーッテ
あっと	副詞,一般,*,*,*,*,あっと,アット,アット
あーっと	副詞,一般,*,*,*,*,あーっと,アーット,アーット
アって	副詞,一般,*,*,*,*,アって,アッテ,アッテ
アーって	副詞,一般,*,*,*,*,アーって,アーッテ,アーッテ
アっと	副詞,一般,*,*,*,*,アっと,アット,アット
アーっと	副詞,一般,*,*,*,*,アーっと,アーット,アーット
アッて	副詞,一般,*,*,*,*,アッて,アッテ,アッテ
アーッて	副詞,一般,*,*,*,*,アーッて,アーッテ,アーッテ
アッと	副詞,一般,*,*,*,*,アッと,アット,アット
アーッと	副詞,一般,*,*,*,*,アーッと,アーット,アーット
あんて	副詞,一般,*,*,*,*,あんて,アンテ,アンテ
あーんて	副詞,一般,*,*,*,*,あーんて,アーンテ,アーンテ
あんと	副詞,一般,*,*,*,*,あんと,アント,アント
あーんと	副詞,一般,*,*,*,*,あーんと,アーント,アーント
あんって	副詞,一般,*,*,*,*,あんって,アンテ,アンテ
あーんって	副詞,一般,*,*,*,*,あーんって,アーンッテ,アーンッテ
あんっと	副詞,一般,*,*,*,*,あんっと,アンット,アンット
あーんっと	副詞,一般,*,*,*,*,あーんっと,アーンット,アーンット
アンて	副詞,一般,*,*,*,*,アンて,アンテ,アンテ
アーンて	副詞,一般,*,*,*,*,アーンて,アーンテ,アーンテ
アンて	副詞,一般,*,*,*,*,アンて,アンテ,アンテ
アーンと	副詞,一般,*,*,*,*,アーンと,アーント,アーント
アンって	副詞,一般,*,*,*,*,アンって,アンテ,アンテ
アンッて	副詞,一般,*,*,*,*,アンッて,アンッテ,アンッテ
アーンって	副詞,一般,*,*,*,*,アーンって,アーンッテ,アーンッテ
アンって	副詞,一般,*,*,*,*,アンって,アンッテ,アンッテ
アーンっと	副詞,一般,*,*,*,*,アーンっと,アーンット,アーンット
アーンッて	副詞,一般,*,*,*,*,アーンッて,アーンッテ,アーンッテ
アンッと	副詞,一般,*,*,*,*,アンッと,アンッと,アンッと
アーンッと	副詞,一般,*,*,*,*,アーンッと,アーンット,アーンット
あん	副詞,一般,*,*,*,*,あん,アン,アン
あーん	副詞,一般,*,*,*,*,あーん,アーン,アーン
あー	副詞,一般,*,*,*,*,あー,アー,アー
アン	副詞,一般,*,*,*,*,アン,アン,アン
アーン	副詞,一般,*,*,*,*,アーン,アーン,アーン
アー	副詞,一般,*,*,*,*,アー,アー,アー
いらっ	副詞,一般,*,*,*,*,いらっ,イラッ,イラッ
いらって	副詞,一般,*,*,*,*,いらって,イラッテ,イラッテ
いらーって	副詞,一般,*,*,*,*,いらーって,イラーッテ,イラーッテ
いらっと	副詞,一般,*,*,*,*,いらっと,イラット,イラット
いらーっと	副詞,一般,*,*,*,*,いらーっと,イラーット,イラーット
イラって	副詞,一般,*,*,*,*,イラって,イラッテ,イラッテ
イラーって	副詞,一般,*,*,*,*,イラーって,イラーッテ,イラーッテ
イラっと	副詞,一般,*,*,*,*,イラっと,イラット,イラット
イラーっと	副詞,一般,*,*,*,*,イラーっと,イラーット,イラーット
イラッて	副詞,一般,*,*,*,*,イラッて,イラッテ,イラッテ
イラーッて	副詞,一般,*,*,*,*,イラーッて,イラーッテ,イラーッテ
イラッと	副詞,一般,*,*,*,*,イラッと,イラット,イラット
イラーッと	副詞,一般,*,*,*,*,イラーッと,イラーット,イラーット
いらんて	副詞,一般,*,*,*,*,いらんて,イランテ,イランテ
いらーんて	副詞,一般,*,*,*,*,いらーんて,イラーンテ,イラーンテ
いらんと	副詞,一般,*,*,*,*,いらんと,イラント,イラント
いらーんと	副詞,一般,*,*,*,*,いらーんと,イラーント,イラーント
いらんって	副詞,一般,*,*,*,*,いらんって,イランテ,イランテ
いらーんって	副詞,一般,*,*,*,*,いらーんって,イラーンッテ,イラーンッテ
いらんっと	副詞,一般,*,*,*,*,いらんっと,イランット,イランット
いらーんっと	副詞,一般,*,*,*,*,いらーんっと,イラーンット,イラーンット
イランて	副詞,一般,*,*,*,*,イランて,イランテ,イランテ
イラーンて	副詞,一般,*,*,*,*,イラーンて,イラーンテ,イラーンテ
イランて	副詞,一般,*,*,*,*,イランて,イランテ,イランテ
イラーンと	副詞,一般,*,*,*,*,イラーンと,イラーント,イラーント
イランって	副詞,一般,*,*,*,*,イランって,イランテ,イランテ
イランッて	副詞,一般,*,*,*,*,イランッて,イランッテ,イランッテ
