渋っ	感動詞,*,*,*,*,*,渋っ,シブッ,シブッ
渋	感動詞,*,*,*,*,*,渋,シブ,シブ
しぶっ	感動詞,*,*,*,*,*,しぶっ,シブッ,シブッ
しぶ	感動詞,*,*,*,*,*,しぶ,シブ,シブ
あつ	感動詞,*,*,*,*,*,あつ,アツ,アツ
あつー	感動詞,*,*,*,*,*,あつー,アツー,アツー
あつう	感動詞,*,*,*,*,*,あつう,アツウ,アツウ
暑っ	感動詞,*,*,*,*,*,暑っ,アツッ,アツッ
熱っ	感動詞,*,*,*,*,*,熱っ,アツッ,アツッ
あつっ	感動詞,*,*,*,*,*,あつっ,アツッ,アツッ
あっつ	感動詞,*,*,*,*,*,あっつ,アッツ,アッツ
あっつー	感動詞,*,*,*,*,*,あっつー,アッツー,アッツー
あち	感動詞,*,*,*,*,*,あち,アチ,アチ
あちー	感動詞,*,*,*,*,*,あちー,アチー,アチー
あちい	感動詞,*,*,*,*,*,あちい,アチイ,アチイ
あちっ	感動詞,*,*,*,*,*,あちっ,アチッ,アチッ
あっち	感動詞,*,*,*,*,*,あっち,アッチ,アッチ
あっちー	感動詞,*,*,*,*,*,あっちー,アッチー,アッチー
うそ	感動詞,*,*,*,*,*,うそ,ウソ,ウソ
うそー	感動詞,*,*,*,*,*,うそー,ウソー,ウソー
うそお	感動詞,*,*,*,*,*,うそお,ウソオ,ウソオ
うそっ	感動詞,*,*,*,*,*,うそっ,ウソッ,ウソッ
うっそ	感動詞,*,*,*,*,*,うっそ,ウッソ,ウッソ
うっそー	感動詞,*,*,*,*,*,うっそー,ウッソー,ウッソー
おせ	感動詞,*,*,*,*,*,おせ,オセ,オセ
おせー	感動詞,*,*,*,*,*,おせー,オセー,オセー
おせえ	感動詞,*,*,*,*,*,おせえ,オセエ,オセエ
おせっ	感動詞,*,*,*,*,*,おせっ,オセッ,オセッ
おっせ	感動詞,*,*,*,*,*,おっせ,オッセ,オッセ
おっせー	感動詞,*,*,*,*,*,おっせー,オッセー,オッセー
おそ	感動詞,*,*,*,*,*,おそ,オソ,オソ
おそー	感動詞,*,*,*,*,*,おそー,オソー,オソー
おそお	感動詞,*,*,*,*,*,おそお,オソオ,オソオ
遅っ	感動詞,*,*,*,*,*,遅っ,オソッ,オソッ
おそっ	感動詞,*,*,*,*,*,おそっ,オソッ,オソッ
おっそ	感動詞,*,*,*,*,*,おっそ,オッソ,オッソ
おっそー	感動詞,*,*,*,*,*,おっそー,オッソー,オッソー
きもちわる	感動詞,*,*,*,*,*,きもちわる,キモワル,キモワル
きもちわるー	感動詞,*,*,*,*,*,きもちわるー,キモワルー,キモワルー
きも	感動詞,*,*,*,*,*,きも,キモ,キモ
きもー	感動詞,*,*,*,*,*,きもー,キモー,キモー
きもお	感動詞,*,*,*,*,*,きもお,キモオ,キモオ
きもっ	感動詞,*,*,*,*,*,きもっ,キモッ,キモッ
きっも	感動詞,*,*,*,*,*,きっも,キッモ,キッモ
きっもー	感動詞,*,*,*,*,*,きっもー,キッモー,キッモー
きつ	感動詞,*,*,*,*,*,きつ,キツ,キツ
きつー	感動詞,*,*,*,*,*,きつー,キツー,キツー
きつう	感動詞,*,*,*,*,*,きつう,キツウ,キツウ
きつっ	感動詞,*,*,*,*,*,きつっ,キツッ,キツッ
きっつ	感動詞,*,*,*,*,*,きっつ,キッツ,キッツ
きっつー	感動詞,*,*,*,*,*,きっつー,キッツー,キッツー
くさ	感動詞,*,*,*,*,*,くさ,クサ,クサ
くさー	感動詞,*,*,*,*,*,くさー,クサー,クサー
くさあ	感動詞,*,*,*,*,*,くさあ,クサア,クサア
くさっ	感動詞,*,*,*,*,*,くさっ,クサッ,クサッ
臭っ	感動詞,*,*,*,*,*,臭っ,クサッ,クサッ
くっさ	感動詞,*,*,*,*,*,くっさ,クッサ,クッサ
くっさー	感動詞,*,*,*,*,*,くっさー,クッサー,クッサー
くせ	感動詞,*,*,*,*,*,くせ,クセ,クセ
くせー	感動詞,*,*,*,*,*,くせー,クセー,クセー
くせえ	感動詞,*,*,*,*,*,くせえ,クセエ,クセエ
くせっ	感動詞,*,*,*,*,*,くせっ,クセッ,クセッ
くっせ	感動詞,*,*,*,*,*,くっせ,クッセ,クッセ
くっせー	感動詞,*,*,*,*,*,くっせー,クッセー,クッセー
こわ	感動詞,*,*,*,*,*,こわ,コワ,コワ
こわー	感動詞,*,*,*,*,*,こわー,コワー,コワー
こわあ	感動詞,*,*,*,*,*,こわあ,コワア,コワア
怖っ	感動詞,*,*,*,*,*,怖っ,コワッ,コワッ
こわっ	感動詞,*,*,*,*,*,こわっ,コワッ,コワッ
こっわ	感動詞,*,*,*,*,*,こっわ,コッワ,コッワ
こっわー	感動詞,*,*,*,*,*,こっわー,コッワー,コッワー
こえ	感動詞,*,*,*,*,*,こえ,コエ,コエ
こえー	感動詞,*,*,*,*,*,こえー,コエー,コエー
こええ	感動詞,*,*,*,*,*,こええ,コエエ,コエエ
こえっ	感動詞,*,*,*,*,*,こえっ,コエッ,コエッ
こっえ	感動詞,*,*,*,*,*,こっえ,コッエ,コッエ
こっえー	感動詞,*,*,*,*,*,こっえー,コッエー,コッエー
さみ	感動詞,*,*,*,*,*,さみ,サミ,サミ
さみー	感動詞,*,*,*,*,*,さみー,サミー,サミー
さみい	感動詞,*,*,*,*,*,さみい,サミイ,サミイ
寒っ	感動詞,*,*,*,*,*,寒っ,サミッ,サミッ
さみっ	感動詞,*,*,*,*,*,さみっ,サミッ,サミッ
さっみ	感動詞,*,*,*,*,*,さっみ,サッミ,サッミ
さっみー	感動詞,*,*,*,*,*,さっみー,サッミー,サッミー
さむ	感動詞,*,*,*,*,*,さむ,サム,サム
さむー	感動詞,*,*,*,*,*,さむー,サムー,サムー
さむう	感動詞,*,*,*,*,*,さむう,サムウ,サムウ
さむっ	感動詞,*,*,*,*,*,さむっ,サムッ,サムッ
さっむ	感動詞,*,*,*,*,*,さっむ,サッム,サッム
さっむー	感動詞,*,*,*,*,*,さっむー,サッムー,サッムー
すげ	感動詞,*,*,*,*,*,すげ,スゲ,スゲ
すげー	感動詞,*,*,*,*,*,すげー,スゲー,スゲー
すげえ	感動詞,*,*,*,*,*,すげえ,スゲエ,スゲエ
すげっ	感動詞,*,*,*,*,*,すげっ,スゲッ,スゲッ
すっげ	感動詞,*,*,*,*,*,すっげ,スッゲ,スッゲ
すっげー	感動詞,*,*,*,*,*,すっげー,スッゲー,スッゲー
すご	感動詞,*,*,*,*,*,すご,スゴ,スゴ
すごー	感動詞,*,*,*,*,*,すごー,スゴー,スゴー
すごお	感動詞,*,*,*,*,*,すごお,スゴオ,スゴオ
すごっ	感動詞,*,*,*,*,*,すごっ,スゴッ,スゴッ
すっご	感動詞,*,*,*,*,*,すっご,スッゴ,スッゴ
すっごー	感動詞,*,*,*,*,*,すっごー,スッゴー,スッゴー
たか	感動詞,*,*,*,*,*,たか,タカ,タカ
たかー	感動詞,*,*,*,*,*,たかー,タカー,タカー
たかあ	感動詞,*,*,*,*,*,たかあ,タカア,タカア
高っ	感動詞,*,*,*,*,*,高っ,タカッ,タカッ
たかっ	感動詞,*,*,*,*,*,たかっ,タカッ,タカッ
たっか	感動詞,*,*,*,*,*,たっか,タッカ,タッカ
たっかー	感動詞,*,*,*,*,*,たっかー,タッカー,タッカー
たけ	感動詞,*,*,*,*,*,たけ,タケ,タケ
たけー	感動詞,*,*,*,*,*,たけー,タケー,タケー
たけえ	感動詞,*,*,*,*,*,たけえ,タケエ,タケエ
たけっ	感動詞,*,*,*,*,*,たけっ,タケッ,タケッ
たっけ	感動詞,*,*,*,*,*,たっけ,タッケ,タッケ
たっけー	感動詞,*,*,*,*,*,たっけー,タッケー,タッケー
でか	感動詞,*,*,*,*,*,でか,デカ,デカ
でかー	感動詞,*,*,*,*,*,でかー,デカー,デカー
でかあ	感動詞,*,*,*,*,*,でかあ,デカア,デカア
でかっ	感動詞,*,*,*,*,*,でかっ,デカッ,デカッ
でっか	感動詞,*,*,*,*,*,でっか,デッカ,デッカ
でっかー	感動詞,*,*,*,*,*,でっかー,デッカー,デッカー
でけ	感動詞,*,*,*,*,*,でけ,デケ,デケ
でけー	感動詞,*,*,*,*,*,でけー,デケー,デケー
でけえ	感動詞,*,*,*,*,*,でけえ,デケエ,デケエ
でけっ	感動詞,*,*,*,*,*,でけっ,デケッ,デケッ
でっけ	感動詞,*,*,*,*,*,でっけ,デッケ,デッケ
でっけー	感動詞,*,*,*,*,*,でっけー,デッケー,デッケー
つえ	感動詞,*,*,*,*,*,つえ,ツエ,ツエ
つえー	感動詞,*,*,*,*,*,つえー,ツエー,ツエー
つええ	感動詞,*,*,*,*,*,つええ,ツエエ,ツエエ
つえっ	感動詞,*,*,*,*,*,つえっ,ツエッ,ツエッ
つっえ	感動詞,*,*,*,*,*,つっえ,ツッエ,ツッエ
つっえー	感動詞,*,*,*,*,*,つっえー,ツッエー,ツッエー
つよ	感動詞,*,*,*,*,*,つよ,ツヨ,ツヨ
つよー	感動詞,*,*,*,*,*,つよー,ツヨー,ツヨー
つよお	感動詞,*,*,*,*,*,つよお,ツヨオ,ツヨオ
強っ	感動詞,*,*,*,*,*,強っ,ツヨッ,ツヨッ
つよっ	感動詞,*,*,*,*,*,つよっ,ツヨッ,ツヨッ
つっよ	感動詞,*,*,*,*,*,つっよ,ツッヨ,ツッヨ
つっよー	感動詞,*,*,*,*,*,つっよー,ツッヨー,ツッヨー
はえ	感動詞,*,*,*,*,*,はえ,ハエ,ハエ
はえー	感動詞,*,*,*,*,*,はえー,ハエー,ハエー
はええ	感動詞,*,*,*,*,*,はええ,ハエエ,ハエエ
はえっ	感動詞,*,*,*,*,*,はえっ,ハエッ,ハエッ
はっえ	感動詞,*,*,*,*,*,はっえ,ハッエ,ハッエ
はっえー	感動詞,*,*,*,*,*,はっえー,ハッエー,ハッエー
はや	感動詞,*,*,*,*,*,はや,ハヤ,ハヤ
はやー	感動詞,*,*,*,*,*,はやー,ハヤー,ハヤー
はやあ	感動詞,*,*,*,*,*,はやあ,ハヤア,ハヤア
早っ	感動詞,*,*,*,*,*,早っ,ハヤッ,ハヤッ
速っ	感動詞,*,*,*,*,*,速っ,ハヤッ,ハヤッ
はやっ	感動詞,*,*,*,*,*,はやっ,ハヤッ,ハヤッ
はっや	感動詞,*,*,*,*,*,はっや,ハッヤ,ハッヤ
はっやー	感動詞,*,*,*,*,*,はっやー,ハッヤー,ハッヤー
やす	感動詞,*,*,*,*,*,やす,ヤス,ヤス
やすー	感動詞,*,*,*,*,*,やすー,ヤスー,ヤスー
やすう	感動詞,*,*,*,*,*,やすう,ヤスウ,ヤスウ
安っ	感動詞,*,*,*,*,*,安っ,ヤスッ,ヤスッ
やすっ	感動詞,*,*,*,*,*,やすっ,ヤスッ,ヤスッ
やっす	感動詞,*,*,*,*,*,やっす,ヤッス,ヤッス
