たげる	動詞,非自立,*,*,一段,基本形・縮約形,て＋あげる,タゲル,タゲル
たげ	動詞,非自立,*,*,一段,未然形・縮約形,て＋あげる,タゲ,タゲ
たげよ	動詞,非自立,*,*,一段,未然ウ接続・縮約形,て＋あげる,タゲヨ,タゲヨ
たげ	動詞,非自立,*,*,一段,連用形・縮約形,て＋あげる,タゲ,タゲ
たげれ	動詞,非自立,*,*,一段,仮定形・縮約形,て＋あげる,タゲレ,タゲレ
たげろ	動詞,非自立,*,*,一段,命令ｒｏ・縮約形,て＋あげる,タゲロ,タゲロ
たげん	動詞,非自立,*,*,一段撥音便,基本形・縮約形,て＋あげる,タゲン,タゲン
だげる	動詞,非自立,*,*,一段,基本形・縮約形,で＋あげる,ダゲル,ダゲル
だげ	動詞,非自立,*,*,一段,未然形・縮約形,で＋あげる,ダゲ,ダゲ
だげよ	動詞,非自立,*,*,一段,未然ウ接続・縮約形,で＋あげる,ダゲヨ,ダゲヨ
だげ	動詞,非自立,*,*,一段,連用形・縮約形,で＋あげる,ダゲ,ダゲ
だげれ	動詞,非自立,*,*,一段,仮定形・縮約形,で＋あげる,ダゲレ,ダゲレ
だげろ	動詞,非自立,*,*,一段,命令ｒｏ・縮約形,で＋あげる,ダゲロ,ダゲロ
だげん	動詞,非自立,*,*,一段撥音便,基本形・縮約形,で＋あげる,ダゲン,ダゲン
げる	動詞,非自立,*,*,一段,基本形・縮約形,あげる,ゲル,タゲル
げ	動詞,非自立,*,*,一段,未然形・縮約形,あげる,ゲ,ゲ
げよ	動詞,非自立,*,*,一段,未然ウ接続・縮約形,あげる,ゲヨ,ゲヨ
げ	動詞,非自立,*,*,一段,連用形・縮約形,あげる,ゲ,ゲ
げれ	動詞,非自立,*,*,一段,仮定形・縮約形,あげる,ゲレ,ゲレ
げろ	動詞,非自立,*,*,一段,命令ｒｏ・縮約形,あげる,ゲロ,ゲロ
げん	動詞,非自立,*,*,一段撥音便,基本形・縮約形,あげる,ゲン,ゲン
る	動詞,非自立,*,*,五段・ラ行,基本形・縮約形,やる,ル,ル
ら	動詞,非自立,*,*,五段・ラ行,未然形・縮約形,やる,ラ,ラ
ろ	動詞,非自立,*,*,五段・ラ行,未然ウ接続・縮約形,やる,ロ,ロ
り	動詞,非自立,*,*,五段・ラ行,連用形・縮約形,やる,リ,リ
っ	動詞,非自立,*,*,五段・ラ行,連用タ接続・縮約形,やる,ッ,ッ
れ	動詞,非自立,*,*,五段・ラ行,仮定形・縮約形,やる,レ,レ
れ	動詞,非自立,*,*,五段・ラ行,命令ｅ・縮約形,やる,レ,レ
りゃ	動詞,非自立,*,*,五段・ラ行,仮定縮約１・縮約形,やる,リャ,リャ
とる	動詞,非自立,*,*,五段・ラ行,基本形・縮約形,て＋おる,トル,トル
とら	動詞,非自立,*,*,五段・ラ行,未然形・縮約形,て＋おる,トラ,トラ
とっ	動詞,非自立,*,*,五段・ラ行,連用タ接続・縮約形,て＋おる,トッ,トッ
とう	動詞,非自立,*,*,五段・ラ行ウ音便,連用タ接続・縮約形,て＋おる,トウ,トー
と	動詞,非自立,*,*,五段・ラ行ウ音便,連用タ接続・縮約形,て＋おる,ト,ト
とり	動詞,非自立,*,*,五段・ラ行,連用形・縮約形,て＋おる,トリ,トリ
とれ	動詞,非自立,*,*,五段・ラ行,仮定形・縮約形,て＋おる,トレ,トレ
とろ	動詞,非自立,*,*,五段・ラ行,未然ウ接続・縮約形,て＋おる,トロ,トロ
とれ	動詞,非自立,*,*,五段・ラ行,命令ｅ・縮約形,て＋おる,トレ,トレ
とん	動詞,非自立,*,*,五段・ラ行撥音便,基本形・縮約形,て＋おる,トン,トン
どる	動詞,非自立,*,*,五段・ラ行,基本形・縮約形,て＋おる,ドル,ドル
どう	動詞,非自立,*,*,五段・ラ行ウ音便,基本形・縮約形,て＋おる,ドウ,ドー
どら	動詞,非自立,*,*,五段・ラ行,未然形・縮約形,て＋おる,ドラ,ドラ
どっ	動詞,非自立,*,*,五段・ラ行,連用タ接続・縮約形,て＋おる,ドッ,ドッ
どう	動詞,非自立,*,*,五段・ラ行ウ音便,連用タ接続・縮約形,て＋おる,ドウ,ドー
どり	動詞,非自立,*,*,五段・ラ行,連用形・縮約形,て＋おる,ドリ,ドリ
どれ	動詞,非自立,*,*,五段・ラ行,仮定形・縮約形,て＋おる,ドレ,ドレ
どろ	動詞,非自立,*,*,五段・ラ行,未然ウ接続・縮約形,て＋おる,ドロ,ドロ
どれ	動詞,非自立,*,*,五段・ラ行,命令ｅ・縮約形,て＋おる,ドレ,ドレ
どん	動詞,非自立,*,*,五段・ラ行撥音便,基本形・縮約形,て＋おる,ドン,ドン
どりゃ	動詞,非自立,*,*,五段・ラ行,仮定縮約１,て＋おる,ドリャ,ドリャ
とりゃ	動詞,非自立,*,*,五段・ラ行,仮定縮約１,て＋おる,トリャ,トリャ
よる	動詞,非自立,*,*,五段・ラ行,基本形,よる,ヨル,ヨル
よら	動詞,非自立,*,*,五段・ラ行,未然形,よる,ヨラ,ヨラ
よっ	動詞,非自立,*,*,五段・ラ行,連用タ接続,よる,ヨッ,ヨッ
よう	動詞,非自立,*,*,五段・ラ行ウ音便,連用タ接続,よる,ヨウ,ヨー
より	動詞,非自立,*,*,五段・ラ行,連用形,よる,ヨリ,ヨリ
よれ	動詞,非自立,*,*,五段・ラ行,仮定形,よる,ヨレ,ヨレ
よろ	動詞,非自立,*,*,五段・ラ行,命令ｒｏ,よる,ヨロ,ヨロ
よん	動詞,非自立,*,*,五段・ラ行撥音便,基本形,よる,ヨン,ヨン
よう	動詞,非自立,*,*,五段・ラ行,基本形,よる,ヨウ,ヨー
あく	動詞,非自立,*,*,五段・カ行イ音便,基本形,あく,アク,アク
あか	動詞,非自立,*,*,五段・カ行イ音便,未然形,あく,アカ,アカ
あき	動詞,非自立,*,*,五段・カ行イ音便,連用形,あく,アキ,アキ
あけ	動詞,非自立,*,*,五段・カ行イ音便,仮定形,あく,アケ,アケ
おる	動詞,非自立,*,*,五段・ラ行,基本形,おる,オル,オル
おら	動詞,非自立,*,*,五段・ラ行,未然形,おる,オラ,オラ
おっ	動詞,非自立,*,*,五段・ラ行,連用タ接続,おる,オッ,オッ
おう	動詞,非自立,*,*,五段・ラ行ウ音便,連用タ接続,おる,オウ,オー
おり	動詞,非自立,*,*,五段・ラ行,連用形,おる,オリ,オリ
おれ	動詞,非自立,*,*,五段・ラ行,仮定形,おる,オリ,オリ
おろ	動詞,非自立,*,*,五段・ラ行,命令ｒｏ,おる,オロ,オロ
おん	動詞,非自立,*,*,五段・ラ行撥音便,基本形,おる,オン,オン
はら	動詞,非自立,*,*,五段・ラ行,未然形,はる,ハラ,ハラ
はり	動詞,非自立,*,*,五段・ラ行,連用形,はる,ハリ,ハリ
はっ	動詞,非自立,*,*,五段・ラ行,連用タ接続,はる,ハッ,ハッ
はる	動詞,非自立,*,*,五段・ラ行,基本形,はる,ハル,ハル
はれ	動詞,非自立,*,*,五段・ラ行,仮定形,はる,ハレ,ハレ
はろ	動詞,非自立,*,*,五段・ラ行,未然ウ接続,はる,ハロ,ハロ
