あつこわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,あつかう,アツコワ,アツコワ
勝わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,勝つ,カトワ,カトワ
かとわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,かつ,カトワ,カトワ
かとわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,かつ,カトワ,カトワ
狙わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,狙う,ネロワ,ネロワ
ねろわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,ねらう,ネロワ,ネロワ
ねろわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,ねらう,ネロワ,ネロワ
歌わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,歌う,ウトワ,ウトワ
うとわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,うたう,ウワ,ウトワ
うとわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,うたう,ウトワ,ウトワ
こわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,かう,コワ,コワ
こわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,かう,コワ,コワ
買わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,買う,コワ,コワ
なろわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,ならう,ナロワ,ナロワ
なろわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,ならう,ナロワ,ナロワ
洗わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,洗う,アロワ,アロワ
あろわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,あらう,アロワ,アロワ
あろわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,あらう,アロワ,アロワ
向かいおわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,向かいあう,ムカイオワ,ムカイオワ
向かい合わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,向かい合う,ムカイオワ,ムカイワ
