問掛けれる	動詞,自立,*,*,一段・可能,基本形,問掛けれる,トイカケレル,トイカケレル
問掛けれ	動詞,自立,*,*,一段・可能,未然形,問掛けれる,トイカケレ,トイカケレ
問掛けれ	動詞,自立,*,*,一段・可能,連用形,問掛けれる,トイカケレ,トイカケレ
問掛けれれ	動詞,自立,*,*,一段・可能,仮定形,問掛けれる,トイカケレレ,トイカケレレ
問掛けれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,問掛けれる,トイカケレリャ,トイカケレリャ
問掛けれん	動詞,自立,*,*,一段・可能,体言接続特殊,問掛けれる,トイカケレン,トイカケレン
狙われれる	動詞,自立,*,*,一段・可能,基本形,狙われれる,ネラワレレル,ネラワレレル
狙われれ	動詞,自立,*,*,一段・可能,未然形,狙われれる,ネラワレレ,ネラワレレ
狙われれ	動詞,自立,*,*,一段・可能,連用形,狙われれる,ネラワレレ,ネラワレレ
狙われれれ	動詞,自立,*,*,一段・可能,仮定形,狙われれる,ネラワレレレ,ネラワレレレ
狙われれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,狙われれる,ネラワレレリャ,ネラワレレリャ
狙われれん	動詞,自立,*,*,一段・可能,体言接続特殊,狙われれる,ネラワレレン,ネラワレレン
居れる	動詞,自立,*,*,一段・可能,基本形,居れる,イレル,イレル
居れ	動詞,自立,*,*,一段・可能,未然形,居れる,イレ,イレ
居れ	動詞,自立,*,*,一段・可能,連用形,居れる,イレ,イレ
居れれ	動詞,自立,*,*,一段・可能,仮定形,居れる,イレレ,イレレ
居れりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,居れる,イレリャ,イレリャ
居れん	動詞,自立,*,*,一段・可能,体言接続特殊,居れる,イレン,イレン
ねじふせれる	動詞,自立,*,*,一段・可能,基本形,ねじふせれる,ネジフセレル,ネジフセレル
ねじふせれ	動詞,自立,*,*,一段・可能,未然形,ねじふせれる,ネジフセレ,ネジフセレ
ねじふせれ	動詞,自立,*,*,一段・可能,連用形,ねじふせれる,ネジフセレ,ネジフセレ
ねじふせれれ	動詞,自立,*,*,一段・可能,仮定形,ねじふせれる,ネジフセレレ,ネジフセレレ
ねじふせれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,ねじふせれる,ネジフセレリャ,ネジフセレリャ
ねじふせれん	動詞,自立,*,*,一段・可能,体言接続特殊,ねじふせれる,ネジフセレン,ネジフセレン
較べれる	動詞,自立,*,*,一段・可能,基本形,較べれる,クラベレル,クラベレル
較べれ	動詞,自立,*,*,一段・可能,未然形,較べれる,クラベレ,クラベレ
較べれ	動詞,自立,*,*,一段・可能,連用形,較べれる,クラベレ,クラベレ
較べれれ	動詞,自立,*,*,一段・可能,仮定形,較べれる,クラベレレ,クラベレレ
較べれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,較べれる,クラベレリャ,クラベレリャ
較べれん	動詞,自立,*,*,一段・可能,体言接続特殊,較べれる,クラベレン,クラベレン
ずば抜けれる	動詞,自立,*,*,一段・可能,基本形,ずば抜けれる,ズバヌケレル,ズバヌケレル
ずば抜けれ	動詞,自立,*,*,一段・可能,未然形,ずば抜けれる,ズバヌケレ,ズバヌケレ
ずば抜けれ	動詞,自立,*,*,一段・可能,連用形,ずば抜けれる,ズバヌケレ,ズバヌケレ
ずば抜けれれ	動詞,自立,*,*,一段・可能,仮定形,ずば抜けれる,ズバヌケレレ,ズバヌケレレ
ずば抜けれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,ずば抜けれる,ズバヌケレリャ,ズバヌケレリャ
ずば抜けれん	動詞,自立,*,*,一段・可能,体言接続特殊,ずば抜けれる,ズバヌケレン,ズバヌケレン
とりあつかえれる	動詞,自立,*,*,一段・可能,基本形,とりあつかえれる,トリアツカエレル,トリアツカエレル
とりあつかえれ	動詞,自立,*,*,一段・可能,未然形,とりあつかえれる,トリアツカエレ,トリアツカエレ
とりあつかえれ	動詞,自立,*,*,一段・可能,連用形,とりあつかえれる,トリアツカエレ,トリアツカエレ
とりあつかえれれ	動詞,自立,*,*,一段・可能,仮定形,とりあつかえれる,トリアツカエレレ,トリアツカエレレ
とりあつかえれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,とりあつかえれる,トリアツカエレリャ,トリアツカエレリャ
とりあつかえれん	動詞,自立,*,*,一段・可能,体言接続特殊,とりあつかえれる,トリアツカエレン,トリアツカエレン
扱き雑ぜれる	動詞,自立,*,*,一段・可能,基本形,扱き雑ぜれる,コキマゼレル,コキマゼレル
扱き雑ぜれ	動詞,自立,*,*,一段・可能,未然形,扱き雑ぜれる,コキマゼレ,コキマゼレ
