とん	動詞,非自立,*,*,五段・ラ行,未然特殊,て＋おる,トン,トン
行かん	動詞,非自立,*,*,五段・カ行促音便,未然特殊,行く,イカン,イカン
いかん	動詞,非自立,*,*,五段・カ行促音便,未然特殊,いく,イカン,イカン
逝かん	動詞,自立,*,*,五段・カ行促音便,未然特殊,逝く,イカン,イカン
逝かん	動詞,自立,*,*,五段・カ行促音便,未然特殊,逝く,ユカン,ユカン
行かん	動詞,自立,*,*,五段・カ行促音便,未然特殊,行く,イカン,イカン
いかん	動詞,自立,*,*,五段・カ行促音便,未然特殊,いく,イカン,イカン
引き込まん	動詞,自立,*,*,五段・マ行,未然特殊,引き込む,ヒキコマン,ヒキコマン
すきかえさん	動詞,自立,*,*,五段・サ行,未然特殊,すきかえす,スキカエサン,スキカエサン
睦まん	動詞,自立,*,*,五段・マ行,未然特殊,睦む,ムツマン,ムツマン
きこさん	動詞,自立,*,*,五段・サ行,未然特殊,きこす,キコサン,キコサン
さしださん	動詞,自立,*,*,五段・サ行,未然特殊,さしだす,サシダサン,サシダサン
乗り組まん	動詞,自立,*,*,五段・マ行,未然特殊,乗り組む,ノリクマン,ノリクマン
引き戻さん	動詞,自立,*,*,五段・サ行,未然特殊,引き戻す,ヒキモドサン,ヒキモドサン
ぶち壊さん	動詞,自立,*,*,五段・サ行,未然特殊,ぶち壊す,ブチコワサン,ブチコワサン
語りつがん	動詞,自立,*,*,五段・ガ行,未然特殊,語りつぐ,カタリツガン,カタリツガン
埋めあわさん	動詞,自立,*,*,五段・サ行,未然特殊,埋めあわす,ウメアワサン,ウメアワサン
喚ばん	動詞,自立,*,*,五段・バ行,未然特殊,喚ぶ,ヨバン,ヨバン
こさん	動詞,自立,*,*,五段・サ行,未然特殊,こす,コサン,コサン
罷り越さん	動詞,自立,*,*,五段・サ行,未然特殊,罷り越す,マカリコサン,マカリコサン
描きださん	動詞,自立,*,*,五段・サ行,未然特殊,描きだす,エガキダサン,エガキダサン
けっとばさん	動詞,自立,*,*,五段・サ行,未然特殊,けっとばす,ケットバサン,ケットバサン
満たん	動詞,自立,*,*,五段・タ行,未然特殊,満つ,ミタン,ミタン
明け放さん	動詞,自立,*,*,五段・サ行,未然特殊,明け放す,アケハナサン,アケハナサン
かき乱さん	動詞,自立,*,*,五段・サ行,未然特殊,かき乱す,カキミダサン,カキミダサン
抱き込まん	動詞,自立,*,*,五段・マ行,未然特殊,抱き込む,ダキコマン,ダキコマン
割戻さん	動詞,自立,*,*,五段・サ行,未然特殊,割戻す,ワリモドサン,ワリモドサン
そまん	動詞,自立,*,*,五段・マ行,未然特殊,そむ,ソマン,ソマン
後らさん	動詞,自立,*,*,五段・サ行,未然特殊,後らす,オクラサン,オクラサン
迷わさん	動詞,自立,*,*,五段・サ行,未然特殊,迷わす,マヨワサン,マヨワサン
泥まん	動詞,自立,*,*,五段・マ行,未然特殊,泥む,ナズマン,ナズマン
仕出さん	動詞,自立,*,*,五段・サ行,未然特殊,仕出す,シダサン,シダサン
苛立たん	動詞,自立,*,*,五段・タ行,未然特殊,苛立つ,イラダタン,イラダタン
怖じ気立たん	動詞,自立,*,*,五段・タ行,未然特殊,怖じ気立つ,オジケダタン,オジケダタン
ふしおがまん	動詞,自立,*,*,五段・マ行,未然特殊,ふしおがむ,フシオガマン,フシオガマン
のめさん	動詞,自立,*,*,五段・サ行,未然特殊,のめす,ノメサン,ノメサン
危ぶまん	動詞,自立,*,*,五段・マ行,未然特殊,危ぶむ,アヤブマン,アヤブマン
洗い流さん	動詞,自立,*,*,五段・サ行,未然特殊,洗い流す,アライナガサン,アライナガサン
いいまわさん	動詞,自立,*,*,五段・サ行,未然特殊,いいまわす,イイマワサ,イーマワサ
打ちのめさん	動詞,自立,*,*,五段・サ行,未然特殊,打ちのめす,ウチノメサン,ウチノメサン
鳴らさん	動詞,自立,*,*,五段・サ行,未然特殊,鳴らす,ナラサン,ナラサン
貸出さん	動詞,自立,*,*,五段・サ行,未然特殊,貸出す,カシダサン,カシダサン
もぐり込まん	動詞,自立,*,*,五段・マ行,未然特殊,もぐり込む,モグリコマン,モグリコマン
睨まん	動詞,自立,*,*,五段・マ行,未然特殊,睨む,ニラマン,ニラマン
といかえさん	動詞,自立,*,*,五段・サ行,未然特殊,といかえす,トイカエサン,トイカエサン
降込まん	動詞,自立,*,*,五段・マ行,未然特殊,降込む,フリコマン,フリコマン
はめこまん	動詞,自立,*,*,五段・マ行,未然特殊,はめこむ,ハメコマン,ハメコマン
刷りこまん	動詞,自立,*,*,五段・マ行,未然特殊,刷りこむ,スリコマン,スリコマン
すぐさん	動詞,自立,*,*,五段・サ行,未然特殊,すぐす,スグサン,スグサン
押しかえさん	動詞,自立,*,*,五段・サ行,未然特殊,押しかえす,オシカエサン,オシカエサン
ただよわさん	動詞,自立,*,*,五段・サ行,未然特殊,ただよわす,タダヨワサン,タダヨワサン
乗り継がん	動詞,自立,*,*,五段・ガ行,未然特殊,乗り継ぐ,ノリツガン,ノリツガン
せめがん	動詞,自立,*,*,五段・ガ行,未然特殊,せめぐ,セメガン,セメガン
追い打たん	動詞,自立,*,*,五段・タ行,未然特殊,追い打つ,オイウタン,オイウタン
生い立たん	動詞,自立,*,*,五段・タ行,未然特殊,生い立つ,オイタタン,オイタタン
取逃さん	動詞,自立,*,*,五段・サ行,未然特殊,取逃す,トリニガサン,トリニガサン
乗り通さん	動詞,自立,*,*,五段・サ行,未然特殊,乗り通す,ノリトオサ,ノリトーサ
さむけだたん	動詞,自立,*,*,五段・タ行,未然特殊,さむけだつ,サムケダタン,サムケダタン
かいつくさん	動詞,自立,*,*,五段・サ行,未然特殊,かいつくす,カイツクサン,カイツクサン
編み出さん	動詞,自立,*,*,五段・サ行,未然特殊,編み出す,アミダサン,アミダサン
だきこまん	動詞,自立,*,*,五段・マ行,未然特殊,だきこむ,ダキコマン,ダキコマン
悦ばん	動詞,自立,*,*,五段・バ行,未然特殊,悦ぶ,ヨロコバン,ヨロコバン
組みこまん	動詞,自立,*,*,五段・マ行,未然特殊,組みこむ,クミコマン,クミコマン
なげきくらさん	動詞,自立,*,*,五段・サ行,未然特殊,なげきくらす,ナゲキクラサン,ナゲキクラサン
つくりなおさん	動詞,自立,*,*,五段・サ行,未然特殊,つくりなおす,ツクリナオサン,ツクリナオサン
突き合わさん	動詞,自立,*,*,五段・サ行,未然特殊,突き合わす,ツキアワサン,ツキアワサン
頼まん	動詞,自立,*,*,五段・マ行,未然特殊,頼む,タノマン,タノマン
ゆがまん	動詞,自立,*,*,五段・マ行,未然特殊,ゆがむ,ユガマン,ユガマン
あおまん	動詞,自立,*,*,五段・マ行,未然特殊,あおむ,アオマン,アオマン
玩ばん	動詞,自立,*,*,五段・バ行,未然特殊,玩ぶ,モテアソバン,モテアソバン
ちりいそがん	動詞,自立,*,*,五段・ガ行,未然特殊,ちりいそぐ,チリイソガン,チリイソガン
立ちならばん	動詞,自立,*,*,五段・バ行,未然特殊,立ちならぶ,タチナラバン,タチナラバン
羨まん	動詞,自立,*,*,五段・マ行,未然特殊,羨む,ウラヤマン,ウラヤマン
ふきかえさん	動詞,自立,*,*,五段・サ行,未然特殊,ふきかえす,フキカエサン,フキカエサン
はがん	動詞,自立,*,*,五段・ガ行,未然特殊,はぐ,ハガン,ハガン
みはらさん	動詞,自立,*,*,五段・サ行,未然特殊,みはらす,ミハラサン,ミハラサン
ちぢらさん	動詞,自立,*,*,五段・サ行,未然特殊,ちぢらす,チヂラサン,チジラサン
ひきわたさん	動詞,自立,*,*,五段・サ行,未然特殊,ひきわたす,ヒキワタサン,ヒキワタサン
研がん	動詞,自立,*,*,五段・ガ行,未然特殊,研ぐ,トガン,トガン
萌まん	動詞,自立,*,*,五段・マ行,未然特殊,萌む,メグマン,メグマン
染まん	動詞,自立,*,*,五段・マ行,未然特殊,染む,シマン,シマン
訃がん	動詞,自立,*,*,五段・ガ行,未然特殊,訃ぐ,ツガン,ツガン
ふりやまん	動詞,自立,*,*,五段・マ行,未然特殊,ふりやむ,フリヤマン,フリヤマン
ゆらがん	動詞,自立,*,*,五段・ガ行,未然特殊,ゆらぐ,ユラガン,ユラガン
ようだたん	動詞,自立,*,*,五段・タ行,未然特殊,ようだつ,ヨウダタン,ヨウダタン
またさん	動詞,自立,*,*,五段・サ行,未然特殊,またす,マタサン,マタサン
誘い出さん	動詞,自立,*,*,五段・サ行,未然特殊,誘い出す,サソイダサン,サソイダサン
のりまわさん	動詞,自立,*,*,五段・サ行,未然特殊,のりまわす,ノリマワサン,ノリマワサン
印さん	動詞,自立,*,*,五段・サ行,未然特殊,印す,シルサン,シルサン
わりこまん	動詞,自立,*,*,五段・マ行,未然特殊,わりこむ,ワリコマン,ワリコマン
しくまん	動詞,自立,*,*,五段・マ行,未然特殊,しくむ,シクマン,シクマン
怪しまん	動詞,自立,*,*,五段・マ行,未然特殊,怪しむ,アヤシマン,アヤシマン
証さん	動詞,自立,*,*,五段・サ行,未然特殊,証す,アカサン,アカサン
奏さん	動詞,自立,*,*,五段・サ行,未然特殊,奏す,ソウサ,ソーサ
くるわさん	動詞,自立,*,*,五段・サ行,未然特殊,くるわす,クルワサン,クルワサン
おもいのこさん	動詞,自立,*,*,五段・サ行,未然特殊,おもいのこす,オモイノコサン,オモイノコサン
