られや	動詞,接尾,*,*,一段,未然形・や挿入,られる,ラレヤ,ラレヤ
れや	動詞,接尾,*,*,一段,未然形・や挿入,れる,レヤ,レヤ
こや	動詞,自立,*,*,カ変・クル,未然形・や挿入,くる,コヤ,コヤ
けや	動詞,自立,*,*,カ変・クル,未然形・や挿入,くる,ケヤ,ケヤ
きや	動詞,自立,*,*,カ変・クル,未然形・や挿入,くる,キヤ,キヤ
来や	動詞,自立,*,*,カ変・クル,未然形・や挿入,くる,キヤ,キヤ
こや	動詞,非自立,*,*,カ変・クル,未然形・や挿入,くる,コヤ,コヤ
けや	動詞,非自立,*,*,カ変・クル,未然形・や挿入,くる,ケヤ,ケヤ
きや	動詞,非自立,*,*,カ変・クル,未然形・や挿入,くる,キヤ,キヤ
来や	動詞,非自立,*,*,カ変・クル,未然形・や挿入,くる,キヤ,キヤ
しや	動詞,自立,*,*,サ変・スル,未然形・や挿入,する,シヤ,シヤ
せや	動詞,自立,*,*,サ変・スル,未然形・や挿入,する,セヤ,セヤ
つけや	動詞,自立,*,*,一段,未然形・や挿入,つける,ツケヤ,ツケヤ
飛び抜けや	動詞,自立,*,*,一段,未然形・や挿入,飛び抜ける,トビヌケヤ,トビヌケヤ
書き直せや	動詞,自立,*,*,一段,未然形・や挿入,書き直せる,カキナオセヤ,カキナオセヤ
持てや	動詞,自立,*,*,一段,未然形・や挿入,持てる,モテヤ,モテヤ
問掛けや	動詞,自立,*,*,一段,未然形・や挿入,問掛ける,トイカケヤ,トイカケヤ
狙われや	動詞,自立,*,*,一段,未然形・や挿入,狙われる,ネラワレヤ,ネラワレヤ
しりぞけや	動詞,自立,*,*,一段,未然形・や挿入,しりぞける,シリゾケヤ,シリゾケヤ
居や	動詞,自立,*,*,一段,未然形・や挿入,居る,イヤ,イヤ
ねじふせや	動詞,自立,*,*,一段,未然形・や挿入,ねじふせる,ネジフセヤ,ネジフセヤ
しゃくりあげや	動詞,自立,*,*,一段,未然形・や挿入,しゃくりあげる,シャクリアゲヤ,シャクリアゲヤ
にごせや	動詞,自立,*,*,一段,未然形・や挿入,にごせる,ニゴセヤ,ニゴセヤ
較べや	動詞,自立,*,*,一段,未然形・や挿入,較べる,クラベヤ,クラベヤ
