看取ん	動詞,自立,*,*,五段・ラ行撥音便,基本形,看取る,ミトン,ミトン
つけん	動詞,自立,*,*,一段撥音便,基本形,つける,ツケン,ツケン
封切ん	動詞,自立,*,*,五段・ラ行撥音便,基本形,封切る,フウギン,フーギン
封切ん	動詞,自立,*,*,五段・ラ行撥音便,基本形,封切る,フウキン,フーキン
わりきん	動詞,自立,*,*,五段・ラ行撥音便,基本形,わりきる,ワリキン,ワリキン
飛び抜けん	動詞,自立,*,*,一段撥音便,基本形,飛び抜ける,トビヌケン,トビヌケン
書き直せん	動詞,自立,*,*,一段撥音便,基本形,書き直せる,カキナオセン,カキナオセン
持てん	動詞,自立,*,*,一段撥音便,基本形,持てる,モテン,モテン
わきあがん	動詞,自立,*,*,五段・ラ行撥音便,基本形,わきあがる,ワキアガン,ワキアガン
問掛けん	動詞,自立,*,*,一段撥音便,基本形,問掛ける,トイカケン,トイカケン
狙われん	動詞,自立,*,*,一段撥音便,基本形,狙われる,ネラワレン,ネラワレン
しりぞけん	動詞,自立,*,*,一段撥音便,基本形,しりぞける,シリゾケン,シリゾケン
大人ぶん	動詞,自立,*,*,五段・ラ行撥音便,基本形,大人ぶる,オトナブン,オトナブン
居ん	動詞,自立,*,*,一段撥音便,基本形,居る,イン,イン
ねじふせん	動詞,自立,*,*,一段撥音便,基本形,ねじふせる,ネジフセン,ネジフセン
しゃくりあげん	動詞,自立,*,*,一段撥音便,基本形,しゃくりあげる,シャクリアゲン,シャクリアゲン
にごせん	動詞,自立,*,*,一段撥音便,基本形,にごせる,ニゴセン,ニゴセン
較べん	動詞,自立,*,*,一段撥音便,基本形,較べる,クラベン,クラベン
射せん	動詞,自立,*,*,一段撥音便,基本形,射せる,サセン,サセン
返り咲けん	動詞,自立,*,*,一段撥音便,基本形,返り咲ける,カエリザケン,カエリザケン
誘い合わせん	動詞,自立,*,*,一段撥音便,基本形,誘い合わせる,サソイアワセン,サソイアワセン
つきつけん	動詞,自立,*,*,一段撥音便,基本形,つきつける,ツキツケン,ツキツケン
埋ん	動詞,自立,*,*,五段・ラ行撥音便,基本形,埋る,ウマン,ウマン
だまし取ん	動詞,自立,*,*,五段・ラ行撥音便,基本形,だまし取る,ダマシトン,ダマシトン
めしあがん	動詞,自立,*,*,五段・ラ行撥音便,基本形,めしあがる,メシアガン,メシアガン
つうずん	動詞,自立,*,*,サ変・−ズル撥音便,基本形,つうずる,ツウズン,ツーズン
ずば抜けん	動詞,自立,*,*,一段撥音便,基本形,ずば抜ける,ズバヌケン,ズバヌケン
泣きぬれん	動詞,自立,*,*,一段撥音便,基本形,泣きぬれる,ナキヌレン,ナキヌレン
くしけずん	動詞,自立,*,*,五段・ラ行撥音便,基本形,くしけずる,クシケズン,クシケズン
つみとん	動詞,自立,*,*,五段・ラ行撥音便,基本形,つみとる,ツミトン,ツミトン
さだまん	動詞,自立,*,*,五段・ラ行撥音便,基本形,さだまる,サダマン,サダマン
かわれん	動詞,自立,*,*,一段撥音便,基本形,かわれる,カワレン,カワレン
ごわすん	動詞,自立,*,*,サ変・−スル撥音便,基本形,ごわする,ゴワスン,ゴワスン
おくすん	動詞,自立,*,*,サ変・−スル撥音便,基本形,おくする,オクスン,オクスン
逆らえん	動詞,自立,*,*,一段撥音便,基本形,逆らえる,サカラエン,サカラエン
居あわせん	動詞,自立,*,*,一段撥音便,基本形,居あわせる,イアワセン,イアワセン
堕ちん	動詞,自立,*,*,一段撥音便,基本形,堕ちる,オチン,オチン
慮ん	動詞,自立,*,*,五段・ラ行撥音便,基本形,慮る,オモンバカン,オモンバカン
とりあつかえん	動詞,自立,*,*,一段撥音便,基本形,とりあつかえる,トリアツカエン,トリアツカエン
扱き雑ぜん	動詞,自立,*,*,一段撥音便,基本形,扱き雑ぜる,コキマゼン,コキマゼン
はじけん	動詞,自立,*,*,一段撥音便,基本形,はじける,ハジケン,ハジケン
黙ん	動詞,自立,*,*,五段・ラ行撥音便,基本形,黙る,ダマン,ダマン
いりびたん	動詞,自立,*,*,五段・ラ行撥音便,基本形,いりびたる,イリビタン,イリビタン
呉れん	動詞,自立,*,*,一段・クレル撥音便,基本形,呉れる,クレン,クレン
定まん	動詞,自立,*,*,五段・ラ行撥音便,基本形,定まる,サダマン,サダマン
ばかせん	動詞,自立,*,*,一段撥音便,基本形,ばかせる,バカセン,バカセン
敬えん	動詞,自立,*,*,一段撥音便,基本形,敬える,ウヤマエン,ウヤマエン
食らわせん	動詞,自立,*,*,一段撥音便,基本形,食らわせる,クラワセン,クラワセン
わたん	動詞,自立,*,*,五段・ラ行撥音便,基本形,わたる,ワタン,ワタン
打ち抜けん	動詞,自立,*,*,一段撥音便,基本形,打ち抜ける,ウチヌケン,ウチヌケン
ヒネん	動詞,自立,*,*,五段・ラ行撥音便,基本形,ヒネる,ヒネン,ヒネン
転げでん	動詞,自立,*,*,一段撥音便,基本形,転げでる,コロゲデン,コロゲデン
思い合せん	動詞,自立,*,*,一段撥音便,基本形,思い合せる,オモイアワセン,オモイアワセン
萎れん	動詞,自立,*,*,一段撥音便,基本形,萎れる,シオレン,シオレン
総べん	動詞,自立,*,*,一段撥音便,基本形,総べる,スベン,スベン
差し換えん	動詞,自立,*,*,一段撥音便,基本形,差し換える,サシカエン,サシカエン
おいかけん	動詞,自立,*,*,一段撥音便,基本形,おいかける,オイカケン,オイカケン
