引き込みゃ	動詞,自立,*,*,五段・マ行,基本縮約,引き込む,ヒキコミャ,ヒキコミャ
すきかえしゃ	動詞,自立,*,*,五段・サ行,基本縮約,すきかえす,スキカエシャ,スキカエシャ
看取っ	動詞,自立,*,*,五段・ラ行,基本縮約,看取る,ミトッ,ミトッ
睦みゃ	動詞,自立,*,*,五段・マ行,基本縮約,睦む,ムツミャ,ムツミャ
きこしゃ	動詞,自立,*,*,五段・サ行,基本縮約,きこす,キコシャ,キコシャ
つけっ	動詞,自立,*,*,一段,基本縮約,つける,ツケッ,ツケッ
封切っ	動詞,自立,*,*,五段・ラ行,基本縮約,封切る,フウギッ,フーギッ
封切っ	動詞,自立,*,*,五段・ラ行,基本縮約,封切る,フウキッ,フーキッ
さしだしゃ	動詞,自立,*,*,五段・サ行,基本縮約,さしだす,サシダシャ,サシダシャ
わりきっ	動詞,自立,*,*,五段・ラ行,基本縮約,わりきる,ワリキッ,ワリキッ
飛び抜けっ	動詞,自立,*,*,一段,基本縮約,飛び抜ける,トビヌケッ,トビヌケッ
書き直せっ	動詞,自立,*,*,一段,基本縮約,書き直せる,カキナオセッ,カキナオセッ
乗り組みゃ	動詞,自立,*,*,五段・マ行,基本縮約,乗り組む,ノリクミャ,ノリクミャ
引き戻しゃ	動詞,自立,*,*,五段・サ行,基本縮約,引き戻す,ヒキモドシャ,ヒキモドシャ
持てっ	動詞,自立,*,*,一段,基本縮約,持てる,モテッ,モテッ
基づきゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,基づく,モトヅキャ,モトズキャ
弓引きゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,弓引く,ユミヒキャ,ユミヒキャ
ぶち壊しゃ	動詞,自立,*,*,五段・サ行,基本縮約,ぶち壊す,ブチコワシャ,ブチコワシャ
わきあがっ	動詞,自立,*,*,五段・ラ行,基本縮約,わきあがる,ワキアガッ,ワキアガッ
語りつぎゃ	動詞,自立,*,*,五段・ガ行,基本縮約,語りつぐ,カタリツギャ,カタリツギャ
問掛けっ	動詞,自立,*,*,一段,基本縮約,問掛ける,トイカケッ,トイカケッ
狙われっ	動詞,自立,*,*,一段,基本縮約,狙われる,ネラワレッ,ネラワレッ
埋めあわしゃ	動詞,自立,*,*,五段・サ行,基本縮約,埋めあわす,ウメアワシャ,ウメアワシャ
喚びゃ	動詞,自立,*,*,五段・バ行,基本縮約,喚ぶ,ヨビャ,ヨビャ
しりぞけっ	動詞,自立,*,*,一段,基本縮約,しりぞける,シリゾケッ,シリゾケッ
こしゃ	動詞,自立,*,*,五段・サ行,基本縮約,こす,コシャ,コシャ
大人ぶっ	動詞,自立,*,*,五段・ラ行,基本縮約,大人ぶる,オトナブッ,オトナブッ
居っ	動詞,自立,*,*,一段,基本縮約,居る,イッ,イッ
ねじふせっ	動詞,自立,*,*,一段,基本縮約,ねじふせる,ネジフセッ,ネジフセッ
しゃくりあげっ	動詞,自立,*,*,一段,基本縮約,しゃくりあげる,シャクリアゲッ,シャクリアゲッ
にごせっ	動詞,自立,*,*,一段,基本縮約,にごせる,ニゴセッ,ニゴセッ
較べっ	動詞,自立,*,*,一段,基本縮約,較べる,クラベッ,クラベッ
罷り越しゃ	動詞,自立,*,*,五段・サ行,基本縮約,罷り越す,マカリコシャ,マカリコシャ
射せっ	動詞,自立,*,*,一段,基本縮約,射せる,サセッ,サセッ
描きだしゃ	動詞,自立,*,*,五段・サ行,基本縮約,描きだす,エガキダシャ,エガキダシャ
けっとばしゃ	動詞,自立,*,*,五段・サ行,基本縮約,けっとばす,ケットバシャ,ケットバシャ
満ちゃ	動詞,自立,*,*,五段・タ行,基本縮約,満つ,ミチャ,ミチャ
明け放しゃ	動詞,自立,*,*,五段・サ行,基本縮約,明け放す,アケハナシャ,アケハナシャ
返り咲けっ	動詞,自立,*,*,一段,基本縮約,返り咲ける,カエリザケッ,カエリザケッ
誘い合わせっ	動詞,自立,*,*,一段,基本縮約,誘い合わせる,サソイアワセッ,サソイアワセッ
つきつけっ	動詞,自立,*,*,一段,基本縮約,つきつける,ツキツケッ,ツキツケッ
埋っ	動詞,自立,*,*,五段・ラ行,基本縮約,埋る,ウマッ,ウマッ
かき乱しゃ	動詞,自立,*,*,五段・サ行,基本縮約,かき乱す,カキミダシャ,カキミダシャ
だまし取っ	動詞,自立,*,*,五段・ラ行,基本縮約,だまし取る,ダマシトッ,ダマシトッ
配り歩きゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,配り歩く,クバリアルキャ,クバリアルキャ
抱き込みゃ	動詞,自立,*,*,五段・マ行,基本縮約,抱き込む,ダキコミャ,ダキコミャ
めしあがっ	動詞,自立,*,*,五段・ラ行,基本縮約,めしあがる,メシアガッ,メシアガッ
つうずっ	動詞,自立,*,*,サ変・−ズル,基本縮約,つうずる,ツウズッ,ツーズッ
ずば抜けっ	動詞,自立,*,*,一段,基本縮約,ずば抜ける,ズバヌケッ,ズバヌケッ
泣きぬれっ	動詞,自立,*,*,一段,基本縮約,泣きぬれる,ナキヌレッ,ナキヌレッ
くしけずっ	動詞,自立,*,*,五段・ラ行,基本縮約,くしけずる,クシケズッ,クシケズッ
つみとっ	動詞,自立,*,*,五段・ラ行,基本縮約,つみとる,ツミトッ,ツミトッ
割戻しゃ	動詞,自立,*,*,五段・サ行,基本縮約,割戻す,ワリモドシャ,ワリモドシャ
さだまっ	動詞,自立,*,*,五段・ラ行,基本縮約,さだまる,サダマッ,サダマッ
かわれっ	動詞,自立,*,*,一段,基本縮約,かわれる,カワレッ,カワレッ
そみゃ	動詞,自立,*,*,五段・マ行,基本縮約,そむ,ソミャ,ソミャ
後らしゃ	動詞,自立,*,*,五段・サ行,基本縮約,後らす,オクラシャ,オクラシャ
ごわすっ	動詞,自立,*,*,サ変・−スル,基本縮約,ごわする,ゴワスッ,ゴワスッ
迷わしゃ	動詞,自立,*,*,五段・サ行,基本縮約,迷わす,マヨワシャ,マヨワシャ
泥みゃ	動詞,自立,*,*,五段・マ行,基本縮約,泥む,ナズミャ,ナズミャ
仕出しゃ	動詞,自立,*,*,五段・サ行,基本縮約,仕出す,シダシャ,シダシャ
おくすっ	動詞,自立,*,*,サ変・−スル,基本縮約,おくする,オクスッ,オクスッ
逆らえっ	動詞,自立,*,*,一段,基本縮約,逆らえる,サカラエッ,サカラエッ
居あわせっ	動詞,自立,*,*,一段,基本縮約,居あわせる,イアワセッ,イアワセッ
苛立ちゃ	動詞,自立,*,*,五段・タ行,基本縮約,苛立つ,イラダチャ,イラダチャ
堕ちっ	動詞,自立,*,*,一段,基本縮約,堕ちる,オチッ,オチッ
慮っ	動詞,自立,*,*,五段・ラ行,基本縮約,慮る,オモンバカッ,オモンバカッ
怖じ気立ちゃ	動詞,自立,*,*,五段・タ行,基本縮約,怖じ気立つ,オジケダチャ,オジケダチャ
きずきゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,きずく,キズキャ,キズキャ
とりあつかえっ	動詞,自立,*,*,一段,基本縮約,とりあつかえる,トリアツカエッ,トリアツカエッ
扱き雑ぜっ	動詞,自立,*,*,一段,基本縮約,扱き雑ぜる,コキマゼッ,コキマゼッ
はじけっ	動詞,自立,*,*,一段,基本縮約,はじける,ハジケッ,ハジケッ
ふしおがみゃ	動詞,自立,*,*,五段・マ行,基本縮約,ふしおがむ,フシオガミャ,フシオガミャ
黙っ	動詞,自立,*,*,五段・ラ行,基本縮約,黙る,ダマッ,ダマッ
のめしゃ	動詞,自立,*,*,五段・サ行,基本縮約,のめす,ノメシャ,ノメシャ
危ぶみゃ	動詞,自立,*,*,五段・マ行,基本縮約,危ぶむ,アヤブミャ,アヤブミャ
いりびたっ	動詞,自立,*,*,五段・ラ行,基本縮約,いりびたる,イリビタッ,イリビタッ
洗い流しゃ	動詞,自立,*,*,五段・サ行,基本縮約,洗い流す,アライナガシャ,アライナガシャ
呉れっ	動詞,自立,*,*,一段・クレル,基本縮約,呉れる,クレッ,クレッ
定まっ	動詞,自立,*,*,五段・ラ行,基本縮約,定まる,サダマッ,サダマッ
ばかせっ	動詞,自立,*,*,一段,基本縮約,ばかせる,バカセッ,バカセッ
敬えっ	動詞,自立,*,*,一段,基本縮約,敬える,ウヤマエッ,ウヤマエッ
食らわせっ	動詞,自立,*,*,一段,基本縮約,食らわせる,クラワセッ,クラワセッ
わたっ	動詞,自立,*,*,五段・ラ行,基本縮約,わたる,ワタッ,ワタッ
いいまわしゃ	動詞,自立,*,*,五段・サ行,基本縮約,いいまわす,イイマワシャ,イーマワシャ
打ち抜けっ	動詞,自立,*,*,一段,基本縮約,打ち抜ける,ウチヌケッ,ウチヌケッ
ヒネっ	動詞,自立,*,*,五段・ラ行,基本縮約,ヒネる,ヒネッ,ヒネッ
転げでっ	動詞,自立,*,*,一段,基本縮約,転げでる,コロゲデッ,コロゲデッ
打ちのめしゃ	動詞,自立,*,*,五段・サ行,基本縮約,打ちのめす,ウチノメシャ,ウチノメシャ
思い合せっ	動詞,自立,*,*,一段,基本縮約,思い合せる,オモイアワセッ,オモイアワセッ
萎れっ	動詞,自立,*,*,一段,基本縮約,萎れる,シオレッ,シオレッ
総べっ	動詞,自立,*,*,一段,基本縮約,総べる,スベッ,スベッ
鳴らしゃ	動詞,自立,*,*,五段・サ行,基本縮約,鳴らす,ナラシャ,ナラシャ
貸出しゃ	動詞,自立,*,*,五段・サ行,基本縮約,貸出す,カシダシャ,カシダシャ
差し換えっ	動詞,自立,*,*,一段,基本縮約,差し換える,サシカエッ,サシカエッ
もぐり込みゃ	動詞,自立,*,*,五段・マ行,基本縮約,もぐり込む,モグリコミャ,モグリコミャ
睨みゃ	動詞,自立,*,*,五段・マ行,基本縮約,睨む,ニラミャ,ニラミャ
打ちつづきゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,打ちつづく,ウチツヅキャ,ウチツズキャ
おいかけっ	動詞,自立,*,*,一段,基本縮約,おいかける,オイカケッ,オイカケッ
ふりつもっ	動詞,自立,*,*,五段・ラ行,基本縮約,ふりつもる,フリツモッ,フリツモッ
かわきゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,かわく,カワキャ,カワキャ
はしりだせっ	動詞,自立,*,*,一段,基本縮約,はしりだせる,ハシリダセッ,ハシリダセッ
省みっ	動詞,自立,*,*,一段,基本縮約,省みる,カエリミッ,カエリミッ
といかえしゃ	動詞,自立,*,*,五段・サ行,基本縮約,といかえす,トイカエシャ,トイカエシャ
かぶさっ	動詞,自立,*,*,五段・ラ行,基本縮約,かぶさる,カブサッ,カブサッ
こづきゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,こづく,コヅキャ,コズキャ
降込みゃ	動詞,自立,*,*,五段・マ行,基本縮約,降込む,フリコミャ,フリコミャ
はめこみゃ	動詞,自立,*,*,五段・マ行,基本縮約,はめこむ,ハメコミャ,ハメコミャ
すみわたっ	動詞,自立,*,*,五段・ラ行,基本縮約,すみわたる,スミワタッ,スミワタッ
思へっ	動詞,自立,*,*,一段,基本縮約,思へる,オモヘッ,オモエッ
刷りこみゃ	動詞,自立,*,*,五段・マ行,基本縮約,刷りこむ,スリコミャ,スリコミャ
くらわせっ	動詞,自立,*,*,一段,基本縮約,くらわせる,クラワセッ,クラワセッ
ゆすぶっ	動詞,自立,*,*,五段・ラ行,基本縮約,ゆすぶる,ユスブッ,ユスブッ
触れ合えっ	動詞,自立,*,*,一段,基本縮約,触れ合える,フレアエッ,フレアエッ
はねあがっ	動詞,自立,*,*,五段・ラ行,基本縮約,はねあがる,ハネアガッ,ハネアガッ
察すっ	動詞,自立,*,*,サ変・−スル,基本縮約,察する,サッスッ,サッスッ
ころげおちっ	動詞,自立,*,*,一段,基本縮約,ころげおちる,コロゲオチッ,コロゲオチッ
すぐしゃ	動詞,自立,*,*,五段・サ行,基本縮約,すぐす,スグシャ,スグシャ
押しかえしゃ	動詞,自立,*,*,五段・サ行,基本縮約,押しかえす,オシカエシャ,オシカエシャ
