看取っ	動詞,自立,*,*,五段・ラ行,基本形・促音便,看取る,ミトッ,ミトッ
つけっ	動詞,自立,*,*,一段,基本形・促音便,つける,ツケッ,ツケッ
封切っ	動詞,自立,*,*,五段・ラ行,基本形・促音便,封切る,フウギッ,フーギッ
封切っ	動詞,自立,*,*,五段・ラ行,基本形・促音便,封切る,フウキッ,フーキッ
わりきっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,わりきる,ワリキッ,ワリキッ
飛び抜けっ	動詞,自立,*,*,一段,基本形・促音便,飛び抜ける,トビヌケッ,トビヌケッ
書き直せっ	動詞,自立,*,*,一段,基本形・促音便,書き直せる,カキナオセッ,カキナオセッ
持てっ	動詞,自立,*,*,一段,基本形・促音便,持てる,モテッ,モテッ
わきあがっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,わきあがる,ワキアガッ,ワキアガッ
問掛けっ	動詞,自立,*,*,一段,基本形・促音便,問掛ける,トイカケッ,トイカケッ
狙われっ	動詞,自立,*,*,一段,基本形・促音便,狙われる,ネラワレッ,ネラワレッ
しりぞけっ	動詞,自立,*,*,一段,基本形・促音便,しりぞける,シリゾケッ,シリゾケッ
大人ぶっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,大人ぶる,オトナブッ,オトナブッ
居っ	動詞,自立,*,*,一段,基本形・促音便,居る,イッ,イッ
ねじふせっ	動詞,自立,*,*,一段,基本形・促音便,ねじふせる,ネジフセッ,ネジフセッ
しゃくりあげっ	動詞,自立,*,*,一段,基本形・促音便,しゃくりあげる,シャクリアゲッ,シャクリアゲッ
にごせっ	動詞,自立,*,*,一段,基本形・促音便,にごせる,ニゴセッ,ニゴセッ
較べっ	動詞,自立,*,*,一段,基本形・促音便,較べる,クラベッ,クラベッ
射せっ	動詞,自立,*,*,一段,基本形・促音便,射せる,サセッ,サセッ
返り咲けっ	動詞,自立,*,*,一段,基本形・促音便,返り咲ける,カエリザケッ,カエリザケッ
誘い合わせっ	動詞,自立,*,*,一段,基本形・促音便,誘い合わせる,サソイアワセッ,サソイアワセッ
つきつけっ	動詞,自立,*,*,一段,基本形・促音便,つきつける,ツキツケッ,ツキツケッ
埋っ	動詞,自立,*,*,五段・ラ行,基本形・促音便,埋る,ウマッ,ウマッ
だまし取っ	動詞,自立,*,*,五段・ラ行,基本形・促音便,だまし取る,ダマシトッ,ダマシトッ
めしあがっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,めしあがる,メシアガッ,メシアガッ
つうずっ	動詞,自立,*,*,サ変・−ズル,基本形・促音便,つうずる,ツウズッ,ツーズッ
ずば抜けっ	動詞,自立,*,*,一段,基本形・促音便,ずば抜ける,ズバヌケッ,ズバヌケッ
泣きぬれっ	動詞,自立,*,*,一段,基本形・促音便,泣きぬれる,ナキヌレッ,ナキヌレッ
くしけずっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,くしけずる,クシケズッ,クシケズッ
つみとっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,つみとる,ツミトッ,ツミトッ
さだまっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,さだまる,サダマッ,サダマッ
かわれっ	動詞,自立,*,*,一段,基本形・促音便,かわれる,カワレッ,カワレッ
ごわすっ	動詞,自立,*,*,サ変・−スル,基本形・促音便,ごわする,ゴワスッ,ゴワスッ
おくすっ	動詞,自立,*,*,サ変・−スル,基本形・促音便,おくする,オクスッ,オクスッ
逆らえっ	動詞,自立,*,*,一段,基本形・促音便,逆らえる,サカラエッ,サカラエッ
居あわせっ	動詞,自立,*,*,一段,基本形・促音便,居あわせる,イアワセッ,イアワセッ
堕ちっ	動詞,自立,*,*,一段,基本形・促音便,堕ちる,オチッ,オチッ
慮っ	動詞,自立,*,*,五段・ラ行,基本形・促音便,慮る,オモンバカッ,オモンバカッ
とりあつかえっ	動詞,自立,*,*,一段,基本形・促音便,とりあつかえる,トリアツカエッ,トリアツカエッ
扱き雑ぜっ	動詞,自立,*,*,一段,基本形・促音便,扱き雑ぜる,コキマゼッ,コキマゼッ
はじけっ	動詞,自立,*,*,一段,基本形・促音便,はじける,ハジケッ,ハジケッ
黙っ	動詞,自立,*,*,五段・ラ行,基本形・促音便,黙る,ダマッ,ダマッ
いりびたっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,いりびたる,イリビタッ,イリビタッ
呉れっ	動詞,自立,*,*,一段・クレル,基本形・促音便,呉れる,クレッ,クレッ
定まっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,定まる,サダマッ,サダマッ
ばかせっ	動詞,自立,*,*,一段,基本形・促音便,ばかせる,バカセッ,バカセッ
敬えっ	動詞,自立,*,*,一段,基本形・促音便,敬える,ウヤマエッ,ウヤマエッ
食らわせっ	動詞,自立,*,*,一段,基本形・促音便,食らわせる,クラワセッ,クラワセッ
わたっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,わたる,ワタッ,ワタッ
打ち抜けっ	動詞,自立,*,*,一段,基本形・促音便,打ち抜ける,ウチヌケッ,ウチヌケッ
ヒネっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,ヒネる,ヒネッ,ヒネッ
転げでっ	動詞,自立,*,*,一段,基本形・促音便,転げでる,コロゲデッ,コロゲデッ
思い合せっ	動詞,自立,*,*,一段,基本形・促音便,思い合せる,オモイアワセッ,オモイアワセッ
萎れっ	動詞,自立,*,*,一段,基本形・促音便,萎れる,シオレッ,シオレッ
総べっ	動詞,自立,*,*,一段,基本形・促音便,総べる,スベッ,スベッ
差し換えっ	動詞,自立,*,*,一段,基本形・促音便,差し換える,サシカエッ,サシカエッ
おいかけっ	動詞,自立,*,*,一段,基本形・促音便,おいかける,オイカケッ,オイカケッ
ふりつもっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,ふりつもる,フリツモッ,フリツモッ
はしりだせっ	動詞,自立,*,*,一段,基本形・促音便,はしりだせる,ハシリダセッ,ハシリダセッ
省みっ	動詞,自立,*,*,一段,基本形・促音便,省みる,カエリミッ,カエリミッ
かぶさっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,かぶさる,カブサッ,カブサッ
すみわたっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,すみわたる,スミワタッ,スミワタッ
思へっ	動詞,自立,*,*,一段,基本形・促音便,思へる,オモヘッ,オモエッ
くらわせっ	動詞,自立,*,*,一段,基本形・促音便,くらわせる,クラワセッ,クラワセッ
ゆすぶっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,ゆすぶる,ユスブッ,ユスブッ
触れ合えっ	動詞,自立,*,*,一段,基本形・促音便,触れ合える,フレアエッ,フレアエッ
はねあがっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,はねあがる,ハネアガッ,ハネアガッ
察すっ	動詞,自立,*,*,サ変・−スル,基本形・促音便,察する,サッスッ,サッスッ
ころげおちっ	動詞,自立,*,*,一段,基本形・促音便,ころげおちる,コロゲオチッ,コロゲオチッ
結論づけっ	動詞,自立,*,*,一段,基本形・促音便,結論づける,ケツロンヅケッ,ケツロンズケッ
しばり上げっ	動詞,自立,*,*,一段,基本形・促音便,しばり上げる,シバリアゲッ,シバリアゲッ
ひめっ	動詞,自立,*,*,一段,基本形・促音便,ひめる,ヒメッ,ヒメッ
やじっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,やじる,ヤジッ,ヤジッ
けっすっ	動詞,自立,*,*,サ変・−スル,基本形・促音便,けっする,ケッスッ,ケッスッ
みかぎっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,みかぎる,ミカギッ,ミカギッ
わりあてっ	動詞,自立,*,*,一段,基本形・促音便,わりあてる,ワリアテッ,ワリアテッ
かき立てっ	動詞,自立,*,*,一段,基本形・促音便,かき立てる,カキタテッ,カキタテッ
吸付けっ	動詞,自立,*,*,一段,基本形・促音便,吸付ける,スイツケッ,スイツケッ
ごねっ	動詞,自立,*,*,一段,基本形・促音便,ごねる,ゴネッ,ゴネッ
食さがっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,食さがる,クイサガッ,クイサガッ
休まれっ	動詞,自立,*,*,一段,基本形・促音便,休まれる,ヤスマレッ,ヤスマレッ
動じっ	動詞,自立,*,*,一段,基本形・促音便,動じる,ドウジッ,ドージッ
染まっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,染まる,ソマッ,ソマッ
染め上げっ	動詞,自立,*,*,一段,基本形・促音便,染め上げる,ソメアゲッ,ソメアゲッ
はかれっ	動詞,自立,*,*,一段,基本形・促音便,はかれる,ハカレッ,ハカレッ
光らせっ	動詞,自立,*,*,一段,基本形・促音便,光らせる,ヒカラセッ,ヒカラセッ
挫けっ	動詞,自立,*,*,一段,基本形・促音便,挫ける,クジケッ,クジケッ
燃え移っ	動詞,自立,*,*,五段・ラ行,基本形・促音便,燃え移る,モエウツッ,モエウツッ
鈍すっ	動詞,自立,*,*,サ変・−スル,基本形・促音便,鈍する,ドンスッ,ドンスッ
ふくれあがっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,ふくれあがる,フクレアガッ,フクレアガッ
ぶんなげっ	動詞,自立,*,*,一段,基本形・促音便,ぶんなげる,ブンナゲッ,ブンナゲッ
うろたえっ	動詞,自立,*,*,一段,基本形・促音便,うろたえる,ウロタエッ,ウロタエッ
燃えっ	動詞,自立,*,*,一段,基本形・促音便,燃える,モエッ,モエッ
推すっ	動詞,自立,*,*,サ変・−スル,基本形・促音便,推する,スイスッ,スイスッ
こぼれおちっ	動詞,自立,*,*,一段,基本形・促音便,こぼれおちる,コボレオチッ,コボレオチッ
祀っ	動詞,自立,*,*,五段・ラ行,基本形・促音便,祀る,マツッ,マツッ
痛め付けっ	動詞,自立,*,*,一段,基本形・促音便,痛め付ける,イタメツケッ,イタメツケッ
持ちきっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,持ちきる,モチキッ,モチキッ
疑えっ	動詞,自立,*,*,一段,基本形・促音便,疑える,ウタガエッ,ウタガエッ
掻き曇っ	動詞,自立,*,*,五段・ラ行,基本形・促音便,掻き曇る,カキクモッ,カキクモッ
うばえっ	動詞,自立,*,*,一段,基本形・促音便,うばえる,ウバエッ,ウバエッ
願い出っ	動詞,自立,*,*,一段,基本形・促音便,願い出る,ネガイデッ,ネガイデッ
落ち延びっ	動詞,自立,*,*,一段,基本形・促音便,落ち延びる,オチノビッ,オチノビッ
辱めっ	動詞,自立,*,*,一段,基本形・促音便,辱める,ハズカシメッ,ハズカシメッ
おったてっ	動詞,自立,*,*,一段,基本形・促音便,おったてる,オッタテッ,オッタテッ
呼び止めっ	動詞,自立,*,*,一段,基本形・促音便,呼び止める,ヨビトメッ,ヨビトメッ
澄みきっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,澄みきる,スミキッ,スミキッ
踏みきっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,踏みきる,フミキッ,フミキッ
轟かせっ	動詞,自立,*,*,一段,基本形・促音便,轟かせる,トドロカセッ,トドロカセッ
仰けっ	動詞,自立,*,*,一段,基本形・促音便,仰ける,アオノケッ,アオノケッ
毒すっ	動詞,自立,*,*,サ変・−スル,基本形・促音便,毒する,ドクスッ,ドクスッ
かかえっ	動詞,自立,*,*,一段,基本形・促音便,かかえる,カカエッ,カカエッ
ほふっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,ほふる,ホフッ,ホフッ
捻っ	動詞,自立,*,*,五段・ラ行,基本形・促音便,捻る,ヒネッ,ヒネッ
捻っ	動詞,自立,*,*,五段・ラ行,基本形・促音便,捻る,ネジッ,ネジッ
角張っ	動詞,自立,*,*,五段・ラ行,基本形・促音便,角張る,カクバッ,カクバッ
いちづけっ	動詞,自立,*,*,一段,基本形・促音便,いちづける,イチヅケッ,イチズケッ
仕込めっ	動詞,自立,*,*,一段,基本形・促音便,仕込める,シコメッ,シコメッ
くいこめっ	動詞,自立,*,*,一段,基本形・促音便,くいこめる,クイコメッ,クイコメッ
あつかえっ	動詞,自立,*,*,一段,基本形・促音便,あつかえる,アツカエッ,アツカエッ
嘱すっ	動詞,自立,*,*,サ変・−スル,基本形・促音便,嘱する,ショクスッ,ショクスッ
けやぶっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,けやぶる,ケヤブッ,ケヤブッ
まっめっ	動詞,自立,*,*,一段,基本形・促音便,まるめる,マッメッ,マッメッ
しびれっ	動詞,自立,*,*,一段,基本形・促音便,しびれる,シビレッ,シビレッ
はぐっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,はぐる,ハグッ,ハグッ
はみ出っ	動詞,自立,*,*,一段,基本形・促音便,はみ出る,ハミデッ,ハミデッ
裁てっ	動詞,自立,*,*,一段,基本形・促音便,裁てる,タテッ,タテッ
引き下がっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,引き下がる,ヒキサガッ,ヒキサガッ
括れっ	動詞,自立,*,*,一段,基本形・促音便,括れる,クビレッ,クビレッ
引き締まっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,引き締まる,ヒキシマッ,ヒキシマッ
参れっ	動詞,自立,*,*,一段,基本形・促音便,参れる,マイレッ,マイレッ
けおされっ	動詞,自立,*,*,一段,基本形・促音便,けおされる,ケオサレッ,ケオサレッ
洒落れっ	動詞,自立,*,*,一段,基本形・促音便,洒落れる,シャレッ,シャレッ
おもいやっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,おもいやる,オモイヤッ,オモイヤッ
ふとっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,ふとる,フトッ,フトッ
うちまくっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,うちまくる,ウチマクッ,ウチマクッ
明け残っ	動詞,自立,*,*,五段・ラ行,基本形・促音便,明け残る,アケノコッ,アケノコッ
ならびたてっ	動詞,自立,*,*,一段,基本形・促音便,ならびたてる,ナラビタテッ,ナラビタテッ
書き出せっ	動詞,自立,*,*,一段,基本形・促音便,書き出せる,カキダセッ,カキダセッ
聞きつけっ	動詞,自立,*,*,一段,基本形・促音便,聞きつける,キキツケッ,キキツケッ
つきはなせっ	動詞,自立,*,*,一段,基本形・促音便,つきはなせる,ツキハナセッ,ツキハナセッ
ませっ	動詞,自立,*,*,一段,基本形・促音便,ませる,マセッ,マセッ
折り込めっ	動詞,自立,*,*,一段,基本形・促音便,折り込める,オリコメッ,オリコメッ
ふり入れっ	動詞,自立,*,*,一段,基本形・促音便,ふり入れる,フリイレッ,フリイレッ
押し分けっ	動詞,自立,*,*,一段,基本形・促音便,押し分ける,オシワケッ,オシワケッ
見慣れっ	動詞,自立,*,*,一段,基本形・促音便,見慣れる,ミナレッ,ミナレッ
跳ねのけっ	動詞,自立,*,*,一段,基本形・促音便,跳ねのける,ハネノケッ,ハネノケッ
拒めっ	動詞,自立,*,*,一段,基本形・促音便,拒める,コバメッ,コバメッ
貫き通せっ	動詞,自立,*,*,一段,基本形・促音便,貫き通せる,ツラヌキトオセッ,ツラヌキトーセッ
くねっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,くねる,クネッ,クネッ
読み切れっ	動詞,自立,*,*,一段,基本形・促音便,読み切れる,ヨミキレッ,ヨミキレッ
畳み込めっ	動詞,自立,*,*,一段,基本形・促音便,畳み込める,タタミコメッ,タタミコメッ
掛け合えっ	動詞,自立,*,*,一段,基本形・促音便,掛け合える,カケアエッ,カケアエッ
ほぐせっ	動詞,自立,*,*,一段,基本形・促音便,ほぐせる,ホグセッ,ホグセッ
ぜっすっ	動詞,自立,*,*,サ変・−スル,基本形・促音便,ぜっする,ゼッスッ,ゼッスッ
蔵すっ	動詞,自立,*,*,サ変・−スル,基本形・促音便,蔵する,ゾウスッ,ゾースッ
手古摺っ	動詞,自立,*,*,五段・ラ行,基本形・促音便,手古摺る,テコズッ,テコズッ
まびけっ	動詞,自立,*,*,一段,基本形・促音便,まびける,マビケッ,マビケッ
締めつけっ	動詞,自立,*,*,一段,基本形・促音便,締めつける,シメツケッ,シメツケッ
受けっ	動詞,自立,*,*,一段,基本形・促音便,受ける,ウケッ,ウケッ
立ちどまっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,立ちどまる,タチドマッ,タチドマッ
はいりきっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,はいりきる,ハイリキッ,ハイリキッ
漕げっ	動詞,自立,*,*,一段,基本形・促音便,漕げる,コゲッ,コゲッ
