つ	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いう,ツ,ツ
あつこう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,あつかう,アツコウ,アツコー
勝	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,勝つ,カト,カト
かとう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,かつ,カトウ,カトー
かと	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,かつ,カト,カト
狙	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,狙う,ネロ,ネロ
ねろう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,ねらう,ネロー,ネロー
ねろ	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,ねらう,ネロ,ネロ
歌	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,歌う,ウト,ウト
うとう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,うたう,ウト,ウトー
うと	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,うたう,ウト,ウト
こう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,かう,コウ,コー
こ	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,かう,コ,コ
買	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,買う,コ,コ
なろ	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,ならう,ナロ,ナロ
なろう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,ならう,ナロウ,ナロー
洗	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,洗う,アロ,アロ
あろ	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,あらう,アロ,アロ
あろう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,あらう,アロウ,アロー
向かいお	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,向かいあう,ムカイオ,ムカイオ
向かい合う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,向かい合う,ムカイオウ,ムカイオ
向かいおう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,向かいあう,ムカイオウ,ムカイオー
でお	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,であう,デオ,デオ
出会	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,出会う,デオ,デオ
でおう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,であう,デオウ,デオー
さそ	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,さそう,サソ,サソ
誘	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,誘う,サソ,サソ
さそう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,さそう,サソウ,サソー
はろ	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,はらう,ハロ,ハロ
払	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,払う,ハロ,ハロ
はろう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,はらう,ハロウ,ハロー
わろ	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,わらう,ワロ,ワロ
笑	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,笑う,ワロ,ワロ
わろう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,わらう,ワロウ,ワロー
まちご	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,まちがう,マチゴ,マチゴ
間違	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,間違う,マチゴ,マチゴ
まちごう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,まちがう,マチゴウ,マチゴー
手つど	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,手つだう,テツド,テツド
手伝	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,手伝う,テツド,テツド
手つどう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,手つだう,テツドウ,テツドー
つこ	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,つかう,ツコ,ツコ
使	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,使う,ツコ,ツコ
つこう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,つかう,ツコウ,ツコー
お	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,あう,オ,オ
会	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,会う,オ,オ
おう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,あう,オウ,オー
と	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,立つ,ト,ト
とう	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,立つ,トウ,トー
立	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,立つ,ト,ト
もろう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,もらう,モロウ,モロー
もろ	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,もらう,モロ,モロ
習	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,習う,ナロ,ナロ
おう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,あう,オウ,オー
思	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,思う,オモ,オモ
つく	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,つくる,ツク,ツク
つくう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,つくる,ツクウ,ツクー
しも	動詞,非自立,*,*,五段・ワ行ウ音便,連用タ接続,しまう,シモ,シモ
しもう	動詞,非自立,*,*,五段・ワ行ウ音便,連用タ接続,しまう,シモウ,シモー
ちごう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,違う,チゴウ,チゴー
ちご	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,違う,チゴ,チゴ
おもう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,おもう,オモウ,オモー
おも	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,おもう,オモ,オモ
言う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,言う,ユウ,ユー
言	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,言う,ユウ,ユー
いう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いう,ユウ,ユー
ゆう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いう,ユウ,ユー
ゆ	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いう,ユ,ユ
看取う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,看取る,ミトウ,ミトー
