決まれ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,決まる,キマレ,キマレ
行け	動詞,自立,*,*,五段・カ行促音便,未然形・母音調和,行く,イカ,イカ
行け	動詞,非自立,*,*,五段・カ行促音便,未然形・母音調和,行く,イカ,イカ
こせ	動詞,自立,*,*,五段・サ行,未然形・母音調和,こす,コセ,コセ
そめ	動詞,自立,*,*,五段・マ行,未然形・母音調和,そむ,ソメ,ソメ
黙れ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,黙る,ダマレ,ダマレ
かわけ	動詞,自立,*,*,五段・カ行イ音便,未然形・母音調和,かわく,カワケ,カワケ
欠け	動詞,自立,*,*,五段・カ行イ音便,未然形・母音調和,欠く,カケ,カケ
頼め	動詞,自立,*,*,五段・マ行,未然形・母音調和,頼む,タノメ,タノメ
はげ	動詞,自立,*,*,五段・ガ行,未然形・母音調和,はぐ,ハゲ,ハゲ
染め	動詞,自立,*,*,五段・マ行,未然形・母音調和,染む,シメ,シメ
隠れ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,隠る,コモレ,コモレ
なれ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,なる,ナレ,ナレ
けせ	動詞,自立,*,*,五段・サ行,未然形・母音調和,けす,ケセ,ケセ
飼え	動詞,自立,*,*,五段・ワ行促音便,未然形・母音調和,飼う,カエ,カエ
ぼれ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,ぼる,ボレ,ボレ
せれ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,せる,セレ,セレ
うかせ	動詞,自立,*,*,五段・サ行,未然形・母音調和,うかす,ウカセ,ウカセ
かませ	動詞,自立,*,*,五段・サ行,未然形・母音調和,かます,カマセ,カマセ
直れ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,直る,ナオレ,ナオレ
出会え	動詞,自立,*,*,五段・ワ行促音便,未然形・母音調和,出会う,デアエ,デアエ
いため	動詞,自立,*,*,五段・マ行,未然形・母音調和,いたむ,イタメ,イタメ
含まれ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,含まる,フクマレ,フクマレ
はいれ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,はいる,ハイレ,ハイレ
あざなえ	動詞,自立,*,*,五段・ワ行促音便,未然形・母音調和,あざなう,アザナエ,アザナエ
作れ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,作る,ツクレ,ツクレ
もれ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,もる,モレ,モレ
ともせ	動詞,自立,*,*,五段・サ行,未然形・母音調和,ともす,トモセ,トモセ
返せ	動詞,自立,*,*,五段・サ行,未然形・母音調和,返す,カエセ,カエセ
ひけ	動詞,自立,*,*,五段・カ行イ音便,未然形・母音調和,ひく,ヒケ,ヒケ
待ち合わせ	動詞,自立,*,*,五段・サ行,未然形・母音調和,待ち合わす,マチアワセ,マチアワセ
いこめ	動詞,自立,*,*,五段・マ行,未然形・母音調和,いこむ,イコメ,イコメ
たのしめ	動詞,自立,*,*,五段・マ行,未然形・母音調和,たのしむ,タノシメ,タノシメ
こえ	動詞,自立,*,*,五段・ワ行ウ音便,未然形・母音調和,こう,コエ,コエ
喜べ	動詞,自立,*,*,五段・バ行,未然形・母音調和,喜ぶ,ヨロコベ,ヨロコベ
歌え	動詞,自立,*,*,五段・ワ行促音便,未然形・母音調和,歌う,ウタエ,ウタエ
計れ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,計る,ハカレ,ハカレ
とりあえ	動詞,自立,*,*,五段・ワ行促音便,未然形・母音調和,とりあう,トリアエ,トリアエ
期せ	動詞,自立,*,*,五段・サ行,未然形・母音調和,期す,キセ,キセ
伝われ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,伝わる,ツタワレ,ツタワレ
たがれ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,たがる,タガレ,タガレ
おけ	動詞,自立,*,*,五段・カ行イ音便,未然形・母音調和,おく,オケ,オケ
遣え	動詞,自立,*,*,五段・ワ行促音便,未然形・母音調和,遣う,ツカエ,ツカエ
くじけ	動詞,自立,*,*,五段・カ行イ音便,未然形・母音調和,くじく,クジケ,クジケ
おれ	動詞,非自立,*,*,五段・ラ行,未然形・母音調和,おる,オレ,オレ
せ	動詞,接尾,*,*,五段・サ行,未然形・母音調和,す,セ,セ
破れ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,破る,ヤブレ,ヤブレ
出せ	動詞,非自立,*,*,五段・サ行,未然形・母音調和,出す,ダセ,ダセ
そえ	動詞,自立,*,*,五段・ワ行促音便,未然形・母音調和,そう,ソエ,ソエ
験せ	動詞,自立,*,*,五段・サ行,未然形・母音調和,験す,タメセ,タメセ
まけ	動詞,自立,*,*,五段・カ行イ音便,未然形・母音調和,まく,マケ,マケ
しとれ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,しとる,シトレ,シトレ
打ち合わせ	動詞,自立,*,*,五段・サ行,未然形・母音調和,打ち合わす,ウチアワセ,ウチアワセ
思え	動詞,自立,*,*,五段・ワ行促音便,未然形・母音調和,思う,オモエ,オモエ
刺され	動詞,自立,*,*,五段・ラ行,未然形・母音調和,刺さる,ササレ,ササレ
くされ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,くさる,クサレ,クサレ
みとれ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,みとる,ミトレ,ミトレ
まくれ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,まくる,マクレ,マクレ
分かて	動詞,自立,*,*,五段・タ行,未然形・母音調和,分かつ,ワカテ,ワカテ
