悠介	名詞,固有名詞,人名,名,*,*,悠介,ユウスケ,ユースケ
辻口	名詞,固有名詞,人名,姓,*,*,辻口,ツジグチ,ツジグチ
巌谷	名詞,固有名詞,地域,一般,*,*,巌谷,イワヤ,イワヤ
インスタ	名詞,一般,*,*,*,*,インスタ,インスタ,インスタ
何らか	名詞,副詞可能,*,*,*,*,何らか,ナンラカ,ナンラカ
録り溜め	名詞,一般,*,*,*,*,録り溜め,トリダメ,トリダメ
スポ薦	名詞,一般,*,*,*,*,スポ薦,スポセン,スポセン
こちゃ	名詞,非自立・縮約形,一般,*,*,*,ことや,コチャ,コチャ
煮魚	名詞,一般,*,*,*,*,煮魚,ニザカナ,ニザカナ
ばばあ	名詞,一般,*,*,*,*,ばばあ,ババア,ババア
中	名詞,接尾,一般,*,*,*,中,チュウ,チュー
中	名詞,接尾,一般,*,*,*,中,ジュウ,ジュー
親不知	名詞,一般,*,*,*,*,親不知,オヤシラズ,オヤシラズ
親知らず	名詞,一般,*,*,*,*,親知らず,オヤシラズ,オヤシラズ
おやしらず	名詞,一般,*,*,*,*,おやしらず,オヤシラズ,オヤシラズ
人	名詞,接尾,一般,*,*,*,人,ジン,ジン
退部	名詞,サ変接続,*,*,*,*,退部,退部,退部
漫喫	名詞,サ変接続,*,*,*,*,漫喫,漫喫,漫喫
択	名詞,接尾,助数詞,*,*,*,択,タク,タク
捕球	名詞,サ変接続,*,*,*,*,捕球,捕球,捕球
パリピ	名詞,一般,*,*,*,*,パリピ,パリピ,パリピ
連勤	名詞,サ変接続,*,*,*,*,連勤,レンキン,レンキン
天王寺	名詞,固有名詞,地域,一般,*,*,天王寺,テンノウジ,テンノージ
でかめ	名詞,形容動詞語幹,*,*,*,*,でかめ,デカメ,デカメ
自己満	名詞,形容動詞語幹,*,*,*,*,自己満,ジコマン,ジコマン
カス	名詞,一般,*,*,*,*,カス,カス,カス
コストコ	名詞,固有名詞,組織,*,*,*,コストコ,コストコ,コストコ
海遊館	名詞,固有名詞,組織,*,*,*,海遊館,カイユウカン,カイユーカン
出来立て	名詞,一般,*,*,*,*,出来立て,デキタテ,デキタテ
本町	名詞,固有名詞,地域,一般,*,*,本町,ホンマチ,ホンマチ
清水焼	名詞,一般,*,*,*,*,清水焼,シミズヤキ,シミズヤキ
Hip-Hop	名詞,一般,*,*,*,*,Hip-Hop,Hip-Hop,Hip-Hop
マエケン	名詞,固有名詞,一般,*,*,*,マエケン,マエケン,マエケン
PL	名詞,固有名詞,組織,*,*,*,PL,PL,PL
デパ地下	名詞,一般,*,*,*,*,デパ地下,デパチカ,デパチカ
知恩院	名詞,固有名詞,一般,*,*,*,知恩院,チオンイン,チオンイン
東方神起	名詞,固有名詞,組織,*,*,*,東方神起,トウホウシンキ,トーホーシンキ
くもん	名詞,固有名詞,組織,*,*,*,くもん,クモン,クモン
海人	名詞,一般,*,*,*,*,海人,ウミンチュ,ウミンチュ
宝恵駕篭	名詞,固有名詞,一般,*,*,*,宝恵駕篭,ホエカゴ,ホエカゴ
ガタイ	名詞,一般,*,*,*,*,ガタイ,ガタイ,ガタイ
スピードラーニング	名詞,一般,*,*,*,*,スピードラーニング,スピードラーニング,スピードラーニング
がたい	名詞,一般,*,*,*,*,がたい,ガタイ,ガタイ
薄揚げ	名詞,一般,*,*,*,*,薄揚げ,ウスアゲ,ウスアゲ
厚揚げ	名詞,一般,*,*,*,*,厚揚げ,アツアゲ,ウツアゲ
豚玉	名詞,一般,*,*,*,*,豚玉,ブタタマ,ブタタマ
3DS	名詞,固有名詞,一般,*,*,*,3DS,3DS,3DS
A	名詞,一般,*,*,*,*,A,A,A
タネからイケダ	名詞,固有名詞,組織,*,*,*,タネからイケダ,タネカライケダ,タネカライケダ
ANA	名詞,固有名詞,組織,*,*,*,ANA,ANA,ANA
Apple	名詞,固有名詞,組織,*,*,*,Apple,Apple,Apple
B'Z	名詞,固有名詞,組織,*,*,*,B'Z,B'Z,B'Z
B	名詞,一般,*,*,*,*,B,B,B
BIGBANG	名詞,固有名詞,組織,*,*,*,BIGBANG,BIGBANG,BIGBANG
Benesse	名詞,固有名詞,組織,*,*,*,Benesse,Benesse,Benesse
B’Z	名詞,固有名詞,組織,*,*,*,B’Z,B’Z,B’Z
B’z	名詞,固有名詞,組織,*,*,*,B’z,B’z,B’z
C	名詞,一般,*,*,*,*,C,C,C
CD	名詞,一般,*,*,*,*,CD,CD,CD
CD	名詞,一般,*,*,*,*,CD,CD,CD
CIA	名詞,固有名詞,組織,*,*,*,CIA,CIA,CIA
CLUB GEORDIE	名詞,固有名詞,組織,*,*,*,CLUB GEORDIE,CLUB GEORDIE,CLUB GEORDIE
CM	名詞,一般,*,*,*,*,CM,CM,CM
D	名詞,一般,*,*,*,*,D,D,D
DELL	名詞,固有名詞,組織,*,*,*,DELL,DELL,DELL
DS	名詞,一般,*,*,*,*,DS,DS,DS
DVD	名詞,一般,*,*,*,*,DVD,DVD,DVD
E	名詞,一般,*,*,*,*,E,E,E
EC	名詞,固有名詞,一般,*,*,*,EC,EC,EC
ESS	名詞,一般,*,*,*,*,ESS,ESS,ESS
Excel	名詞,固有名詞,一般,*,*,*,Excel,Excel,Excel
F	名詞,一般,*,*,*,*,F,F,F
FM	名詞,一般,*,*,*,*,FM,FM,FM
FPS	名詞,一般,*,*,*,*,FPS,FPS,FPS
Facebook	名詞,固有名詞,一般,*,*,*,Facebook,Facebook,Facebook
G	名詞,一般,*,*,*,*,G,G,G
GEORDIE	名詞,固有名詞,組織,*,*,*,GEORDIE,GEORDIE,GEORDIE
GoogleEarth	名詞,固有名詞,一般,*,*,*,GoogleEarth,GoogleEarth,GoogleEarth
H	名詞,一般,*,*,*,*,H,H,H
HIS	名詞,固有名詞,組織,*,*,*,HIS,HIS,HIS
I	名詞,一般,*,*,*,*,I,I,I
IU	名詞,固有名詞,一般,*,*,*,IU,IU,IU
J	名詞,一般,*,*,*,*,J,J,J
J-POP	名詞,一般,*,*,*,*,J-POP,J-POP,J-POP
J-Pop	名詞,一般,*,*,*,*,J-Pop,J-Pop,J-Pop
J-pop	名詞,一般,*,*,*,*,J-pop,J-pop,J-pop
JAL	名詞,固有名詞,組織,*,*,*,JAL,JAL,JAL
JR	名詞,固有名詞,組織,*,*,*,JR,JR,JR
JTB	名詞,固有名詞,組織,*,*,*,JTB,JTB,JTB
K	名詞,一般,*,*,*,*,K,K,K
K-POP	名詞,一般,*,*,*,*,K-POP,K-POP,K-POP
K-Pop	名詞,一般,*,*,*,*,K-Pop,K-Pop,K-Pop
K-pop	名詞,一般,*,*,*,*,K-pop,K-pop,K-pop
KARA	名詞,固有名詞,組織,*,*,*,KARA,KARA,KARA
KBS	名詞,固有名詞,一般,*,*,*,KBS,KBS,KBS
KBS	名詞,固有名詞,一般,*,*,*,KBS,KBS,KBS
Kara	名詞,固有名詞,組織,*,*,*,Kara,Kara,Kara
L	名詞,一般,*,*,*,*,L,L,L
LIVE	名詞,一般,*,*,*,*,LIVE,LIVE,LIVE
M&M	名詞,一般,*,*,*,*,M&M,M&M,M&M
M	名詞,一般,*,*,*,*,M,M,M
MSM	名詞,固有名詞,一般,*,*,*,MSM,MSM,MSM
N	名詞,一般,*,*,*,*,N,N,N
NAVER	名詞,固有名詞,一般,*,*,*,NAVER,NAVER,NAVER
NGO	名詞,一般,*,*,*,*,NGO,NGO,NGO
NHK	名詞,固有名詞,組織,*,*,*,NHK,NHK,NHK
NPO	名詞,一般,*,*,*,*,NPO,NPO,NPO
NSC	名詞,固有名詞,一般,*,*,*,NSC,NSC,NSC
O	名詞,一般,*,*,*,*,O,O,O
OL	名詞,一般,*,*,*,*,OL,OL,OL
OB	名詞,一般,*,*,*,*,OB,OB,OB
P	名詞,一般,*,*,*,*,P,P,P
PSP	名詞,固有名詞,一般,*,*,*,PSP,PSP,PSP
PTA	名詞,固有名詞,組織,*,*,*,PTA,PTA,PTA
Q	名詞,一般,*,*,*,*,Q,Q,Q
R	名詞,一般,*,*,*,*,R,R,R
ROM	名詞,一般,*,*,*,*,ROM,ROM,ROM
S	名詞,一般,*,*,*,*,S,S,S
SF	名詞,一般,*,*,*,*,SF,SF,SF
SNS	名詞,固有名詞,一般,*,*,*,SNS,SNS,SNS
T	名詞,一般,*,*,*,*,T,T,T
T-ARA	名詞,固有名詞,組織,*,*,*,T-ARA,T-ARA,T-ARA
T-ARA	名詞,固有名詞,組織,*,*,*,T-ARA,T-ARA,T-ARA
T-ara	名詞,固有名詞,組織,*,*,*,T-ara,T-ara,T-ara
TSUTAYA	名詞,固有名詞,組織,*,*,*,TSUTAYA,TSUTAYA,TSUTAYA
Twitter	名詞,固有名詞,一般,*,*,*,Twitter,Twitter,Twitter
U	名詞,一般,*,*,*,*,U,U,U
USJ	名詞,固有名詞,組織,*,*,*,USJ,USJ,USJ
UVER	名詞,固有名詞,組織,*,*,*,UVER,UVER,UVER
