事故る	動詞,自立,*,*,五段・ラ行,基本形,事故る,ジコル,ジコル
事故ら	動詞,自立,*,*,五段・ラ行,未然形,事故る,ジコラ,ジコラ
事故ろ	動詞,自立,*,*,五段・ラ行,未然ウ接続,事故る,ジコロ,ジコロ
事故っ	動詞,自立,*,*,五段・ラ行,連用タ接続,事故る,ジコッ,ジコッ
事故り	動詞,自立,*,*,五段・ラ行,連用形,事故る,ジコリ,ジコリ
事故れ	動詞,自立,*,*,五段・ラ行,仮定形,事故る,ジコレ,ジコレ
事故れ	動詞,自立,*,*,五段・ラ行,命令ｅ,事故る,ジコレ,ジコレ
事故りゃ	動詞,自立,*,*,五段・ラ行,仮定縮約１,事故る,ジコリャ,ジコリャ
事故ん	動詞,自立,*,*,五段・ラ行撥音便,基本形,事故る,ジコン,ジコン
好きゃ	名詞,形容動詞語幹・縮約形,*,*,*,*,好きや,スキャ,スキャ
好っきゃ	名詞,形容動詞語幹・縮約形,*,*,*,*,好きや,スッキャ,スッキャ
すきゃ	名詞,形容動詞語幹・縮約形,*,*,*,*,すきや,スキャ,スキャ
すっきゃ	名詞,形容動詞語幹・縮約形,*,*,*,*,すきや,スッキャ,スッキャ
てっ	動詞,非自立,*,*,五段・ラ行,連用タ接続・縮約形,て＋ある,てッ,てッ
こっちゃ	名詞,非自立・縮約形,一般,*,*,*,ことや,コッチャ,コッチャ
こっちゃろ	名詞,非自立・縮約形,一般,*,*,*,ことやろ,コッチャロ,コッチャロ
やっちゃ	名詞,自立・縮約形,一般,*,*,*,やつや,ヤツヤ,ヤツヤ
がっつり	副詞,助詞類接続,*,*,*,*,がっつり,ガッツリ,ガッツリ
とう	助動詞,*,*,*,特殊・タ,基本形,とう,トウ,トー
どう	助動詞,*,*,*,特殊・タ,基本形,どう,ドウ,ドー
まじ	副詞,一般,*,*,*,*,まじ,マジ,マジ
まじで	感動詞,*,*,*,*,*,まじで,マジデ,マジデ
まじ	感動詞,*,*,*,*,*,まじ,マジ,マジ
まじで	副詞,一般,*,*,*,*,まじで,マジデ,マジデ
めちゃ	副詞,一般,*,*,*,*,めちゃ,メチャ,メチャ
めちゃめちゃ	副詞,一般,*,*,*,*,めちゃめちゃ,メチャメチャ,メチャメチャ
めっちゃくちゃ	副詞,一般,*,*,*,*,めっちゃくちゃ,メッチャクチャ,メッチャクチャ
めちゃくちゃ	副詞,一般,*,*,*,*,めちゃくちゃ,メチャクチャ,メチャクチャ
むっちゃくっちゃ	副詞,一般,*,*,*,*,むっちゃくっちゃ,ムッチャクッチャ,ムッチャクッチャ
めちゃくちゃ	副詞,一般,*,*,*,*,めちゃくちゃ,メチャクチャ,メチャクチャ
わちゃわちゃ	副詞,一般,*,*,*,*,わちゃわちゃ,ワチャワチャ,ワチャワチャ
ようさん	副詞,一般,*,*,*,*,ようさん,ヨウサン,ヨーサン
ぎょうさん	副詞,一般,*,*,*,*,ぎょうさん,ギョウサン,ギョ－サン
よさん	副詞,一般,*,*,*,*,ようさん,ヨサン,ヨーサン
ぎょさん	副詞,一般,*,*,*,*,ぎょうさん,ギョサン,ギョサン
ばり	副詞,一般,*,*,*,*,ばり,バリ,バリ
バリ	副詞,一般,*,*,*,*,バリ,バリ,バリ
ほんま	副詞,一般,*,*,*,*,ほんま,ホンマ,ホンマ
ホンマ	副詞,一般,*,*,*,*,ほんま,ホンマ,ホンマ
ほんまに	副詞,一般,*,*,*,*,ほんまに,ホンマニ,ホンマニ
凄い	副詞,一般,*,*,*,*,凄い,スゴイ,スゴイ
すごい	副詞,一般,*,*,*,*,すごい,スゴイ,スゴイ
すげえ	副詞,一般,*,*,*,*,すごい,スゲー,スゲー
すげー	副詞,一般,*,*,*,*,すごい,スゲー,スゲー
ものすごく	副詞,一般,*,*,*,*,ものすごく,モノスゴク,モノスゴク
物凄く	副詞,一般,*,*,*,*,物凄く,モノスゴク,モノスゴク
物すごく	副詞,一般,*,*,*,*,物すごく,モノスゴク,モノスゴク
もの凄く	副詞,一般,*,*,*,*,もの凄く,モノスゴク,モノスゴク
ものすごい	副詞,一般,*,*,*,*,ものすごい,モノスゴイ,モノスゴイ
物凄い	副詞,一般,*,*,*,*,物凄い,モノスゴイ,モノスゴイ
物すごい	副詞,一般,*,*,*,*,物すごい,モノスゴイ,モノスゴイ
もの凄い	副詞,一般,*,*,*,*,もの凄い,モノスゴイ,モノスゴイ
ものっすごい	副詞,一般,*,*,*,*,ものっすごい,モノッスゴイ,モノッスゴイ
ものっすごく	副詞,一般,*,*,*,*,ものっすごい,モノッスゴイ,モノッスゴイ
ほんま	感動詞,*,*,*,*,*,ほんま,ホンマ,ホンマ
ホンマ	感動詞,*,*,*,*,*,ほんま,ホンマ,ホンマ
ええ	形容詞,自立,*,*,形容詞・イイ,基本形,いい,エエ,エー
ええ	形容詞,非自立,*,*,形容詞・イイ,基本形,いい,エエ,エー
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ
や	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤ,ヤ
や	助詞,格助詞,連語,*,*,*,や,ヤ,ヤ
やー	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤア,ヤー
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン
じゃん	助動詞,*,*,*,特殊・ジャ,基本形,じゃん,ジャン,ジャン
やから	接続詞,*,*,*,*,*,やから,ヤカラ,ヤカラ
さから	接続詞,*,*,*,*,*,さから,サカラ,サカラ
てん	助詞,*,*,*,特殊・タ＋ん／接続・テ＋ん,基本形・縮約形,てん,テン,テン
でん	助詞,*,*,*,特殊・タ＋ん／接続・テ＋ん,基本形・縮約形,でん,デン,デン
たん	助動詞,*,*,*,特殊・タ,基本形,たん,タン,タン
だん	助動詞,*,*,*,特殊・タ,基本形,たん,ダン,ダン
でん	助動詞,*,*,*,特殊・ダ＋てん,基本形・縮約形,でん,デン,デン
風	名詞,非自立,形容動詞語幹,*,*,*,風,フウ,フー
あこ	名詞,代名詞・縮約形,*,*,*,*,あそこ,アコ,アコ
あっこ	名詞,代名詞・縮約形,*,*,*,*,あそこ,アッコ,アッコ
そら	名詞,代名詞・縮約形,*,*,*,*,それは,ソラ,ソラ
そらあ	名詞,代名詞・縮約形,*,*,*,*,それは,ソラア,ソラー
こら	名詞,代名詞・縮約形,*,*,*,*,これは,コラ,コラ
あら	名詞,代名詞・縮約形,*,*,*,*,あれは,アラ,アラ
ありゃ	名詞,代名詞・縮約形,*,*,*,*,あれは,アリャ,アリャ
そりゃ	名詞,代名詞・縮約形,*,*,*,*,それは,ソリャ,ソリャ
こりゃ	名詞,代名詞・縮約形,*,*,*,*,これは,コリャ,コリャ
こた	名詞,代名詞・縮約形,*,*,*,*,ことは,コタ,コタ
うち	名詞,代名詞,一般,*,*,*,うち,ウチ,ウチ
だれそれ	名詞,代名詞,*,*,*,*,だれそれ,ダレソレ,ダレソレ
おまん	名詞,代名詞,一般,*,*,*,おまん,オマン,オマン
こないだ	名詞,副詞可能・縮約形,*,*,*,*,この間,コナイダ,コナイダ
こんないだ	名詞,副詞可能・縮約形,*,*,*,*,この間,コンナイダ,コンナイダ
こっから	助詞,格助詞・縮約形,一般,*,*,*,ここから,コッカラ,コッカラ
そっから	助詞,格助詞・縮約形,一般,*,*,*,そこから,ソッカラ,ソッカラ
せ	動詞,自立,*,*,サ変・スル,未然形特殊,する,セ,セ
そ	副詞,助詞類接続・短音化,*,*,*,*,そう,ソ,ソ
ほう	副詞,助詞類接続,*,*,*,*,ほう,ホウ,ホー
ほ	副詞,助詞類接続・短音化,*,*,*,*,ほ,ホ,ホ
せ	副詞,助詞類接続・短音化,*,*,*,*,そう,セ,セ
こんなん	名詞,一般,副詞可能,*,*,*,こんなん,コンナン,コンナン
そんなん	名詞,一般,副詞可能,*,*,*,そんなん,ソンナン,ソンナン
あんなん	名詞,一般,副詞可能,*,*,*,あんなん,アンナン,アンナン
どんなん	名詞,一般,副詞可能,*,*,*,どんなん,ドンナン,ドンナン
こない	副詞,一般,*,*,*,*,こない,コナイ,コナイ
そない	副詞,一般,*,*,*,*,そない,ソナイ,ソナイ
あない	副詞,一般,*,*,*,*,あない,アナイ,アナイ
どない	副詞,一般,*,*,*,*,どない,ドナイ,ドナイ
こないに	副詞,一般,*,*,*,*,こないに,コナイニ,コナイニ
そないに	副詞,一般,*,*,*,*,そないに,ソナイニ,ソナイニ
あないに	副詞,一般,*,*,*,*,あないに,アナイニ,アナイニ
どないに	副詞,一般,*,*,*,*,どないに,ドナイニ,ドナイニ
こんだけ	副詞,一般・縮約形,*,*,*,*,これだけ,コンダケ,コンダケ
そんだけ	副詞,一般・縮約形,*,*,*,*,それだけ,ソンダケ,ソンダケ
あんだけ	副詞,一般・縮約形,*,*,*,*,あれだけ,アンダケ,アンダケ
どんだけ	副詞,一般・縮約形,*,*,*,*,どれだけ,ドンダケ,ドンダケ
こんなけ	副詞,一般・縮約形,*,*,*,*,これなけ,コンナケ,コンナケ
そんなけ	副詞,一般・縮約形,*,*,*,*,それなけ,ソンナケ,ソンナケ
あんなけ	副詞,一般・縮約形,*,*,*,*,あれなけ,アンナケ,アンナケ
どんなけ	副詞,一般・縮約形,*,*,*,*,どれなけ,ドンナケ,ドンナケ
こん	連体詞,*,*,*,*,*,この,コン,コン
そん	連体詞,*,*,*,*,*,その,ソン,ソン
あん	連体詞,*,*,*,*,*,あの,アン,アン
どん	連体詞,*,*,*,*,*,どの,ドン,ドン
こん	名詞,代名詞,一般・撥音便,*,*,*,これ,コン,コン
そん	名詞,代名詞,一般・撥音便,*,*,*,それ,ソン,ソン
あん	名詞,代名詞,一般・撥音便,*,*,*,あれ,アン,アン
どん	名詞,代名詞,一般・撥音便,*,*,*,どれ,ドン,ドン
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー
いわ	動詞,自立,*,*,五段・ワ行促音便,未然形,いう,イワ,ユワ
