speaker,age,gender,speech_style,onbin,word,wFreq,mFreq,wpFreq,mpFreq,adjacent,f_pos,neutralized,wpfp,wpbp,mpfp,mpbp
KSJ001,3,F,0.56,0,02FE,0.602,0.602,0,0,1,sfp,0,,,,
KSJ001,3,F,0.56,1,0092,2.963,2.969,1.114,0.778,0,dis,1,-6.19,-10.033,-3.941,-13.556
KSJ001,3,F,0.56,1,0092,2.963,2.969,1.362,1.724,0,dis,0,-4.77,-8.531,-4.363,-26.881
KSJ001,3,F,0.56,0,015C,2.193,3.765,0,0,0,other.gramm,0,-2.791,-2.679,-4.392,-2.666
KSJ001,3,F,0.56,1,0092,2.963,2.969,1.362,1.724,0,nom,0,-4.77,-8.531,-4.363,-26.881
KSJ001,3,F,0.56,0,03E5,2.076,2.076,0,0,1,other.gramm,0,-2.666,-2.679,-2.679,-2.666
KSJ001,3,F,0.56,0,013E,2.609,3.765,0.477,1.591,0,nom,1,-1.265,-2.207,-1.41,-2.301
KSJ001,3,F,0.56,1,0349,1.756,2.969,0.903,2.583,0,dis,0,-3.917,-11.765,-2.669,-177.89
KSJ001,3,F,0.56,0,0010,3.693,3.699,1.959,1.964,1,sfp,0,-4.448,-15.885,-4.478,-32.185
KSJ001,3,F,0.56,1,0010,3.693,3.699,2.671,2.702,1,sfp,0,-1.936,-3.076,-1.99,-116.626
KSJ001,3,F,0.56,0,0304,0,0,0,0,1,other.gramm,0,-0.449,-2.647,-0.433,-2.645
KSJ001,3,F,0.56,0,040D,1,1,0,0,1,nom,1,-1.49,-4.702,-1.474,-4.65
KSJ001,3,F,0.56,1,040D,1,1,0,0,1,nom,0,-0.75,-5.026,-0.734,-5.014
KSJ001,3,F,0.56,0,031C,2.049,2.898,0.778,1.477,0,nom,0,-2.488,-6.489,-3.414,-8.826
KSJ001,3,F,0.56,0,0381,1.431,3.765,0,2.491,0,dis,1,-1.98,-4.702,-1.213,-7.956
KSJ001,3,F,0.56,1,035D,2.34,2.34,1.079,1.079,1,nom,0,-4.308,-10.61,-3.015,-10.401
