では	接続詞,*,*,*,*,*,では,デハ,デワ,i
始め	動詞,自立,*,*,一段,連用形,始める,ハジメ,ハジメ,i
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
はい	感動詞,*,*,*,*,*,はい,ハイ,ハイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ,i
名前	名詞,一般,*,*,*,*,名前,ナマエ,ナマエ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,i
でしょ	助動詞,*,*,*,特殊・デス,未然形,です,デショ,デショ,i
う	助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
山田	名詞,固有名詞,人名,姓,*,*,山田,ヤマダ,ヤマダ,s
良太	名詞,固有名詞,人名,名,*,*,良太,リョウタ,リョータ,s
と	助詞,接続助詞,*,*,*,*,と,ト,ト,s
いい	動詞,自立,*,*,五段・ワ行促音便,連用形,いう,イイ,イー,s
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
もう	副詞,一般,*,*,*,*,もう,モウ,モー,i
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,i
、	記号,読点,*,*,*,*,、,、,、,i
敬語	名詞,一般,*,*,*,*,敬語,ケイゴ,ケイゴ,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
あんまり	副詞,助詞類接続,*,*,*,*,あんまり,アンマリ,アンマリ,i
なし	形容詞,自立,*,*,形容詞・アウオ段,文語基本形,ない,ナシ,ナシ,i
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
どんな	連体詞,*,*,*,*,*,どんな,ドンナ,ドンナ,i
仕事	名詞,サ変接続,*,*,*,*,仕事,シゴト,シゴト,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
つい	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,つく,ツイ,ツイ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
はい	感動詞,*,*,*,*,*,はい,ハイ,ハイ,s
、	記号,読点,*,*,*,*,、,、,、,s
芭蕉	名詞,一般,*,*,*,*,芭蕉,バショウ,バショー,s
記念	名詞,サ変接続,*,*,*,*,記念,キネン,キネン,s
館	名詞,接尾,一般,*,*,*,館,カン,カン,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,s
施設	名詞,サ変接続,*,*,*,*,施設,シセツ,シセツ,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
仕事	名詞,サ変接続,*,*,*,*,仕事,シゴト,シゴト,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
い	動詞,非自立,*,*,一段,連用形,いる,イ,イ,s
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
普段	名詞,副詞可能,*,*,*,*,普段,フダン,フダン,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
退職	名詞,サ変接続,*,*,*,*,退職,タイショク,タイショク,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
まし	助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
現在	名詞,副詞可能,*,*,*,*,現在,ゲンザイ,ゲンザイ,s
役員	名詞,一般,*,*,*,*,役員,ヤクイン,ヤクイン,s
職	名詞,接尾,一般,*,*,*,職,ショク,ショク,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
