はい	感動詞,*,*,*,*,*,はい,ハイ,ハイ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
、	記号,読点,*,*,*,*,、,、,、,i
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,i
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
で	接続詞,*,*,*,*,*,で,デ,デ,i
、	記号,読点,*,*,*,*,、,、,、,i
さっき	名詞,副詞可能,*,*,*,*,さっき,サッキ,サッキ,i
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,i
家族	名詞,一般,*,*,*,*,家族,カゾク,カゾク,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
話	名詞,サ変接続,*,*,*,*,話,ハナシ,ハナシ,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
出	動詞,自立,*,*,一段,連用形,出る,デ,デ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,i
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,i
、	記号,読点,*,*,*,*,、,、,、,i
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,i
聞い	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,聞く,キイ,キイ,i
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,i
、	記号,読点,*,*,*,*,、,、,、,i
えーっと	フィラー,*,*,*,*,*,えーっと,エーット,エーット,i
、	記号,読点,*,*,*,*,、,、,、,i
早紀	名詞,固有名詞,人名,名,*,*,早紀,サキ,サキ,i
と	助詞,並立助詞,*,*,*,*,と,ト,ト,i
妹	名詞,一般,*,*,*,*,妹,イモウト,イモート,i
彩香	名詞,固有名詞,人名,名,*,*,彩香,アヤカ,アヤカ,i
ちゃんと	副詞,一般,*,*,*,*,ちゃんと,チャント,チャント,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
同じ	連体詞,*,*,*,*,*,同じ,オナジ,オナジ,i
学校	名詞,一般,*,*,*,*,学校,ガッコウ,ガッコー,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
啓明	名詞,固有名詞,一般,*,*,*,啓明,ケイメイ,ケイメイ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,s
、	記号,読点,*,*,*,*,、,、,、,s
啓明	名詞,固有名詞,一般,*,*,*,啓明,ケイメイ,ケイメイ,s
、	記号,読点,*,*,*,*,、,、,、,s
啓明	名詞,固有名詞,一般,*,*,*,啓明,ケイメイ,ケイメイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
で	接続詞,*,*,*,*,*,で,デ,デ,i
二	名詞,数,*,*,*,*,二,ニ,ニ,i
人	名詞,接尾,助数詞,*,*,*,人,ニン,ニン,i
とも	助詞,副助詞,*,*,*,*,とも,トモ,トモ,i
おんなじ	連体詞,*,*,*,*,*,おんなじ,オンナジ,オンナジ,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
聞い	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,聞く,キイ,キイ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,i
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,i
、	記号,読点,*,*,*,*,、,、,、,i
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
なんで	副詞,一般,*,*,*,*,なんで,ナンデ,ナンデ,i
また	接続詞,*,*,*,*,*,また,マタ,マタ,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
、	記号,読点,*,*,*,*,、,、,、,i
なん	名詞,代名詞,一般,*,*,*,なん,ナン,ナン,i
て	助詞,格助詞・縮約形,引用,*,*,*,って,テ,テ,i
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
どっ	名詞,代名詞,一般,*,*,*,どっ,ドッ,ドッ,i
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,i
来	動詞,自立,*,*,カ変・来ル,連用形,来る,キ,キ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,i
う	助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,i
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,i
も	助詞,係助詞,*,*,*,*,も,モ,モ,i
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,i
気	名詞,一般,*,*,*,*,気,キ,キ,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
ま	感動詞,*,*,*,*,*,ま,マ,マ,i
、	記号,読点,*,*,*,*,、,、,、,i
兄弟	名詞,一般,*,*,*,*,兄弟,キョウダイ,キョーダイ,i
で	助詞,格助詞,一般,*,*,*,で,デ,デ,i
おんなじ	連体詞,*,*,*,*,*,おんなじ,オンナジ,オンナジ,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,i
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
、	記号,読点,*,*,*,*,、,、,、,i
