後で	副詞,一般,*,*,*,*,後で,アトデ,アトデ,s
聞い	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,聞く,キイ,キイ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
周り	名詞,一般,*,*,*,*,周り,マワリ,マワリ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
音	名詞,一般,*,*,*,*,音,オト,オト,s
しか	助詞,係助詞,*,*,*,*,しか,シカ,シカ,s
入っ	動詞,自立,*,*,五段・ラ行,連用タ接続,入る,ハイッ,ハイッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,i
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
なんで	副詞,一般,*,*,*,*,なんで,ナンデ,ナンデ,i
九州	名詞,固有名詞,地域,一般,*,*,九州,キュウシュウ,キューシュー,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
人	名詞,一般,*,*,*,*,人,ヒト,ヒト,i
こっち	名詞,代名詞,一般,*,*,*,こっち,コッチ,コッチ,i
来る	動詞,自立,*,*,カ変・来ル,基本形,来る,クル,クル,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
多い	形容詞,自立,*,*,形容詞・アウオ段,基本形,多い,オオイ,オーイ,i
ん	助詞,終助詞,*,*,*,*,ん,ン,ン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
えっと	フィラー,*,*,*,*,*,えっと,エット,エット,s
、	記号,読点,*,*,*,*,、,、,、,s
就職	名詞,サ変接続,*,*,*,*,就職,シュウショク,シューショク,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
大学	名詞,一般,*,*,*,*,大学,ダイガク,ダイガク,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
、	記号,読点,*,*,*,*,、,、,、,s
だから	接続詞,*,*,*,*,*,だから,ダカラ,ダカラ,s
四国	名詞,固有名詞,地域,一般,*,*,四国,シコク,シコク,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
人	名詞,一般,*,*,*,*,人,ヒト,ヒト,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
飛び越え	動詞,自立,*,*,一段,連用形,飛び越える,トビコエ,トビコエ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
東京	名詞,固有名詞,地域,一般,*,*,東京,トウキョウ,トーキョー,s
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
人	名詞,一般,*,*,*,*,人,ヒト,ヒト,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
あんまり	副詞,助詞類接続,*,*,*,*,あんまり,アンマリ,アンマリ,s
い	動詞,自立,*,*,一段,未然形,いる,イ,イ,s
なくっ	助動詞,*,*,*,特殊・ナイ,連用テ接続,ない,ナクッ,ナクッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
みんな	名詞,代名詞,一般,*,*,*,みんな,ミンナ,ミンナ,s
結構	副詞,一般,*,*,*,*,結構,ケッコウ,ケッコー,s
大阪	名詞,固有名詞,地域,一般,*,*,大阪,オオサカ,オーサカ,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そうか	感動詞,*,*,*,*,*,そうか,ソウカ,ソーカ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
とまる	動詞,自立,*,*,五段・ラ行,基本形,とまる,トマル,トマル,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
とまる	動詞,自立,*,*,五段・ラ行,基本形,とまる,トマル,トマル,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
だから	接続詞,*,*,*,*,*,だから,ダカラ,ダカラ,s
私	名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,s
、	記号,読点,*,*,*,*,、,、,、,s
お父さん	名詞,一般,*,*,*,*,お父さん,オトウサン,オトーサン,s
と	助詞,並立助詞,*,*,*,*,と,ト,ト,s
お母さん	名詞,一般,*,*,*,*,お母さん,オカアサン,オカーサン,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
住ん	動詞,自立,*,*,五段・マ行,連用タ接続,住む,スン,スン,s
で	助詞,接続助詞,*,*,*,*,で,デ,デ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
家	名詞,一般,*,*,*,*,家,イエ,イエ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
一	名詞,数,*,*,*,*,一,イチ,イチ,s
階	名詞,接尾,助数詞,*,*,*,階,カイ,カイ,s
