どこ	名詞,代名詞,一般,*,*,*,どこ,ドコ,ドコ,i
出身	名詞,一般,*,*,*,*,出身,シュッシン,シュッシン,i
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
えっと	フィラー,*,*,*,*,*,えっと,エット,エット,s
、	記号,読点,*,*,*,*,、,、,、,s
京都	名詞,固有名詞,一般,*,*,*,京都,キョウト,キョート,s
府	名詞,接尾,地域,*,*,*,府,フ,フ,s
福知山	名詞,固有名詞,地域,一般,*,*,福知山,フクチヤマ,フクチヤマ,s
市	名詞,接尾,地域,*,*,*,市,シ,シ,s
出身	名詞,一般,*,*,*,*,出身,シュッシン,シュッシン,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,i
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,i
有名	名詞,形容動詞語幹,*,*,*,*,有名,ユウメイ,ユーメイ,i
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
んー	フィラー,*,*,*,*,*,んー,ンー,ンー,s
と	助詞,接続助詞,*,*,*,*,と,ト,ト,s
、	記号,読点,*,*,*,*,、,、,、,s
夏	名詞,一般,*,*,*,*,夏,ナツ,ナツ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
お盆	名詞,一般,*,*,*,*,お盆,オボン,オボン,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
祭り	名詞,一般,*,*,*,*,祭り,マツリ,マツリ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
