はい	感動詞,*,*,*,*,*,はい,ハイ,ハイ,i
、	記号,読点,*,*,*,*,、,、,、,i
では	接続詞,*,*,*,*,*,では,デハ,デワ,i
名前	名詞,一般,*,*,*,*,名前,ナマエ,ナマエ,i
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,i
教え	動詞,自立,*,*,一段,連用形,教える,オシエ,オシエ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
ください	動詞,非自立,*,*,五段・ラ行特殊,連用形,くださる,クダサイ,クダサイ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
山中	名詞,固有名詞,人名,姓,*,*,山中,ヤマナカ,ヤマナカ,s
裕一	名詞,固有名詞,人名,名,*,*,裕一,ヒロイチ,ヒロイチ,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,i
歳	名詞,接尾,助数詞,*,*,*,歳,サイ,サイ,i
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
えっと	フィラー,*,*,*,*,*,えっと,エット,エット,s
、	記号,読点,*,*,*,*,、,、,、,s
15	名詞,数,*,*,*,*,*,*,*,s
歳	名詞,接尾,助数詞,*,*,*,歳,サイ,サイ,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
おー	感動詞,*,*,*,*,*,おー,オー,オー,i
、	記号,読点,*,*,*,*,、,、,、,i
若い	形容詞,自立,*,*,形容詞・アウオ段,基本形,若い,ワカイ,ワカイ,i
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,i
ねー	助詞,終助詞,*,*,*,*,ねー,ネー,ネー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
15	名詞,数,*,*,*,*,*,*,*,i
歳	名詞,接尾,助数詞,*,*,*,歳,サイ,サイ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
へー	感動詞,*,*,*,*,*,へー,ヘー,ヘー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
なるほど	感動詞,*,*,*,*,*,なるほど,ナルホド,ナルホド,i
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
、	記号,読点,*,*,*,*,、,、,、,i
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,i
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,i
、	記号,読点,*,*,*,*,、,、,、,i
裕一	名詞,固有名詞,人名,名,*,*,裕一,ヒロイチ,ヒロイチ,i
くん	名詞,接尾,人名,*,*,*,くん,クン,クン,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
生い立ち	名詞,一般,*,*,*,*,生い立ち,オイタチ,オイタチ,i
と	助詞,格助詞,一般,*,*,*,と,ト,ト,i
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
、	記号,読点,*,*,*,*,、,、,、,i
裕一	名詞,固有名詞,人名,名,*,*,裕一,ヒロイチ,ヒロイチ,i
くん	名詞,接尾,人名,*,*,*,くん,クン,クン,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
歴史	名詞,一般,*,*,*,*,歴史,レキシ,レキシ,i
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,i
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,i
熱く	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,熱い,アツク,アツク,i
語っ	動詞,自立,*,*,五段・ラ行,連用タ接続,語る,カタッ,カタッ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
ください	動詞,非自立,*,*,五段・ラ行特殊,連用形,くださる,クダサイ,クダサイ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
えっとー	フィラー,*,*,*,*,*,えっとー,エットオ,エットー,s
、	記号,読点,*,*,*,*,、,、,、,s
1997	名詞,数,*,*,*,*,*,*,*,s
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
生まれ	動詞,自立,*,*,一段,連用形,生まれる,ウマレ,ウマレ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
今まで	副詞,一般,*,*,*,*,今まで,イママデ,イママデ,s
