お願い	名詞,サ変接続,*,*,*,*,お願い,オネガイ,オネガイ,i
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,i
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
はい	感動詞,*,*,*,*,*,はい,ハイ,ハイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
名前	名詞,一般,*,*,*,*,名前,ナマエ,ナマエ,i
と	助詞,並立助詞,*,*,*,*,と,ト,ト,i
年齢	名詞,一般,*,*,*,*,年齢,ネンレイ,ネンレイ,i
教え	動詞,自立,*,*,一段,連用形,教える,オシエ,オシエ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
ください	動詞,非自立,*,*,五段・ラ行特殊,連用形,くださる,クダサイ,クダサイ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
はい	感動詞,*,*,*,*,*,はい,ハイ,ハイ,s
、	記号,読点,*,*,*,*,、,、,、,s
テイ	名詞,固有名詞,人名,姓,*,*,テイ,テイ,テイ,s
ワン	名詞,固有名詞,人名,名,*,*,ワン,ワン,ワン,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
申し	動詞,自立,*,*,五段・サ行,連用形,申す,モウシ,モーシ,s
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あの	連体詞,*,*,*,*,*,あの,アノ,アノ,s
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
五	名詞,数,*,*,*,*,五,ゴ,ゴ,s
歳	名詞,接尾,助数詞,*,*,*,歳,サイ,サイ,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
えっと	フィラー,*,*,*,*,*,えっと,エット,エット,i
、	記号,読点,*,*,*,*,、,、,、,i
出身	名詞,一般,*,*,*,*,出身,シュッシン,シュッシン,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
出身	名詞,一般,*,*,*,*,出身,シュッシン,シュッシン,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
中国	名詞,固有名詞,地域,国,*,*,中国,チュウゴク,チューゴク,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
武漢	名詞,固有名詞,地域,一般,*,*,武漢,ブカン,ブカン,s
市	名詞,接尾,地域,*,*,*,市,シ,シ,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
武漢	名詞,固有名詞,地域,一般,*,*,武漢,ブカン,ブカン,i
市	名詞,接尾,地域,*,*,*,市,シ,シ,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,i
近く	名詞,副詞可能,*,*,*,*,近く,チカク,チカク,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,i
あっ	動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,i
たり	助詞,並立助詞,*,*,*,*,たり,タリ,タリ,i
、	記号,読点,*,*,*,*,、,、,、,i
なんか	助詞,副助詞,*,*,*,*,なんか,ナンカ,ナンカ,i
有名	名詞,形容動詞語幹,*,*,*,*,有名,ユウメイ,ユーメイ,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
これ	名詞,代名詞,一般,*,*,*,これ,コレ,コレ,i
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,i
あり	動詞,自立,*,*,五段・ラ行,連用形,ある,アリ,アリ,i
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,i
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
えー	フィラー,*,*,*,*,*,えー,エー,エー,s
、	記号,読点,*,*,*,*,、,、,、,s
武漢	名詞,固有名詞,地域,一般,*,*,武漢,ブカン,ブカン,s
市	名詞,接尾,地域,*,*,*,市,シ,シ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
あの	連体詞,*,*,*,*,*,あの,アノ,アノ,s
湖	名詞,一般,*,*,*,*,湖,ミズウミ,ミズウミ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
結構	副詞,一般,*,*,*,*,結構,ケッコウ,ケッコー,s
多い	形容詞,自立,*,*,形容詞・アウオ段,基本形,多い,オオイ,オーイ,s
ので	助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ,s
、	記号,読点,*,*,*,*,、,、,、,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
中国	名詞,固有名詞,地域,国,*,*,中国,チュウゴク,チューゴク,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
あの	連体詞,*,*,*,*,*,あの,アノ,アノ,s
千	名詞,数,*,*,*,*,千,セン,セン,s
湖	名詞,接尾,助数詞,*,*,*,湖,コ,コ,s
