morpheme phrase	count
る ./記号	859
受け入れる な/助詞	1
いる けど/助詞	19
る か/助詞	178
る と/助詞	163
る もん/助詞	32
しゃべれる よう/名詞	5
くれる と/助詞	13
る なんて/助詞	1
ある ./記号	594
する こと/名詞	78
喋る し/助詞	6
る 覚え/動詞	3
食べる もん/助詞	2
てる の/名詞	53
くる ./記号	91
喋る なんて/助詞	1
ある から/助詞	441
る 食堂/名詞	1
くる から/助詞	78
てる けど/助詞	16
する と/助詞	78
曲がる や/助詞	1
る ん/助詞	39
信じる あたり/名詞	1
なる 前/名詞	8
る 方/名詞	13
てる ねん/助詞	383
至る ./記号	2
振り返る と/助詞	2
ある な/助詞	92
かかる ./記号	22
する し/助詞	97
する から/助詞	152
れる し/助詞	26
ある か/助詞	113
る よ/助詞	101
弾ける よう/名詞	2
る 人/名詞	207
行ける とこ/名詞	6
ある ねん/助詞	503
る けど/助詞	309
習える なら/接続詞	1
登る ん/名詞	1
登る の/助詞	1
ある やん/助動詞	451
くる の/名詞	30
る ん/名詞	310
入る 勇気/名詞	1
くる 場所/名詞	1
なる 人/名詞	9
現れる こと/名詞	1
乗せれる し/助詞	1
食べる の/名詞	12
得る よ/助詞	1
れる 美形/名詞	1
ひかれる メガネ/名詞	1
る らしい/助動詞	28
る やん/助動詞	199
当てはめる と/助詞	1
おる ./記号	84
もらえる やん/助動詞	2
接する って/助詞	1
くる し/助詞	33
できる ./記号	46
できる て/助詞	1
いる ん/名詞	27
れる ./記号	87
する もん/名詞	7
てる のに/助詞	42
る もん/名詞	15
なる の/助詞	31
来る で/助詞	5
書き換える ねん/助詞	1
する の/助詞	74
くれる の/助詞	6
ある ん/名詞	353
る 子/名詞	71
喜べる ほど/助詞	1
考えれる 人間/名詞	1
できる から/助詞	28
責める 人/名詞	1
る 中/名詞	11
する ./記号	314
する 人/名詞	46
ある 子/名詞	9
見る か/助詞	6
見える し/助詞	2
使える 公用/名詞	1
使える ./.	1
使える 範囲/名詞	1
する ん/名詞	159
要る けど/助詞	1
なる か/助詞	68
食べる か/助詞	8
なれる よう/名詞	1
する けど/助詞	111
わかる と/助詞	7
嫌われる から/助詞	1
見つかる まで/助詞	1
てる の/助詞	146
する か/助詞	74
おる ん/名詞	62
