word	count
してる	918
受け入れる	4
いる	347
やってる	406
入ってる	103
しゃべれる	15
してくれる	77
れてる	156
ある	4928
する	2814
喋る	119
覚えてる	185
食べる	219
かけてくる	2
言ってる	105
こんでる	1
入ってくる	50
喋ってる	53
呼んてる	1
曲がる	5
信じる	4
なる	1312
乗ってる	57
至る	10
振り返る	2
かかる	175
れる	681
弾ける	8
住んでる	114
行ける	170
習ってる	8
習える	1
登る	10
出てくる	112
生きてる	27
入る	211
読んでる	13
消えてる	1
現れる	1
乗せれる	2
あり得る	1
ひかれる	1
働いてる	60
化してる	1
当てはめる	1
おる	950
言ってもらえる	3
接する	10
できる	542
できるている	1
求めてる	3
来る	224
書き換える	1
思ってる	186
喜べる	2
考えれる	3
責める	1
知ってる	242
見る	206
見える	87
使える	31
要る	27
向いてる	11
なれる	33
わかる	260
嫌われる	5
見つかる	4
ぐらいおる	1
盛り上げる	5
もめる	2
分かれる	11
属している	1
させる	27
空いてる	23
つながってる	7
られる	113
やる	384
考える	57
繋がってる	4
出てる	80
はる	12
見れてる	2
来てくれる	29
出来る	140
食べてる	24
出る	240
跳ね上がる	1
寝れる	8
見てる	82
出してくる	2
渡してくる	1
入れる	95
変える	11
売ってる	49
上がる	59
寝る	51
みる	27
なくなってる	1
帰ってくる	102
飼ってる	14
いきてる	1
上って来る	1
ついてる	38
通れる	2
聞こえる	23
迎える	4
すぎる	44
貯めてる	4
揺れてる	6
言うてる	73
走る	65
走ってる	32
揺れる	11
閉めれる	1
出かけてくる	1
入れてくる	2
作る	157
飽きる	9
のっけてくれる	1
きてる	106
食べれる	34
払ってる	5
帰る	147
忘れてる	31
送れる	3
迷ってる	6
送る	14
とる	70
受ける	36
かかってくる	13
続いてる	24
困る	71
気に入ってる	2
栄えてる	2
思い出せる	4
経っとる	1
生まれる	14
来てる	85
貰える	15
言ってくる	12
怒る	45
なってる	241
考えてる	46
決めてる	10
行ってる	229
作ってる	53
終わってる	21
観る	16
決める	31
としてる	16
寝てる	45
遊んでる	20
選手見る	1
離れる	4
食える	14
取る	70
買える	31
分かる	223
とってくる	2
あげてる	4
過ごしてる	4
鳴る	6
病んでる	3
指してる	1
置いてる	15
膨れてる	1
とれる	20
まわってる	2
してはる	41
暮らせる	9
住んてる	12
