word phrase	count
してる ./記号	113
受け入れる な/助詞	1
いる けど/助詞	18
してる か/助詞	20
してる と/助詞	27
やってる もん/助詞	2
入ってる か/助詞	5
しゃべれる よう/名詞	5
してくれる と/助詞	3
れてる なんて/助詞	1
ある ./記号	582
する こと/名詞	78
喋る し/助詞	6
覚えてる 覚え/動詞	3
覚えてる ./記号	54
食べる もん/助詞	2
してる の/名詞	23
かけてくる ./記号	1
言ってる ./記号	12
喋る なんて/助詞	1
ある から/助詞	441
こんでる 食堂/名詞	1
入ってくる から/助詞	6
喋ってる ./記号	5
呼んてる けど/助詞	1
する と/助詞	78
曲がる や/助詞	1
やってる ん/助詞	3
信じる あたり/名詞	1
なる 前/名詞	8
やってる 方/名詞	2
乗ってる ねん/助詞	8
至る ./記号	2
振り返る と/助詞	2
ある な/助詞	91
かかる ./記号	20
する し/助詞	97
する から/助詞	152
れる し/助詞	26
ある か/助詞	113
してる よ/助詞	12
弾ける よう/名詞	2
住んでる 人/名詞	9
行ける とこ/名詞	6
ある ねん/助詞	469
習ってる けど/助詞	1
習える なら/接続詞	1
登る ん/名詞	1
登る の/助詞	1
ある やん/助動詞	450
出てくる の/名詞	6
生きてる ん/名詞	1
入る 勇気/名詞	1
読んでる と/助詞	1
出てくる 場所/名詞	1
消えてる ./記号	1
なる 人/名詞	9
現れる こと/名詞	1
乗せれる し/助詞	1
食べる の/名詞	12
入ってる ねん/助詞	10
あり得る よ/助詞	1
れる 美形/名詞	1
ひかれる メガネ/名詞	1
働いてる らしい/助動詞	1
化してる やん/助動詞	1
当てはめる と/助詞	1
おる ./記号	84
言ってもらえる やん/助動詞	1
接する って/助詞	1
出てくる し/助詞	4
できる ./記号	42
できる て/助詞	1
できるている ん/名詞	1
れる ./記号	87
する もん/名詞	7
やってる のに/助詞	3
求めてる もん/名詞	2
なる の/助詞	31
来る で/助詞	5
書き換える ねん/助詞	1
する の/助詞	74
してくれる の/助詞	3
ある ん/名詞	350
思ってる 人/名詞	9
思ってる 子/名詞	1
喜べる ほど/助詞	1
考えれる 人間/名詞	1
できる から/助詞	27
責める 人/名詞	1
知ってる 中/名詞	1
する ./記号	314
する 人/名詞	46
ある 子/名詞	9
見る か/助詞	6
見える し/助詞	2
使える 公用/名詞	1
使える ./.	1
使える 範囲/名詞	1
する ん/名詞	159
要る けど/助詞	1
なる か/助詞	68
食べる か/助詞	8
向いてる と/助詞	3
なれる よう/名詞	1
する けど/助詞	111
わかる と/助詞	7
嫌われる から/助詞	1
見つかる まで/助詞	1
