からには	から
けどー	けど
けども	けど
けれど	けど
けれども	けど
けんど	けど
けんども	けど
でー	で
なぁ	な
なあ	な
なー	な
なぁー	な
ねえ	ね
ねー	ね
のー	の
もー	も
につれて	に
にあたって	に
わぁ	わ
わあ	わ
わー	わ
わい	わ
しー	し
さかいに	さかい
かー	か
。	.
、	.
？	.
記号一般	pause
記号句点	pause
記号読点	pause
助詞格助詞	case
助詞格助詞・縮約形	case
助詞終助詞	sfp
助詞接続助詞	other.gramm
助詞副助詞	other.gramm
助詞副助詞／並立助詞／終助詞	sfp
助動詞*	dis
接続詞*	other.gramm
動詞自立	other.lexical
動詞非自立	other.lexical
副詞一般	other.lexical
名詞一般	noun
名詞非自立	noun
名詞副詞可能	other.lexical
フィラー*	other.lexical
英語*	other.lexical
感動詞*	other.lexical
記号括弧閉	pause
形容詞自立	other.lexical
形容詞接尾	other.lexical
形容詞非自立	other.lexical
助詞*	case
助詞係助詞	case
助詞特殊	dis
助詞並立助詞	case
助動詞非自立	dis
接頭詞名詞接続	noun
動詞接尾	other.lexical
副詞助詞類接続	other.lexical
名詞サ変接続	noun
名詞ナイ形容詞語幹	noun
名詞形容動詞語幹	other.lexical
名詞固有名詞	noun
名詞数	other.lexical
名詞接尾	noun
名詞代名詞	other.lexical
名詞非自立・縮約形	noun
連体詞*	other.gramm
..	other.lexical
