speaker	INDEX
KSJ001	0.56
KSJ002	0.427
KSJ003	0.273
KSJ004	0.528
KSJ005	0.417
KSJ006	0.759
KSJ009	0.326
KSJ010	0.3
KSJ011	0.297
KSJ012	0.324
KSJ014	0.601
KSJ015	0.888
KSJ016	0.334
KSJ017	0.326
KSJ018	0.227
KSJ019	0.636
KSJ020	0.705
KSJ021	0.793
KSJ022	0.139
KSJ024	0.286
KSJ025	0.291
KSJ026	0.422
KSJ027	0.258
KSJ028	0.112
KSJ029	0.18
KSJ030	0.45
KSJ031	0.411
KSJ032	0.203
KSJ033	0.244
KSJ035	0.162
KSJ036	0.174
KSJ037	0.59
KSJ038	0.297
KSJ039	0.279
KSJ040	0.331
KSJ041	0.67
KSJ042	0.181
KSJ043	0.233
KSJ044	0.179
KSJ045	0.596
KSJ046	0.144
KSJ047	0.111
KSJ049	0.383
KSJ051	0.328
KSJ055	0.25
KSJ056	0.485
KSJ057	0.334
KSJ058	0.273
KSJ059	0.358
KSJ060	0.303
KSJ061	0.413
KSJ062	0.377
KSJ065	0.256
KSJ066	0.135
KSJ067	0.355
KSJ070	0.663
KSJ073	0.192
KSJ075	0.232
KSJ077	0.286
KSJ078	0.275
KSJ079	0.406
KSJ080	0.163
KSJ081	0.366
KSJ082	0.633
KSJ083	0.39
KSJ084	0.417
KSJ085	0.3
KSJ086	0.343
KSJ090	0.226
KSJ091	0.258
KSJ092	0.407
KSJ093	0.45
KSJ094	0.216
KSJ095	0.327
KSJ096	0.208
KSJ099	0.372
KSJ100	0.361
KSJ101	0.2
KSJ102	0.347
KSJ104	0.239
KSJ105	0.424
KSJ107	0.159
KSJ108	0.359
KSJ109	0.278
KSJ110	0.299
KSJ111	0.442
KSJ112	0.392
KSJ113	0.353
KSJ114	0.46
KSJ115	0.473
KSJ116	0.576
KSJ117	0.129
KSJ118	0.345
KSJ119	0.303
KSJ120	0.283
KSJ122	0.216
KSJ123	0.243
KSJ124	0.368
KSJ125	0.34
KSJ126	0.373
KSJ127	0.318
KSJ128	0.17
KSJ129	0.25
KSJ130	0.267
KSJ131	0.583
KSJ132	0.555
KSJ133	0.127
KSJ134	0.315
KSJ135	0.533
KSJ136	0.477
KSJ137	0.331
KSJ138	0.578
KSJ139	0.416
KSJ140	0.113
KSJ141	0.369
KSJ142	0.099
KSJ143	0.122
KSJ144	0.425
KSJ145	0.12
KSJ146	0.277
KSJ147	0.12
KSJ148	0.394
KSJ149	0.306
KSJ150	0.386
KSJ151	0.369
KSJ152	0.532
KSJ153	0.172
KSJ154	0.318
KSJ155	0.251
KSJ156	0.324
KSJ157	0.242
KSJ158	0.298
KSJ159	0.141
KSJ160	0.326
KSJ161	0.247
KSJ162	0.266
KSJ163	0.141
KSJ164	0.133
KYT001	0.348
KYT002	0.446
KYT003	0.433
KYT004	0.44
KYT005	0.348
KYT006	0.443
KYT007	0.366
KYT008	0.404
KYT009	0.462
KYT010	0.419
KYT011	0.315
KYT012	0.37
KYT013	0.34
KYT014	0.382
KYT015	0.272
KYT016	0.332
KYT017	0.422
KYT018	0.367
KYT019	0.313
KYT020	0.57
KYT021	0.659
KYT022	0.453
KYT023	0.357
KYT024	0.652
KYT025	0.318
RGS001	0.783
RGS002	0.678
RGS003	0.583
RGS004	0.781
RGS005	0.823
RGS006	0.82
RGS007	0.566
RGS008	0.573
RGS009	0.854
RGS010	0.839
RGS011	0.926
RGS012	0.681
RGS013	0.663
RGS014	0.642
RGS015	0.853
RGS016	0.876
RGS017	0.48
RGS018	0.603
RGS019	0.794
RGS020	0.885
RGS021	0.736
RGS022	0.796
RGS023	0.806
RGS024	0.751
RGS025	0.804
RGS026	0.797
RGS027	0.442
RGS028	0.38
RGS029	0.817
RGS030	0.809
RGS031	0.817
RGS032	0.598
RGS034	0.802
RGS035	0.904
RGS036	0.83
TKC001	0.395
TKC002	0.316
TKC003	0.296
TKC004	0.135
TKC005	0.38
TKC006	0.171
TKC007	0.325
TKC008	0.309
TKC009	0.819
TKC010	0.215
TKC011	0.643
TKC012	0.434
TKC013	0.196
TKC015	0.247
TKC016	0.207
TKC017	0.239
TKC018	0.357
TKC019	0.298
TKC020	0.343
TKC021	0.261
TKC022	0.44
TKC023	0.307
TKC024	0.149
TKC025	0.705
TKC028	0.185
TKC029	0.345
TKC030	0.156
TKC031	0.268
TKC033	0.257
TKC034	0.257
TKC035	0.217
