たげる,0,0,0,動詞,非自立,*,*,一段,基本形・縮約形,て＋あげる,タゲル,タゲル
たげ,0,0,0,動詞,非自立,*,*,一段,未然形・縮約形,て＋あげる,タゲ,タゲ
たげよ,0,0,0,動詞,非自立,*,*,一段,未然ウ接続・縮約形,て＋あげる,タゲヨ,タゲヨ
たげ,0,0,0,動詞,非自立,*,*,一段,連用形・縮約形,て＋あげる,タゲ,タゲ
たげれ,0,0,0,動詞,非自立,*,*,一段,仮定形・縮約形,て＋あげる,タゲレ,タゲレ
たげろ,0,0,0,動詞,非自立,*,*,一段,命令ｒｏ・縮約形,て＋あげる,タゲロ,タゲロ
たげん,0,0,0,動詞,非自立,*,*,一段,基本形・撥音便・縮約形,て＋あげる,タゲン,タゲン
だげる,0,0,0,動詞,非自立,*,*,一段,基本形・縮約形,で＋あげる,ダゲル,ダゲル
だげ,0,0,0,動詞,非自立,*,*,一段,未然形・縮約形,で＋あげる,ダゲ,ダゲ
だげよ,0,0,0,動詞,非自立,*,*,一段,未然ウ接続・縮約形,で＋あげる,ダゲヨ,ダゲヨ
だげ,0,0,0,動詞,非自立,*,*,一段,連用形・縮約形,で＋あげる,ダゲ,ダゲ
だげれ,0,0,0,動詞,非自立,*,*,一段,仮定形・縮約形,で＋あげる,ダゲレ,ダゲレ
だげろ,0,0,0,動詞,非自立,*,*,一段,命令ｒｏ・縮約形,で＋あげる,ダゲロ,ダゲロ
だげん,0,0,0,動詞,非自立,*,*,一段,基本形・撥音便・縮約形,で＋あげる,ダゲン,ダゲン
げる,0,0,0,動詞,非自立,*,*,一段,基本形・縮約形,あげる,ゲル,タゲル
げ,0,0,0,動詞,非自立,*,*,一段,未然形・縮約形,あげる,ゲ,ゲ
げよ,0,0,0,動詞,非自立,*,*,一段,未然ウ接続・縮約形,あげる,ゲヨ,ゲヨ
げ,0,0,0,動詞,非自立,*,*,一段,連用形・縮約形,あげる,ゲ,ゲ
げれ,0,0,0,動詞,非自立,*,*,一段,仮定形・縮約形,あげる,ゲレ,ゲレ
げろ,0,0,0,動詞,非自立,*,*,一段,命令ｒｏ・縮約形,あげる,ゲロ,ゲロ
げん,0,0,0,動詞,非自立,*,*,一段,基本形・撥音便・縮約形,あげる,ゲン,ゲン
たる,0,0,0,動詞,非自立,*,*,五段・ラ行,基本形・縮約形,て＋やる,タル,タル
たら,0,0,0,動詞,非自立,*,*,五段・ラ行,未然形・縮約形,て＋やる,タラ,タラ
たろ,0,0,0,動詞,非自立,*,*,五段・ラ行,未然ウ接続・縮約形,て＋やる,タロ,タロ
たり,0,0,0,動詞,非自立,*,*,五段・ラ行,連用形・縮約形,て＋やる,タリ,タリ
たっ,0,0,0,動詞,非自立,*,*,五段・ラ行,連用タ接続・縮約形,て＋やる,タッ,タッ
たれ,0,0,0,動詞,非自立,*,*,五段・ラ行,仮定形・縮約形,て＋やる,タレ,タレ
たれ,0,0,0,動詞,非自立,*,*,五段・ラ行,命令ｅ・縮約形,て＋やる,タレ,タレ
たりゃ,0,0,0,動詞,非自立,*,*,五段・ラ行,仮定縮約１・縮約形,て＋やる,タリャ,タリャ
だる,0,0,0,動詞,非自立,*,*,五段・ラ行,基本形・縮約形,で＋やる,ダル,ダル
だら,0,0,0,動詞,非自立,*,*,五段・ラ行,未然形・縮約形,で＋やる,ダラ,ダラ
だろ,0,0,0,動詞,非自立,*,*,五段・ラ行,未然ウ接続・縮約形,で＋やる,ダロ,ダロ
だり,0,0,0,動詞,非自立,*,*,五段・ラ行,連用形・縮約形,で＋やる,ダリ,ダリ
だっ,0,0,0,動詞,非自立,*,*,五段・ラ行,連用ダ接続・縮約形,で＋やる,ダッ,ダッ
だれ,0,0,0,動詞,非自立,*,*,五段・ラ行,仮定形・縮約形,で＋やる,ダレ,ダレ
だれ,0,0,0,動詞,非自立,*,*,五段・ラ行,命令ｅ・縮約形,で＋やる,ダレ,ダレ
だりゃ,0,0,0,動詞,非自立,*,*,五段・ラ行,仮定縮約１・縮約形,で＋やる,ダリャ,ダリャ
る,0,0,0,動詞,非自立,*,*,五段・ラ行,基本形・縮約形,やる,ル,ル
ら,0,0,0,動詞,非自立,*,*,五段・ラ行,未然形・縮約形,やる,ラ,ラ
ろ,0,0,0,動詞,非自立,*,*,五段・ラ行,未然ウ接続・縮約形,やる,ロ,ロ
り,0,0,0,動詞,非自立,*,*,五段・ラ行,連用形・縮約形,やる,リ,リ
っ,0,0,0,動詞,非自立,*,*,五段・ラ行,連用タ接続・縮約形,やる,ッ,ッ
れ,0,0,0,動詞,非自立,*,*,五段・ラ行,仮定形・縮約形,やる,レ,レ
れ,0,0,0,動詞,非自立,*,*,五段・ラ行,命令ｅ・縮約形,やる,レ,レ
りゃ,0,0,0,動詞,非自立,*,*,五段・ラ行,仮定縮約１・縮約形,やる,リャ,リャ
とる,0,0,0,動詞,非自立,*,*,五段・ラ行,基本形・縮約形,て＋おる,トル,トル
とら,0,0,0,動詞,非自立,*,*,五段・ラ行,未然形・縮約形,て＋おる,トラ,トラ
とっ,0,0,0,動詞,非自立,*,*,五段・ラ行,連用タ接続・縮約形,て＋おる,トッ,トッ
とう,0,0,0,動詞,非自立,*,*,五段・ラ行,連用タ接続・ウ音便・縮約形,て＋おる,トウ,トー
と,0,0,0,動詞,非自立,*,*,五段・ラ行,連用タ接続・ウ音便・縮約形,て＋おる,ト,ト
とり,0,0,0,動詞,非自立,*,*,五段・ラ行,連用形・縮約形,て＋おる,トリ,トリ
とれ,0,0,0,動詞,非自立,*,*,五段・ラ行,仮定形・縮約形,て＋おる,トレ,トレ
とろ,0,0,0,動詞,非自立,*,*,五段・ラ行,未然ウ接続・縮約形,て＋おる,トロ,トロ
とれ,0,0,0,動詞,非自立,*,*,五段・ラ行,命令ｅ・縮約形,て＋おる,トレ,トレ
とん,0,0,0,動詞,非自立,*,*,五段・ラ行,基本形・撥音便・縮約形,て＋おる,トン,トン
どる,0,0,0,動詞,非自立,*,*,五段・ラ行,基本形・縮約形,て＋おる,ドル,ドル
どう,0,0,0,動詞,非自立,*,*,五段・ラ行,基本形・ウ音便・縮約形,て＋おる,ドウ,ドー
どら,0,0,0,動詞,非自立,*,*,五段・ラ行,未然形・縮約形,て＋おる,ドラ,ドラ
どっ,0,0,0,動詞,非自立,*,*,五段・ラ行,連用タ接続・縮約形,て＋おる,ドッ,ドッ
どう,0,0,0,動詞,非自立,*,*,五段・ラ行,連用タ接続・ウ音便・縮約形,て＋おる,ドウ,ドー
どり,0,0,0,動詞,非自立,*,*,五段・ラ行,連用形・縮約形,て＋おる,ドリ,ドリ
どれ,0,0,0,動詞,非自立,*,*,五段・ラ行,仮定形・縮約形,て＋おる,ドレ,ドレ
どろ,0,0,0,動詞,非自立,*,*,五段・ラ行,未然ウ接続・縮約形,て＋おる,ドロ,ドロ
どれ,0,0,0,動詞,非自立,*,*,五段・ラ行,命令ｅ・縮約形,て＋おる,ドレ,ドレ
どん,0,0,0,動詞,非自立,*,*,五段・ラ行,基本形・撥音便・縮約形,て＋おる,ドン,ドン
よる,0,0,0,動詞,非自立,*,*,五段・ラ行,基本形,よる,ヨル,ヨル
よら,0,0,0,動詞,非自立,*,*,五段・ラ行,未然形,よる,ヨラ,ヨラ
よっ,0,0,0,動詞,非自立,*,*,五段・ラ行,連用タ接続,よる,ヨッ,ヨッ
よう,0,0,0,動詞,非自立,*,*,五段・ラ行,連用タ接続・ウ音便,よる,ヨウ,ヨー
より,0,0,0,動詞,非自立,*,*,五段・ラ行,連用形,よる,ヨリ,ヨリ
